,txvalue
2019-09-10,6.909090909090909
2019-09-11,3000033.4
2019-09-12,8.622727272727273
2019-09-13,4.0625
2019-09-14,0.0
2019-09-15,0.0
2019-09-16,23.333333333333332
2019-09-17,7.333333333333333
2019-09-18,548481.4190909091
2019-09-19,521116.3333333333
2019-09-20,32089.534891666666
2019-09-21,31277.595705
2019-09-22,162.536
2019-09-23,104153.77523400163
2019-09-24,377381.1486925763
2019-09-25,1153513.2036679033
2019-09-26,216486.97152470588
2019-09-27,56926.73399758335
2019-09-28,2575.69219375
2019-09-29,100002.64
2019-09-30,408110.75917966664
2019-10-01,74930.85363378709
2019-10-02,137012.68699999998
2019-10-03,126160.52548945548
2019-10-04,53002.15999999999
2019-10-05,1226.394266666667
2019-10-06,37631.323
2019-10-07,121086.79607526316
2019-10-08,55044.047354757495
2019-10-09,120545.4177346457
2019-10-10,275921.6071506042
2019-10-11,62293.53528127663
2019-10-12,30395.714629629627
2019-10-13,31249.692413846158
2019-10-14,51455.42998505376
2019-10-15,118770.71247178229
2019-10-16,113213.44684569779
2019-10-17,151160.47534326246
2019-10-18,77500.43598209458
2019-10-19,34342.05953576301
2019-10-20,104975.45396943949
2019-10-21,144158.6537032182
2019-10-22,548789.2177936079
2019-10-23,111888.44320471227
2019-10-24,315129.0662386602
2019-10-25,97769.74384984047
2019-10-26,181260.53579794124
2019-10-27,220358.91001406385
2019-10-28,150666.00796860448
2019-10-29,129380.23011101078
2019-10-30,261104.04001493522
2019-10-31,107474.73209199015
2019-11-01,96109.95812514487
2019-11-02,95836.08701932534
2019-11-03,110368.73555600499
2019-11-04,147350.58194260034
2019-11-05,140684.6364811586
2019-11-06,212761.23825614204
2019-11-07,218184.73662472927
2019-11-08,215122.52134840266
2019-11-09,48636.51569926617
2019-11-10,89487.32698599999
2019-11-11,235509.95702449413
2019-11-12,143556.82412345984
2019-11-13,99091.18485511957
2019-11-14,107479.41744356987
2019-11-15,189079.5844352034
2019-11-16,130600.44194050334
2019-11-17,61418.491926965085
2019-11-18,144326.17882339942
2019-11-19,54960.44315405743
2019-11-20,201855.2286639394
2019-11-21,76119.62147670377
2019-11-22,61099.24507249973
2019-11-23,81868.51845791962
2019-11-24,82844.12016777777
2019-11-25,142882.6550992504
2019-11-26,59108.42627680441
2019-11-27,174489.24702310344
2019-11-28,413404.0977323066
2019-11-29,186841.52032212034
2019-11-30,154039.49362422916
2019-12-01,52746.16386849427
2019-12-02,123821.85764731657
2019-12-03,68531.01959018735
2019-12-04,65174.32184423618
2019-12-05,113936.04442346036
2019-12-06,70848.9561347619
2019-12-07,124932.40485544078
2019-12-08,74106.3642105263
2019-12-09,108786.51194139529
2019-12-10,291174.4714497292
2019-12-11,336445.3871387933
2019-12-12,44546.096302948135
2019-12-13,55703.78174704337
2019-12-14,68871.14400523194
2019-12-15,58226.162299657146
2019-12-16,130496.40365972121
2019-12-17,161225.00398799914
2019-12-18,83663.5667586538
2019-12-19,71902.70712855323
2019-12-20,37744.915561324226
2019-12-21,75907.02892643024
2019-12-22,56495.26933244381
2019-12-23,135119.02025865708
2019-12-24,256908.70536904645
2019-12-25,22094.534983074067
2019-12-26,54229.01142311324
2019-12-27,91702.10301189833
2019-12-28,54032.221039796
2019-12-29,97681.90636039888
2019-12-30,98217.44840419095
