,txvalue
2019-09-10,2.7e+19
2019-09-11,6.0000663e+24
2019-09-12,5.155e+19
2019-09-13,3.75e+18
2019-09-14,0.0
2019-09-15,0.0
2019-09-16,2.5e+19
2019-09-17,1.4e+19
2019-09-18,2.01109787e+24
2019-09-19,0.0
2019-09-20,8.108436e+22
2019-09-21,0.0
2019-09-22,0.0
2019-09-23,2.196206e+23
2019-09-24,1.954705000000001e+23
2019-09-25,8.184306560000001e+24
2019-09-26,1.3878838300000002e+24
2019-09-27,-3.1656376e+23
2019-09-28,0.0
2019-09-29,0.0
2019-09-30,1.49486066e+24
2019-10-01,4.5202793e+23
2019-10-02,5.7064192999999995e+23
2019-10-03,3.5111e+23
2019-10-04,1.487108e+23
2019-10-05,0.0
2019-10-06,0.0
2019-10-07,1.8084611e+23
2019-10-08,6.0251231000000006e+23
2019-10-09,-6.807773000000001e+23
2019-10-10,1.38781403e+24
2019-10-11,3.0458191e+23
2019-10-12,0.0
2019-10-13,0.0
2019-10-14,4.7503025e+23
2019-10-15,2.74731041e+24
2019-10-16,2.03952247e+24
2019-10-17,2.7694953e+24
2019-10-18,1.1581468999999999e+24
2019-10-19,0.0
2019-10-20,0.0
2019-10-21,6.589822e+23
2019-10-22,8.084914000000001e+23
2019-10-23,-1.22550065e+24
2019-10-24,1.6790541800000002e+24
2019-10-25,7.000327599999999e+23
2019-10-26,0.0
2019-10-27,1.02979327e+24
2019-10-28,-5.7601406000000003e+23
2019-10-29,2.6247719999999993e+23
2019-10-30,-2.52501446e+24
2019-10-31,-5.184487599999999e+23
2019-11-01,-2.5135155e+23
2019-11-02,0.0
2019-11-03,0.0
2019-11-04,6.612787200000001e+23
2019-11-05,-2.94197427e+24
2019-11-06,-2.92290573e+24
2019-11-07,-5.0242022000000006e+23
2019-11-08,1.17873768e+24
2019-11-09,0.0
2019-11-10,0.0
2019-11-11,-1.4418977300000002e+24
2019-11-12,-1.61923589e+24
2019-11-13,-1.3395221899999998e+24
2019-11-14,-1.2580666400000002e+24
2019-11-15,1.16388345e+24
2019-11-16,0.0
2019-11-17,0.0
2019-11-18,1.0071514000000001e+23
2019-11-19,-3.3681612000000004e+23
2019-11-20,2.26112206e+24
2019-11-21,-1.6607903e+23
2019-11-22,-3.0339825999999996e+23
2019-11-23,0.0
2019-11-24,0.0
2019-11-25,1.0972861100000001e+24
2019-11-26,3.140112e+22
2019-11-27,-1.8191085e+23
2019-11-28,2.68487775e+24
2019-11-29,-1.4422111000000002e+24
2019-11-30,0.0
2019-12-01,0.0
2019-12-02,1.17052442e+24
2019-12-03,-4.5749063e+23
2019-12-04,-6.6013222e+23
2019-12-05,2.8030903999999997e+23
2019-12-06,8.283538999999999e+22
2019-12-07,0.0
2019-12-08,0.0
2019-12-09,-1.2111555999999997e+23
2019-12-10,1.6048087e+24
2019-12-11,1.75924625e+24
2019-12-12,-4.1120075999999996e+23
2019-12-13,-3.4116817e+23
2019-12-14,0.0
2019-12-15,0.0
2019-12-16,-6.5180779e+23
2019-12-17,1.07178339e+24
2019-12-18,-2.9088952e+23
2019-12-19,5.1657061e+23
2019-12-20,-6.239881000000001e+23
2019-12-21,0.0
2019-12-22,0.0
2019-12-23,-3.356598300000001e+23
2019-12-24,-1.7196382399999998e+24
2019-12-25,0.0
2019-12-26,-1.22315988e+24
2019-12-27,4.5222505e+23
2019-12-28,0.0
2019-12-29,0.0
2019-12-30,-6.321036700000001e+23
2019-12-31,4.91441097e+24
2020-01-01,0.0
2020-01-02,-2.3836432e+23
2020-01-03,7.273976999999999e+22
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,-5.0410053e+23
2020-01-07,2.4379649000000002e+23
2020-01-08,-2.05097643e+24
2020-01-09,-1.5595615e+23
2020-01-10,-7.5737708e+23
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,-6.9474353e+23
2020-01-14,4.1367212599999997e+24
2020-01-15,-2.58772072e+24
2020-01-16,-1.3619969899999998e+24
2020-01-17,3.226012599999999e+24
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,8.905974450000001e+24
2020-01-21,-1.0569591e+23
2020-01-22,1.0511468459999999e+25
2020-01-23,-4.7499773e+23
2020-01-24,-1.5625893800000002e+24
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,-1.81731584e+24
2020-01-28,-1.00755548e+24
2020-01-29,-2.06129562e+24
2020-01-30,-7.7034716e+23
2020-01-31,-1.29753656e+24
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,-1.0043244470000001e+25
2020-02-04,6.490439929999999e+24
2020-02-05,-1.63217219e+24
2020-02-06,-5.09977899e+24
2020-02-07,1.6090171e+25
2020-02-08,-2.98719499e+24
2020-02-09,0.0
2020-02-10,7.889173000000002e+23
2020-02-11,-2.2708382499999998e+24
2020-02-12,5.05382161e+24
2020-02-13,-2.42324411e+24
2020-02-14,-3.3030762e+24
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,1.63807843e+24
2020-02-18,1.178258776e+25
2020-02-19,-1.1654310599999999e+24
2020-02-20,6.98058646e+24
2020-02-21,-8.75257e+23
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,6.7365968e+24
2020-02-25,-1.41812572e+24
2020-02-26,-1.0032288000000006e+23
2020-02-27,5.08469526e+24
2020-02-28,4.489742399999998e+23
2020-02-29,-2.06229396e+24
2020-03-01,0.0
2020-03-02,5.20413814e+24
2020-03-03,4.67801593e+24
2020-03-04,7.94585153e+24
2020-03-05,-2.20037497e+24
2020-03-06,6.799908880000001e+24
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,6.97437214e+24
2020-03-10,1.6611691349999998e+25
2020-03-11,-8.672304599999999e+23
2020-03-12,-6.20830463e+24
2020-03-13,1.8815079150000003e+25
2020-03-14,7.09523889e+24
2020-03-15,-6.97784151e+24
2020-03-16,1.06110859e+25
2020-03-17,2.015145389e+25
2020-03-18,-3.3109703000000025e+23
2020-03-19,5.217237869999999e+24
2020-03-20,9.34250442e+24
2020-03-21,0.0
2020-03-22,2.09346392e+24
2020-03-23,5.72600968e+24
2020-03-24,4.6239909799999993e+24
2020-03-25,-5.654755999999999e+23
2020-03-26,9.133582600000001e+24
2020-03-27,-6.80374672e+24
2020-03-28,0.0
2020-03-29,-3.8572824e+24
2020-03-30,-9.994629299999997e+23
2020-03-31,7.30108625e+24
2020-04-01,1.8896286220000004e+25
2020-04-02,-2.9912389100000004e+24
2020-04-03,-5.6004005e+24
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,-1.020737123e+25
2020-04-07,-9.609300159999999e+24
2020-04-08,-2.4183272e+24
2020-04-09,5.64014444e+24
2020-04-10,5.11027415e+24
2020-04-11,0.0
2020-04-12,1.84504381e+24
2020-04-13,1.0671668999999985e+23
2020-04-14,9.028478259999998e+24
2020-04-15,9.696704499999999e+23
2020-04-16,8.494566300000001e+23
2020-04-17,5.99540168e+24
2020-04-18,6.0143342e+23
2020-04-19,-1.5087878899999998e+24
2020-04-20,-7.19923065e+24
2020-04-21,-3.248993e+23
2020-04-22,-3.7501052200000006e+24
2020-04-23,-6.658041489999999e+24
2020-04-24,-6.34569463e+24
2020-04-25,1.052856493e+25
2020-04-26,4.50648082e+24
2020-04-27,-2.5166855500000004e+24
2020-04-28,1.0330465899999998e+24
2020-04-29,-3.5941833399999997e+24
2020-04-30,-1.3772098530000001e+25
2020-05-01,-7.41560484e+24
2020-05-02,9.17755953e+24
2020-05-03,2.59832083e+24
2020-05-04,-2.038664e+24
2020-05-05,3.925715680000001e+24
2020-05-06,6.23940089e+24
2020-05-07,3.4426509399999997e+24
2020-05-08,1.64942064e+24
2020-05-09,-2.0258651e+23
