,dates,txs
0,2019-09-10,11
1,2019-09-11,4
2,2019-09-12,22
3,2019-09-13,4
4,2019-09-14,0
5,2019-09-15,0
6,2019-09-16,3
7,2019-09-17,6
8,2019-09-18,11
9,2019-09-19,6
10,2019-09-20,12
11,2019-09-21,2
12,2019-09-22,1
13,2019-09-23,37
14,2019-09-24,52
15,2019-09-25,41
16,2019-09-26,17
17,2019-09-27,24
18,2019-09-28,8
19,2019-09-29,3
20,2019-09-30,18
21,2019-10-01,24
22,2019-10-02,10
23,2019-10-03,20
24,2019-10-04,10
25,2019-10-05,15
26,2019-10-06,4
27,2019-10-07,19
28,2019-10-08,24
29,2019-10-09,56
30,2019-10-10,19
31,2019-10-11,94
32,2019-10-12,108
33,2019-10-13,91
34,2019-10-14,93
35,2019-10-15,124
36,2019-10-16,154
37,2019-10-17,141
38,2019-10-18,96
39,2019-10-19,40
40,2019-10-20,20
41,2019-10-21,55
42,2019-10-22,37
43,2019-10-23,70
44,2019-10-24,51
45,2019-10-25,67
46,2019-10-26,34
47,2019-10-27,36
48,2019-10-28,64
49,2019-10-29,91
50,2019-10-30,63
51,2019-10-31,94
52,2019-11-01,82
53,2019-11-02,28
54,2019-11-03,20
55,2019-11-04,98
56,2019-11-05,123
57,2019-11-06,122
58,2019-11-07,78
59,2019-11-08,62
60,2019-11-09,42
61,2019-11-10,21
62,2019-11-11,40
63,2019-11-12,102
64,2019-11-13,92
65,2019-11-14,77
66,2019-11-15,71
67,2019-11-16,15
68,2019-11-17,69
69,2019-11-18,68
70,2019-11-19,40
71,2019-11-20,66
72,2019-11-21,67
73,2019-11-22,110
74,2019-11-23,28
75,2019-11-24,27
76,2019-11-25,88
77,2019-11-26,66
78,2019-11-27,58
79,2019-11-28,38
80,2019-11-29,78
81,2019-11-30,22
82,2019-12-01,35
83,2019-12-02,63
84,2019-12-03,49
85,2019-12-04,65
86,2019-12-05,56
87,2019-12-06,63
88,2019-12-07,26
89,2019-12-08,19
90,2019-12-09,88
91,2019-12-10,56
92,2019-12-11,86
93,2019-12-12,59
94,2019-12-13,59
95,2019-12-14,36
96,2019-12-15,35
97,2019-12-16,61
98,2019-12-17,45
99,2019-12-18,121
100,2019-12-19,74
101,2019-12-20,57
102,2019-12-21,42
103,2019-12-22,42
104,2019-12-23,93
105,2019-12-24,90
106,2019-12-25,27
107,2019-12-26,106
108,2019-12-27,59
109,2019-12-28,10
110,2019-12-29,32
111,2019-12-30,76
112,2019-12-31,52
113,2020-01-01,25
114,2020-01-02,67
115,2020-01-03,98
116,2020-01-04,28
117,2020-01-05,19
118,2020-01-06,84
119,2020-01-07,119
120,2020-01-08,135
121,2020-01-09,80
122,2020-01-10,94
123,2020-01-11,69
124,2020-01-12,32
125,2020-01-13,110
126,2020-01-14,198
127,2020-01-15,163
128,2020-01-16,115
129,2020-01-17,154
130,2020-01-18,95
131,2020-01-19,66
132,2020-01-20,94
133,2020-01-21,119
134,2020-01-22,117
135,2020-01-23,122
136,2020-01-24,80
137,2020-01-25,29
138,2020-01-26,33
139,2020-01-27,103
140,2020-01-28,86
141,2020-01-29,113
142,2020-01-30,72
143,2020-01-31,116
144,2020-02-01,74
145,2020-02-02,105
146,2020-02-03,190
147,2020-02-04,150
148,2020-02-05,173
149,2020-02-06,169
150,2020-02-07,137
151,2020-02-08,90
152,2020-02-09,96
153,2020-02-10,234
154,2020-02-11,197
155,2020-02-12,276
156,2020-02-13,217
157,2020-02-14,170
158,2020-02-15,92
159,2020-02-16,72
160,2020-02-17,176
161,2020-02-18,218
162,2020-02-19,156
163,2020-02-20,217
164,2020-02-21,201
165,2020-02-22,113
166,2020-02-23,127
167,2020-02-24,243
168,2020-02-25,265
169,2020-02-26,398
170,2020-02-27,316
171,2020-02-28,385
172,2020-02-29,269
