,dates,txs
0,2019-09-10,8
1,2019-09-11,1
2,2019-09-12,9
3,2019-09-13,0
4,2019-09-14,0
5,2019-09-15,0
6,2019-09-16,1
7,2019-09-17,3
8,2019-09-18,5
9,2019-09-19,4
10,2019-09-20,7
11,2019-09-21,1
12,2019-09-22,1
13,2019-09-23,10
14,2019-09-24,6
15,2019-09-25,2
16,2019-09-26,3
17,2019-09-27,5
18,2019-09-28,0
19,2019-09-29,1
20,2019-09-30,5
21,2019-10-01,6
22,2019-10-02,2
23,2019-10-03,10
24,2019-10-04,1
25,2019-10-05,7
26,2019-10-06,1
27,2019-10-07,1
28,2019-10-08,7
29,2019-10-09,9
30,2019-10-10,3
31,2019-10-11,7
32,2019-10-12,7
33,2019-10-13,5
34,2019-10-14,4
35,2019-10-15,8
36,2019-10-16,19
37,2019-10-17,6
38,2019-10-18,4
39,2019-10-19,10
40,2019-10-20,4
41,2019-10-21,7
42,2019-10-22,10
43,2019-10-23,15
44,2019-10-24,8
45,2019-10-25,8
46,2019-10-26,10
47,2019-10-27,4
48,2019-10-28,13
49,2019-10-29,13
50,2019-10-30,11
51,2019-10-31,14
52,2019-11-01,16
53,2019-11-02,6
54,2019-11-03,3
55,2019-11-04,13
56,2019-11-05,17
57,2019-11-06,14
58,2019-11-07,10
59,2019-11-08,8
60,2019-11-09,14
61,2019-11-10,3
62,2019-11-11,8
63,2019-11-12,7
64,2019-11-13,11
65,2019-11-14,5
66,2019-11-15,9
67,2019-11-16,1
68,2019-11-17,0
69,2019-11-18,10
70,2019-11-19,5
71,2019-11-20,10
72,2019-11-21,9
73,2019-11-22,13
74,2019-11-23,4
75,2019-11-24,3
76,2019-11-25,11
77,2019-11-26,8
78,2019-11-27,2
79,2019-11-28,5
80,2019-11-29,9
81,2019-11-30,7
82,2019-12-01,7
83,2019-12-02,5
84,2019-12-03,9
85,2019-12-04,12
86,2019-12-05,6
87,2019-12-06,9
88,2019-12-07,6
89,2019-12-08,5
90,2019-12-09,9
91,2019-12-10,6
92,2019-12-11,11
93,2019-12-12,9
94,2019-12-13,8
95,2019-12-14,6
96,2019-12-15,7
97,2019-12-16,7
98,2019-12-17,5
99,2019-12-18,15
100,2019-12-19,9
101,2019-12-20,9
102,2019-12-21,6
103,2019-12-22,5
104,2019-12-23,10
105,2019-12-24,10
106,2019-12-25,1
107,2019-12-26,10
108,2019-12-27,5
109,2019-12-28,1
110,2019-12-29,3
111,2019-12-30,14
112,2019-12-31,2
113,2020-01-01,6
114,2020-01-02,7
115,2020-01-03,10
116,2020-01-04,0
117,2020-01-05,1
118,2020-01-06,7
119,2020-01-07,9
120,2020-01-08,11
121,2020-01-09,10
122,2020-01-10,8
123,2020-01-11,3
124,2020-01-12,5
125,2020-01-13,9
126,2020-01-14,12
127,2020-01-15,16
128,2020-01-16,7
129,2020-01-17,10
130,2020-01-18,12
131,2020-01-19,8
132,2020-01-20,10
133,2020-01-21,8
134,2020-01-22,11
135,2020-01-23,10
136,2020-01-24,9
137,2020-01-25,8
138,2020-01-26,6
139,2020-01-27,12
140,2020-01-28,16
141,2020-01-29,11
142,2020-01-30,7
143,2020-01-31,14
144,2020-02-01,8
145,2020-02-02,9
146,2020-02-03,17
147,2020-02-04,13
148,2020-02-05,15
149,2020-02-06,18
150,2020-02-07,14
151,2020-02-08,11
152,2020-02-09,11
153,2020-02-10,27
154,2020-02-11,21
155,2020-02-12,24
156,2020-02-13,23
157,2020-02-14,24
158,2020-02-15,13
159,2020-02-16,6
160,2020-02-17,14
161,2020-02-18,16
162,2020-02-19,14
163,2020-02-20,26
164,2020-02-21,33
165,2020-02-22,28
166,2020-02-23,20
167,2020-02-24,34
168,2020-02-25,54
169,2020-02-26,87
170,2020-02-27,56
171,2020-02-28,60
172,2020-02-29,48
173,2020-03-01,34
174,2020-03-02,52
175,2020-03-03,36
176,2020-03-04,37
177,2020-03-05,29
178,2020-03-06,36
179,2020-03-07,29
180,2020-03-08,44
181,2020-03-09,64
182,2020-03-10,50
183,2020-03-11,35
184,2020-03-12,93
185,2020-03-13,120
186,2020-03-14,52
187,2020-03-15,47
188,2020-03-16,75
189,2020-03-17,44
190,2020-03-18,39
191,2020-03-19,49
192,2020-03-20,37
193,2020-03-21,28
194,2020-03-22,29
195,2020-03-23,46
196,2020-03-24,41
197,2020-03-25,36
198,2020-03-26,40
199,2020-03-27,34
200,2020-03-28,54
201,2020-03-29,32
202,2020-03-30,39
203,2020-03-31,56
204,2020-04-01,64
205,2020-04-02,75
206,2020-04-03,55
207,2020-04-04,44
208,2020-04-05,31
209,2020-04-06,66
210,2020-04-07,55
211,2020-04-08,46
212,2020-04-09,44
213,2020-04-10,69
214,2020-04-11,41
215,2020-04-12,39
216,2020-04-13,43
217,2020-04-14,40
218,2020-04-15,43
219,2020-04-16,87
220,2020-04-17,77
221,2020-04-18,56
222,2020-04-19,67
223,2020-04-20,45
224,2020-04-21,56
225,2020-04-22,38
226,2020-04-23,56
227,2020-04-24,50
228,2020-04-25,36
229,2020-04-26,36
230,2020-04-27,44
231,2020-04-28,51
232,2020-04-29,68
233,2020-04-30,80
234,2020-05-01,56
235,2020-05-02,44
236,2020-05-03,37
237,2020-05-04,45
238,2020-05-05,30
239,2020-05-06,54
240,2020-05-07,67
241,2020-05-08,67
242,2020-05-09,51
243,2020-05-10,63
244,2020-05-11,58
245,2020-05-12,60
246,2020-05-13,55
247,2020-05-14,53
248,2020-05-15,45
249,2020-05-16,40
250,2020-05-17,31
251,2020-05-18,45
252,2020-05-19,45
253,2020-05-20,49
254,2020-05-21,48
255,2020-05-22,50
256,2020-05-23,28
257,2020-05-24,31
258,2020-05-25,34
259,2020-05-26,45
260,2020-05-27,288
261,2020-05-28,170
262,2020-05-29,115
263,2020-05-30,89
264,2020-05-31,97
265,2020-06-01,91
266,2020-06-02,86
267,2020-06-03,65
268,2020-06-04,1557
269,2020-06-05,59
270,2020-06-06,61
271,2020-06-07,39
272,2020-06-08,49
273,2020-06-09,38
274,2020-06-10,58
275,2020-06-11,55
276,2020-06-12,57
277,2020-06-13,25
278,2020-06-14,39
279,2020-06-15,63
280,2020-06-16,60
281,2020-06-17,41
282,2020-06-18,63
283,2020-06-19,57
284,2020-06-20,56
285,2020-06-21,32
286,2020-06-22,77
287,2020-06-23,55
288,2020-06-24,72
289,2020-06-25,176
290,2020-06-26,49
291,2020-06-27,39
292,2020-06-28,370
293,2020-06-29,45
294,2020-06-30,38
