,txs
2019-09-10,8
2019-09-11,4
2019-09-12,11
2019-09-13,4
2019-09-14,0
2019-09-15,0
2019-09-16,3
2019-09-17,5
2019-09-18,7
2019-09-19,4
2019-09-20,10
2019-09-21,2
2019-09-22,1
2019-09-23,15
2019-09-24,21
2019-09-25,13
2019-09-26,11
2019-09-27,16
2019-09-28,3
2019-09-29,3
2019-09-30,12
2019-10-01,12
2019-10-02,8
2019-10-03,17
2019-10-04,6
2019-10-05,9
2019-10-06,4
2019-10-07,9
2019-10-08,16
2019-10-09,23
2019-10-10,13
2019-10-11,17
2019-10-12,13
2019-10-13,10
2019-10-14,12
2019-10-15,21
2019-10-16,34
2019-10-17,23
2019-10-18,17
2019-10-19,14
2019-10-20,10
2019-10-21,23
2019-10-22,21
2019-10-23,32
2019-10-24,26
2019-10-25,31
2019-10-26,21
2019-10-27,14
2019-10-28,30
2019-10-29,35
2019-10-30,35
2019-10-31,42
2019-11-01,37
2019-11-02,14
2019-11-03,13
2019-11-04,42
2019-11-05,48
2019-11-06,51
2019-11-07,35
2019-11-08,30
2019-11-09,23
2019-11-10,9
2019-11-11,19
2019-11-12,38
2019-11-13,36
2019-11-14,28
2019-11-15,33
2019-11-16,9
2019-11-17,6
2019-11-18,32
2019-11-19,20
2019-11-20,37
2019-11-21,35
2019-11-22,38
2019-11-23,15
2019-11-24,13
2019-11-25,41
2019-11-26,32
2019-11-27,24
2019-11-28,23
2019-11-29,31
2019-11-30,15
2019-12-01,15
2019-12-02,23
2019-12-03,27
2019-12-04,34
2019-12-05,29
2019-12-06,32
2019-12-07,17
2019-12-08,10
2019-12-09,37
2019-12-10,27
2019-12-11,42
2019-12-12,30
2019-12-13,30
2019-12-14,20
2019-12-15,17
2019-12-16,30
2019-12-17,23
2019-12-18,48
2019-12-19,32
2019-12-20,29
2019-12-21,16
2019-12-22,16
2019-12-23,38
2019-12-24,34
2019-12-25,8
2019-12-26,30
2019-12-27,31
2019-12-28,8
2019-12-29,16
2019-12-30,40
2019-12-31,24
2020-01-01,14
2020-01-02,30
2020-01-03,40
2020-01-04,17
2020-01-05,12
2020-01-06,28
2020-01-07,42
2020-01-08,48
2020-01-09,43
2020-01-10,33
2020-01-11,20
2020-01-12,16
2020-01-13,39
2020-01-14,62
2020-01-15,60
2020-01-16,44
2020-01-17,52
2020-01-18,34
2020-01-19,27
2020-01-20,38
2020-01-21,52
2020-01-22,49
2020-01-23,41
2020-01-24,35
2020-01-25,20
2020-01-26,20
2020-01-27,39
2020-01-28,41
2020-01-29,56
2020-01-30,38
2020-01-31,50
2020-02-01,26
2020-02-02,33
2020-02-03,55
2020-02-04,53
2020-02-05,52
2020-02-06,62
2020-02-07,54
2020-02-08,37
2020-02-09,41
2020-02-10,78
2020-02-11,68
2020-02-12,80
2020-02-13,70
2020-02-14,61
2020-02-15,37
2020-02-16,31
2020-02-17,46
2020-02-18,64
2020-02-19,58
2020-02-20,83
2020-02-21,82
2020-02-22,47
2020-02-23,51
2020-02-24,88
2020-02-25,108
2020-02-26,149
2020-02-27,122
2020-02-28,131
2020-02-29,96
2020-03-01,71
2020-03-02,114
2020-03-03,96
2020-03-04,85
2020-03-05,86
2020-03-06,101
2020-03-07,85
2020-03-08,118
2020-03-09,179
2020-03-10,115
2020-03-11,107
2020-03-12,201
2020-03-13,268
2020-03-14,125
2020-03-15,100
2020-03-16,197
2020-03-17,146
2020-03-18,120
2020-03-19,122
2020-03-20,117
2020-03-21,77
2020-03-22,71
2020-03-23,126
2020-03-24,106
2020-03-25,105
2020-03-26,101
2020-03-27,102
2020-03-28,101
2020-03-29,85
2020-03-30,116
2020-03-31,135
2020-04-01,145
2020-04-02,156
2020-04-03,123
2020-04-04,99
2020-04-05,67
2020-04-06,145
2020-04-07,161
2020-04-08,136
2020-04-09,135
2020-04-10,160
2020-04-11,103
2020-04-12,100
2020-04-13,132
2020-04-14,121
2020-04-15,130
2020-04-16,184
2020-04-17,167
2020-04-18,130
2020-04-19,155
2020-04-20,125
2020-04-21,134
2020-04-22,131
2020-04-23,155
2020-04-24,147
2020-04-25,99
2020-04-26,91
2020-04-27,144
2020-04-28,136
2020-04-29,168
2020-04-30,199
2020-05-01,138
2020-05-02,85
2020-05-03,92
2020-05-04,131
2020-05-05,118
2020-05-06,134
2020-05-07,178
2020-05-08,150
2020-05-09,131
2020-05-10,156
2020-05-11,154
2020-05-12,146
2020-05-13,167
2020-05-14,161
2020-05-15,159
2020-05-16,102
2020-05-17,85
2020-05-18,130
2020-05-19,148
2020-05-20,129
2020-05-21,141
2020-05-22,130
2020-05-23,82
2020-05-24,104
2020-05-25,89
2020-05-26,108
2020-05-27,381
2020-05-28,290
2020-05-29,242
2020-05-30,162
2020-05-31,170
2020-06-01,222
2020-06-02,252
2020-06-03,162
2020-06-04,1677
2020-06-05,136
2020-06-06,121
2020-06-07,101
2020-06-08,166
2020-06-09,136
2020-06-10,164
2020-06-11,194
2020-06-12,146
2020-06-13,83
2020-06-14,90
2020-06-15,193
2020-06-16,157
2020-06-17,130
2020-06-18,164
2020-06-19,169
2020-06-20,135
2020-06-21,107
2020-06-22,198
2020-06-23,174
2020-06-24,186
2020-06-25,296
2020-06-26,160
2020-06-27,132
2020-06-28,442
2020-06-29,149
2020-06-30,136
