,dates,txs
0,2019-09-10,0
1,2019-09-11,0
2,2019-09-12,0
3,2019-09-13,0
4,2019-09-14,0
5,2019-09-15,0
6,2019-09-16,0
7,2019-09-17,0
8,2019-09-18,0
9,2019-09-19,1
10,2019-09-20,1
11,2019-09-21,0
12,2019-09-22,0
13,2019-09-23,1
14,2019-09-24,3
15,2019-09-25,0
16,2019-09-26,1
17,2019-09-27,1
18,2019-09-28,0
19,2019-09-29,0
20,2019-09-30,1
21,2019-10-01,2
22,2019-10-02,0
23,2019-10-03,1
24,2019-10-04,1
25,2019-10-05,3
26,2019-10-06,0
27,2019-10-07,3
28,2019-10-08,3
29,2019-10-09,1
30,2019-10-10,0
31,2019-10-11,4
32,2019-10-12,6
33,2019-10-13,4
34,2019-10-14,1
35,2019-10-15,3
36,2019-10-16,9
37,2019-10-17,1
38,2019-10-18,1
39,2019-10-19,2
40,2019-10-20,2
41,2019-10-21,1
42,2019-10-22,1
43,2019-10-23,8
44,2019-10-24,3
45,2019-10-25,6
46,2019-10-26,1
47,2019-10-27,3
48,2019-10-28,4
49,2019-10-29,5
50,2019-10-30,0
51,2019-10-31,6
52,2019-11-01,6
53,2019-11-02,1
54,2019-11-03,1
55,2019-11-04,7
56,2019-11-05,19
57,2019-11-06,5
58,2019-11-07,4
59,2019-11-08,4
60,2019-11-09,6
61,2019-11-10,4
62,2019-11-11,2
63,2019-11-12,10
64,2019-11-13,3
65,2019-11-14,3
66,2019-11-15,5
67,2019-11-16,0
68,2019-11-17,17
69,2019-11-18,7
70,2019-11-19,2
71,2019-11-20,4
72,2019-11-21,5
73,2019-11-22,7
74,2019-11-23,1
75,2019-11-24,1
76,2019-11-25,6
77,2019-11-26,8
78,2019-11-27,1
79,2019-11-28,2
80,2019-11-29,5
81,2019-11-30,3
82,2019-12-01,6
83,2019-12-02,3
84,2019-12-03,1
85,2019-12-04,6
86,2019-12-05,5
87,2019-12-06,7
88,2019-12-07,2
89,2019-12-08,1
90,2019-12-09,8
91,2019-12-10,5
92,2019-12-11,1
93,2019-12-12,3
94,2019-12-13,8
95,2019-12-14,2
96,2019-12-15,4
97,2019-12-16,1
98,2019-12-17,3
99,2019-12-18,4
100,2019-12-19,3
101,2019-12-20,11
102,2019-12-21,1
103,2019-12-22,2
104,2019-12-23,7
105,2019-12-24,4
106,2019-12-25,1
107,2019-12-26,2
108,2019-12-27,3
109,2019-12-28,1
110,2019-12-29,1
111,2019-12-30,9
112,2019-12-31,0
113,2020-01-01,5
114,2020-01-02,5
115,2020-01-03,2
116,2020-01-04,0
117,2020-01-05,1
118,2020-01-06,5
119,2020-01-07,5
120,2020-01-08,4
121,2020-01-09,7
122,2020-01-10,2
123,2020-01-11,3
124,2020-01-12,1
125,2020-01-13,5
126,2020-01-14,7
127,2020-01-15,7
128,2020-01-16,10
129,2020-01-17,2
130,2020-01-18,6
131,2020-01-19,2
132,2020-01-20,5
133,2020-01-21,3
134,2020-01-22,6
135,2020-01-23,4
136,2020-01-24,7
137,2020-01-25,2
138,2020-01-26,3
139,2020-01-27,9
140,2020-01-28,6
141,2020-01-29,5
142,2020-01-30,4
143,2020-01-31,8
144,2020-02-01,5
145,2020-02-02,4
146,2020-02-03,7
147,2020-02-04,8
148,2020-02-05,10
149,2020-02-06,9
150,2020-02-07,9
151,2020-02-08,6
152,2020-02-09,8
153,2020-02-10,20
154,2020-02-11,13
155,2020-02-12,15
156,2020-02-13,11
157,2020-02-14,10
158,2020-02-15,3
159,2020-02-16,5
160,2020-02-17,8
161,2020-02-18,10
162,2020-02-19,11
163,2020-02-20,16
164,2020-02-21,28
165,2020-02-22,25
166,2020-02-23,13
167,2020-02-24,30
168,2020-02-25,37
169,2020-02-26,72
170,2020-02-27,38
171,2020-02-28,27
172,2020-02-29,52
173,2020-03-01,14
174,2020-03-02,33
175,2020-03-03,23
176,2020-03-04,18
177,2020-03-05,14
178,2020-03-06,24
179,2020-03-07,10
180,2020-03-08,20
181,2020-03-09,45
182,2020-03-10,23
183,2020-03-11,21
184,2020-03-12,83
185,2020-03-13,92
186,2020-03-14,29
187,2020-03-15,37
188,2020-03-16,51
189,2020-03-17,23
190,2020-03-18,21
191,2020-03-19,35
192,2020-03-20,29
193,2020-03-21,16
194,2020-03-22,20
195,2020-03-23,26
196,2020-03-24,25
197,2020-03-25,25
198,2020-03-26,15
199,2020-03-27,24
200,2020-03-28,42
201,2020-03-29,26
202,2020-03-30,32
203,2020-03-31,35
204,2020-04-01,45
205,2020-04-02,50
206,2020-04-03,38
207,2020-04-04,36
208,2020-04-05,13
209,2020-04-06,54
210,2020-04-07,30
211,2020-04-08,33
212,2020-04-09,23
213,2020-04-10,41
214,2020-04-11,23
215,2020-04-12,27
216,2020-04-13,35
217,2020-04-14,14
218,2020-04-15,30
219,2020-04-16,53
220,2020-04-17,44
221,2020-04-18,16
222,2020-04-19,27
223,2020-04-20,25
224,2020-04-21,31
225,2020-04-22,15
226,2020-04-23,20
227,2020-04-24,15
228,2020-04-25,13
229,2020-04-26,5
230,2020-04-27,8
231,2020-04-28,25
232,2020-04-29,21
233,2020-04-30,32
234,2020-05-01,16
235,2020-05-02,18
236,2020-05-03,9
237,2020-05-04,14
238,2020-05-05,12
239,2020-05-06,17
240,2020-05-07,29
241,2020-05-08,16
242,2020-05-09,15
243,2020-05-10,23
244,2020-05-11,13
245,2020-05-12,28
246,2020-05-13,24
247,2020-05-14,21
248,2020-05-15,16
249,2020-05-16,15
250,2020-05-17,15
251,2020-05-18,22
252,2020-05-19,13
253,2020-05-20,15
254,2020-05-21,11
255,2020-05-22,29
256,2020-05-23,9
257,2020-05-24,10
258,2020-05-25,9
259,2020-05-26,13
260,2020-05-27,179
261,2020-05-28,119
262,2020-05-29,74
263,2020-05-30,45
264,2020-05-31,44
265,2020-06-01,53
266,2020-06-02,44
267,2020-06-03,29
268,2020-06-04,20
269,2020-06-05,28
270,2020-06-06,26
271,2020-06-07,11
272,2020-06-08,19
273,2020-06-09,17
274,2020-06-10,28
275,2020-06-11,30
276,2020-06-12,21
277,2020-06-13,5
278,2020-06-14,15
279,2020-06-15,50
280,2020-06-16,26
281,2020-06-17,18
282,2020-06-18,36
283,2020-06-19,24
284,2020-06-20,27
285,2020-06-21,12
286,2020-06-22,38
287,2020-06-23,33
288,2020-06-24,40
289,2020-06-25,21
290,2020-06-26,35
291,2020-06-27,16
292,2020-06-28,24
293,2020-06-29,23
294,2020-06-30,15
