,txs
2019-09-10,7
2019-09-11,3
2019-09-12,9
2019-09-13,3
2019-09-14,0
2019-09-15,0
2019-09-16,3
2019-09-17,4
2019-09-18,4
2019-09-19,4
2019-09-20,8
2019-09-21,1
2019-09-22,1
2019-09-23,18
2019-09-24,24
2019-09-25,14
2019-09-26,12
2019-09-27,15
2019-09-28,5
2019-09-29,3
2019-09-30,11
2019-10-01,10
2019-10-02,6
2019-10-03,15
2019-10-04,6
2019-10-05,11
2019-10-06,3
2019-10-07,10
2019-10-08,16
2019-10-09,23
2019-10-10,10
2019-10-11,19
2019-10-12,15
2019-10-13,11
2019-10-14,16
2019-10-15,19
2019-10-16,34
2019-10-17,23
2019-10-18,13
2019-10-19,13
2019-10-20,13
2019-10-21,23
2019-10-22,17
2019-10-23,34
2019-10-24,26
2019-10-25,32
2019-10-26,13
2019-10-27,21
2019-10-28,29
2019-10-29,34
2019-10-30,29
2019-10-31,35
2019-11-01,36
2019-11-02,11
2019-11-03,9
2019-11-04,39
2019-11-05,58
2019-11-06,48
2019-11-07,30
2019-11-08,29
2019-11-09,21
2019-11-10,11
2019-11-11,20
2019-11-12,47
2019-11-13,41
2019-11-14,29
2019-11-15,33
2019-11-16,8
2019-11-17,39
2019-11-18,33
2019-11-19,24
2019-11-20,35
2019-11-21,35
2019-11-22,37
2019-11-23,12
2019-11-24,10
2019-11-25,39
2019-11-26,37
2019-11-27,26
2019-11-28,18
2019-11-29,34
2019-11-30,15
2019-12-01,16
2019-12-02,29
2019-12-03,24
2019-12-04,32
2019-12-05,29
2019-12-06,31
2019-12-07,13
2019-12-08,12
2019-12-09,44
2019-12-10,29
2019-12-11,44
2019-12-12,32
2019-12-13,34
2019-12-14,23
2019-12-15,23
2019-12-16,30
2019-12-17,24
2019-12-18,44
2019-12-19,33
2019-12-20,32
2019-12-21,14
2019-12-22,19
2019-12-23,42
2019-12-24,36
2019-12-25,9
2019-12-26,34
2019-12-27,32
2019-12-28,7
2019-12-29,19
2019-12-30,38
2019-12-31,28
2020-01-01,17
2020-01-02,30
2020-01-03,40
2020-01-04,16
2020-01-05,13
2020-01-06,33
2020-01-07,39
2020-01-08,46
2020-01-09,42
2020-01-10,30
2020-01-11,26
2020-01-12,16
2020-01-13,45
2020-01-14,57
2020-01-15,64
2020-01-16,52
2020-01-17,52
2020-01-18,34
2020-01-19,27
2020-01-20,41
2020-01-21,50
2020-01-22,48
2020-01-23,42
2020-01-24,42
2020-01-25,18
2020-01-26,19
2020-01-27,47
2020-01-28,42
2020-01-29,53
2020-01-30,37
2020-01-31,55
2020-02-01,27
2020-02-02,25
2020-02-03,56
2020-02-04,54
2020-02-05,54
2020-02-06,61
2020-02-07,46
2020-02-08,38
2020-02-09,41
2020-02-10,77
2020-02-11,70
2020-02-12,82
2020-02-13,63
2020-02-14,61
2020-02-15,30
2020-02-16,33
2020-02-17,46
2020-02-18,68
2020-02-19,64
2020-02-20,73
2020-02-21,79
2020-02-22,49
2020-02-23,42
2020-02-24,90
2020-02-25,103
2020-02-26,148
2020-02-27,103
2020-02-28,126
2020-02-29,116
2020-03-01,58
2020-03-02,115
2020-03-03,101
2020-03-04,72
2020-03-05,78
2020-03-06,103
2020-03-07,69
2020-03-08,106
2020-03-09,172
2020-03-10,109
2020-03-11,96
2020-03-12,212
2020-03-13,277
2020-03-14,113
2020-03-15,106
2020-03-16,190
2020-03-17,141
2020-03-18,112
2020-03-19,123
2020-03-20,117
2020-03-21,68
2020-03-22,75
2020-03-23,118
2020-03-24,99
2020-03-25,99
2020-03-26,100
2020-03-27,99
2020-03-28,96
2020-03-29,92
2020-03-30,122
2020-03-31,128
2020-04-01,139
2020-04-02,137
2020-04-03,124
2020-04-04,100
2020-04-05,52
2020-04-06,155
2020-04-07,150
2020-04-08,135
2020-04-09,126
2020-04-10,144
2020-04-11,83
2020-04-12,102
2020-04-13,146
2020-04-14,104
2020-04-15,120
2020-04-16,156
2020-04-17,164
2020-04-18,115
2020-04-19,126
2020-04-20,94
2020-04-21,107
2020-04-22,113
2020-04-23,105
2020-04-24,100
2020-04-25,59
2020-04-26,57
2020-04-27,86
2020-04-28,98
2020-04-29,106
2020-04-30,169
2020-05-01,95
2020-05-02,65
2020-05-03,65
2020-05-04,96
2020-05-05,89
2020-05-06,94
2020-05-07,129
2020-05-08,93
2020-05-09,69
2020-05-10,110
2020-05-11,95
2020-05-12,98
2020-05-13,123
2020-05-14,121
2020-05-15,108
2020-05-16,62
2020-05-17,59
2020-05-18,99
2020-05-19,96
2020-05-20,81
2020-05-21,96
2020-05-22,96
2020-05-23,57
2020-05-24,69
2020-05-25,64
2020-05-26,81
2020-05-27,262
2020-05-28,212
2020-05-29,180
2020-05-30,95
2020-05-31,102
2020-06-01,169
2020-06-02,191
2020-06-03,108
2020-06-04,111
2020-06-05,102
2020-06-06,95
2020-06-07,68
2020-06-08,123
2020-06-09,104
2020-06-10,127
2020-06-11,153
2020-06-12,90
2020-06-13,51
2020-06-14,69
2020-06-15,195
2020-06-16,122
2020-06-17,111
2020-06-18,127
2020-06-19,126
2020-06-20,112
2020-06-21,88
2020-06-22,152
2020-06-23,134
2020-06-24,149
2020-06-25,116
2020-06-26,127
2020-06-27,90
2020-06-28,83
2020-06-29,113
2020-06-30,98
