,txvalue
2019-11-13,0.0
2019-11-14,0.0
2019-11-15,0.0
2019-11-16,0.0
2019-11-17,0.0
2019-11-18,2468.2319374401777
2019-11-19,15730.829503956993
2019-11-20,13247.419608682032
2019-11-21,16214.75106671055
2019-11-22,13561.43899295779
2019-11-23,17658.608353279844
2019-11-24,14371.419164156603
2019-11-25,15304.092561299138
2019-11-26,18167.550276863887
2019-11-27,16942.897725680315
2019-11-28,13011.005347296552
2019-11-29,13086.755747469018
2019-11-30,15385.511892374856
2019-12-01,13829.376787061377
2019-12-02,23773.091214332802
2019-12-03,13775.724732583509
2019-12-04,14305.126093213035
2019-12-05,7934.970021544198
2019-12-06,6300.117445284239
2019-12-07,2955.6175774810854
2019-12-08,3471.1880907870436
2019-12-09,6732.941890718639
2019-12-10,3951.768288036318
2019-12-11,4310.571978428068
2019-12-12,3273.182016491366
2019-12-13,2880.9650481252916
2019-12-14,1960.4583913874037
2019-12-15,2270.1054405097693
2019-12-16,3396.4345783621297
2019-12-17,4950.732841080453
2019-12-18,4221.222567472767
2019-12-19,4837.996538272282
2019-12-20,4425.240443606353
2019-12-21,2169.84954884705
2019-12-22,2351.2545365192314
2019-12-23,3669.4390289474254
2019-12-24,2878.8479315178956
2019-12-25,2560.918622437306
2019-12-26,3585.111166575374
2019-12-27,3240.939197882535
2019-12-28,2083.5413477105053
2019-12-29,2737.1055947189975
2019-12-30,2873.629775431119
2019-12-31,4390.450078150591
2020-01-01,4164.746993546986
2020-01-02,3050.7702413146776
2020-01-03,4343.555954248254
2020-01-04,2027.1001960629187
2020-01-05,2686.0679609750155
2020-01-06,4219.413842024499
2020-01-07,3751.004865649949
2020-01-08,6016.26447589903
2020-01-09,5801.900696116928
2020-01-10,7490.962554942031
2020-01-11,5456.743965515452
2020-01-12,4956.602186404478
2020-01-13,3579.145391784485
2020-01-14,4885.5399182696965
2020-01-15,6122.541568277014
2020-01-16,7194.316763261559
2020-01-17,5746.242873382746
2020-01-18,5805.701934932454
2020-01-19,7095.132151963409
2020-01-20,8545.801796828298
2020-01-21,4430.435260238218
2020-01-22,2273.973847461302
2020-01-23,2863.405515324079
2020-01-24,2908.3057422605402
2020-01-25,3011.7958708271476
2020-01-26,2580.826056826052
2020-01-27,4321.266197115684
2020-01-28,6510.510854766512
2020-01-29,5317.100382385712
2020-01-30,6292.96355700858
2020-01-31,5537.330844325908
2020-02-01,5879.863129019221
2020-02-02,7342.556201007307
2020-02-03,6632.17914389351
2020-02-04,5678.735973179212
2020-02-05,6913.197255950021
2020-02-06,7653.876855120553
2020-02-07,9507.082504172991
2020-02-08,16074.290981162914
2020-02-09,6855.386781948896
2020-02-10,5785.790567539043
2020-02-11,6449.775801468414
2020-02-12,6505.076392125669
2020-02-13,9440.24594932097
2020-02-14,7165.60760141072
2020-02-15,8543.29265870327
2020-02-16,8904.80772030449
2020-02-17,10263.86131589806
2020-02-18,11103.034483735353
2020-02-19,7143.887282710151
2020-02-20,7230.585979866753
2020-02-21,7038.347954207942
2020-02-22,5435.1519807444165
2020-02-23,5527.652856503129
2020-02-24,7185.963611708169
2020-02-25,8181.324202188236
2020-02-26,7417.7581590817435
2020-02-27,7320.554245549514
2020-02-28,7307.3568960909115
2020-02-29,7061.549411237331
2020-03-01,5849.702140197239
2020-03-02,6644.91953975898
2020-03-03,5297.278350198906
2020-03-04,5119.980075939956
2020-03-05,3561.349153736958
2020-03-06,4648.742746554687
2020-03-07,3827.6359768369866
2020-03-08,6105.0291964854105
2020-03-09,8365.356812141506
2020-03-10,4978.265262156643
2020-03-11,6180.977420770805
2020-03-12,8354.57938334598
2020-03-13,6417.139918279173
2020-03-14,6665.071325561683
2020-03-15,7326.1004858895185
2020-03-16,6869.075465518222
2020-03-17,5498.750090585761
2020-03-18,5706.2255844594265
2020-03-19,7320.815093739077
2020-03-20,5973.500536320231
2020-03-21,6011.379207911397
2020-03-22,4807.153835932896
2020-03-23,6174.041819763434
2020-03-24,5225.38315310686
2020-03-25,7449.624782426404
2020-03-26,5929.073510892028
2020-03-27,3316.5352296884394
2020-03-28,3562.8341787017066
2020-03-29,3479.9425507590563
2020-03-30,3106.8001592095397
2020-03-31,3310.226058727297
2020-04-01,2662.7705690677326
2020-04-02,4132.0215420997565
2020-04-03,2903.649986828132
2020-04-04,3454.4414512796966
2020-04-05,2680.6821593520585
2020-04-06,4489.5145113163935
2020-04-07,7053.454788301355
2020-04-08,5793.6728625015085
2020-04-09,4672.524179082334
2020-04-10,5014.6842183324525
2020-04-11,4189.913392676074
2020-04-12,4372.791922348195
2020-04-13,5100.571781829533
2020-04-14,4246.319908564
2020-04-15,4199.186701003446
2020-04-16,6183.684158510643
2020-04-17,4246.761441994531
2020-04-18,5305.212415015945
2020-04-19,5740.186615875076
2020-04-20,6350.014918706165
2020-04-21,5564.597041291494
2020-04-22,3811.1369462126127
2020-04-23,7108.7854757606065
2020-04-24,4371.994276165918
2020-04-25,4731.312807848184
2020-04-26,6184.654028292848
2020-04-27,5404.930646963606
2020-04-28,4059.3004057349513
2020-04-29,8535.783292915114
2020-04-30,8947.227454913442
2020-05-01,8153.409292696132
2020-05-02,8843.39212237552
2020-05-03,10427.882895428229
2020-05-04,9475.920555690933
2020-05-05,10384.36708459273
2020-05-06,8843.897293932512
2020-05-07,9312.925667522968
2020-05-08,5125.268548217561
2020-05-09,5182.743837022942
2020-05-10,9893.69026618362
2020-05-11,5757.795311537753
2020-05-12,4473.777836345772
2020-05-13,6541.131964047207
2020-05-14,5130.464640629778
2020-05-15,3864.978930234989
2020-05-16,2272.969534561407
2020-05-17,3112.7790071694835
2020-05-18,3762.1953083431777
2020-05-19,3001.215169683064
2020-05-20,4696.8714156477945
2020-05-21,5006.520243435055
2020-05-22,6724.21187674829
2020-05-23,8339.740086652751
2020-05-24,4360.651766875457
2020-05-25,3487.799450362424
2020-05-26,5230.8792480565235
2020-05-27,2556.7966134424996
2020-05-28,3246.857114897949
2020-05-29,4970.852935026606
2020-05-30,6379.962331462387
2020-05-31,7340.087953498889
2020-06-01,9930.554890516541
2020-06-02,8438.921884044372
2020-06-03,5683.617503998904
2020-06-04,3531.0435094513896
2020-06-05,3739.00389210374
2020-06-06,3089.4696802130575
2020-06-07,6705.844439747189
2020-06-08,7578.803259706651
2020-06-09,3971.836179522204
2020-06-10,4068.2900566109797
2020-06-11,7840.229542945125
2020-06-12,3947.0167858606683
2020-06-13,2777.215178148736
2020-06-14,10222.803560143422
2020-06-15,6123.048555311543
2020-06-16,8077.491091478823
2020-06-17,7529.736312336994
2020-06-18,6916.851822306608
2020-06-19,12892.620919999468
2020-06-20,8319.352571556708
2020-06-21,10888.049745824144
2020-06-22,7195.5562546705205
2020-06-23,6900.365341213889
2020-06-24,4694.765898663423
2020-06-25,10889.412987029704
2020-06-26,3916.1624222045552
2020-06-27,8133.6862241137605
2020-06-28,13032.71820979265
2020-06-29,12083.034125484217
2020-06-30,17183.192039353376
