,txvalue
2019-11-13,0.0
2019-11-14,0.0
2019-11-15,0.0
2019-11-16,0.0
2019-11-17,0.0
2019-11-18,1.4808198018066606e+24
2019-11-19,5.46065356209393e+24
2019-11-20,2.1256175087563915e+24
2019-11-21,3.5833227453912776e+24
2019-11-22,2.012365929095498e+24
2019-11-23,2.8972881034064847e+23
2019-11-24,-4.085312941103216e+22
2019-11-25,1.7129595309590992e+24
2019-11-26,6.241967421769101e+22
2019-11-27,-5.236157437513026e+23
2019-11-28,2.068137156844465e+24
2019-11-29,1.1729060070206574e+24
2019-11-30,7.190889591167321e+23
2019-12-01,1.7711644033481592e+24
2019-12-02,1.7017169260950593e+25
2019-12-03,6.280754282171407e+24
2019-12-04,6.345579531006976e+23
2019-12-05,-1.058552971831457e+24
2019-12-06,9.188913077039277e+23
2019-12-07,-8.071292794550472e+23
2019-12-08,6.289080264217856e+23
2019-12-09,-4.754625105434246e+23
2019-12-10,-2.611080477062657e+23
2019-12-11,8.210939311218163e+23
2019-12-12,5.011977714520305e+23
2019-12-13,4.0576019065427506e+23
2019-12-14,-1.463443454322539e+23
2019-12-15,1.4065170372200894e+23
2019-12-16,2.525607858188658e+24
2019-12-17,-1.1796856194881828e+24
2019-12-18,1.9343022860451978e+23
2019-12-19,1.3842657342811602e+24
2019-12-20,-5.585723282865006e+24
2019-12-21,1.2134010603434532e+23
2019-12-22,1.4661062458894552e+23
2019-12-23,-2.181144220693184e+23
2019-12-24,-2.1061390500916535e+22
2019-12-25,-6.265981763683012e+23
2019-12-26,-6.536828679644345e+23
2019-12-27,-3.948216361130426e+23
2019-12-28,3.122778847226579e+23
2019-12-29,3.665434711678208e+23
2019-12-30,-3.7468235133703175e+23
2019-12-31,-2.5429129942635742e+23
2020-01-01,3.923430827771651e+22
2020-01-02,-1.857557300333934e+22
2020-01-03,7.928532346208621e+23
2020-01-04,-4.0219285200561636e+23
2020-01-05,1.12793485451957e+23
2020-01-06,2.204228103406602e+24
2020-01-07,2.24566424704327e+24
2020-01-08,-1.0683145352475237e+24
2020-01-09,-4.062188855633443e+23
2020-01-10,-6.867049939650131e+23
2020-01-11,-1.1183146296152543e+23
2020-01-12,5.5125456337271994e+23
2020-01-13,6.054485492045645e+23
2020-01-14,2.6924471155229054e+23
2020-01-15,1.0671071713240868e+24
2020-01-16,6.202647656758091e+23
2020-01-17,4.2000291311272777e+24
2020-01-18,1.1102580304355311e+24
2020-01-19,-3.973284477421221e+23
2020-01-20,6.609694886815548e+24
2020-01-21,1.3040202512419948e+24
2020-01-22,2.625189653191715e+23
2020-01-23,-6.447007396118559e+23
2020-01-24,-6.4288462401724e+23
2020-01-25,-7.698089580317583e+23
2020-01-26,-7.828381981199892e+23
2020-01-27,-1.9905665783245747e+24
2020-01-28,-1.641961039776071e+23
2020-01-29,-1.7327495635404767e+23
2020-01-30,-2.166030024097446e+23
2020-01-31,-2.5457000466999167e+23
2020-02-01,2.358415459291318e+23
2020-02-02,-1.0619934590237991e+24
2020-02-03,9.004095851450372e+23
2020-02-04,-9.844201716593688e+23
2020-02-05,8.373099113778187e+23
2020-02-06,-1.540331055098386e+24
2020-02-07,-2.6264372592822627e+24
2020-02-08,3.325188877160544e+23
2020-02-09,4.781540319648706e+23
2020-02-10,-2.0646018060659924e+23
2020-02-11,4.139923501393602e+23
2020-02-12,-6.244798052193738e+23
2020-02-13,-1.0920773322542642e+23
2020-02-14,1.6987666451071072e+24
2020-02-15,-1.954958278819751e+22
2020-02-16,4.76990931160979e+23
2020-02-17,-1.0715157090918518e+24
2020-02-18,-5.624674357074278e+23
2020-02-19,-5.0996563266434457e+23
2020-02-20,-4.264000589002708e+23
2020-02-21,4.161650170499502e+23
2020-02-22,-8.043805490361343e+23
2020-02-23,2.269115958478179e+23
2020-02-24,8.634861268918005e+23
2020-02-25,-7.859859249184887e+23
2020-02-26,8.734684630361936e+23
2020-02-27,2.6296228085656755e+24
2020-02-28,-1.9228746424593438e+24
2020-02-29,-6.641207993893128e+23
2020-03-01,-6.854130836329552e+23
2020-03-02,-1.574627160187407e+24
2020-03-03,-1.3808338216027404e+24
2020-03-04,-1.0782810317068241e+24
2020-03-05,-4.288960953290749e+23
2020-03-06,2.5226915060723e+24
2020-03-07,-4.928274267930654e+22
2020-03-08,3.6604675396760647e+22
2020-03-09,6.644589738363414e+23
2020-03-10,-1.5660699522378844e+24
2020-03-11,5.2061179238657754e+23
2020-03-12,7.531985969118657e+23
2020-03-13,-2.1525149583090934e+24
2020-03-14,-2.3029506875871958e+24
2020-03-15,3.256628872661863e+24
2020-03-16,-1.4472008179265485e+24
2020-03-17,3.6579635700525375e+24
2020-03-18,2.1594038562645533e+24
2020-03-19,-1.8561809949812534e+24
2020-03-20,3.300922236994068e+24
2020-03-21,-1.0171609607048614e+24
2020-03-22,-2.2783459246417324e+24
2020-03-23,1.5355858478644373e+24
2020-03-24,3.496576294300504e+23
2020-03-25,8.347178274853932e+24
2020-03-26,-6.064828956609653e+24
2020-03-27,-1.3289073942637052e+24
2020-03-28,2.2122539521069973e+24
2020-03-29,8.800153413987704e+22
2020-03-30,9.122486251066249e+23
2020-03-31,6.09209911391131e+23
2020-04-01,-1.5550177185761056e+23
2020-04-02,3.29408089522196e+24
2020-04-03,-3.381428649421027e+23
2020-04-04,2.1306021445652633e+23
2020-04-05,-9.36138439174673e+23
2020-04-06,1.8262643557653382e+24
2020-04-07,5.186946204344039e+23
2020-04-08,1.0030346713055226e+24
2020-04-09,1.1724602671558228e+24
2020-04-10,1.2136445752746272e+24
2020-04-11,7.1408494492090555e+22
2020-04-12,8.463276407684682e+22
2020-04-13,1.1149741527028932e+23
2020-04-14,7.185987659777693e+23
2020-04-15,8.842817474791761e+23
2020-04-16,1.1023579713691228e+24
2020-04-17,6.113603278299979e+23
2020-04-18,2.4975587822818093e+24
2020-04-19,4.074311644960026e+24
2020-04-20,3.7320832914349147e+24
2020-04-21,-9.000269621982249e+22
2020-04-22,-3.5499445184443826e+23
2020-04-23,3.669013991846319e+24
2020-04-24,2.4303030854389557e+24
2020-04-25,6.810551695687603e+23
2020-04-26,8.762849350053525e+23
2020-04-27,-3.9649366425874425e+22
2020-04-28,4.57866074846292e+23
2020-04-29,2.454095268596501e+24
2020-04-30,-4.8179335039007935e+23
2020-05-01,-8.659357496177602e+23
2020-05-02,2.487681441714023e+24
2020-05-03,2.2723371392448695e+24
2020-05-04,8.781990643521474e+23
2020-05-05,-1.3969714216283105e+23
2020-05-06,5.941662097122308e+23
2020-05-07,7.734586816787749e+23
2020-05-08,-4.395763160917152e+22
2020-05-09,8.78875168518835e+23
2020-05-10,-2.699344112040622e+24
2020-05-11,-1.2910377092992543e+24
2020-05-12,6.767212699411349e+23
2020-05-13,1.2313336832023918e+24
2020-05-14,1.7032052281884322e+24
2020-05-15,4.053349562659324e+23
2020-05-16,8.008659161083908e+23
2020-05-17,8.045468106380135e+23
2020-05-18,4.263206496795626e+24
2020-05-19,-8.829360514936784e+23
2020-05-20,5.519417871699782e+24
2020-05-21,-1.250623724166697e+24
2020-05-22,2.372305319584447e+24
2020-05-23,-3.983360514266465e+23
2020-05-24,2.740740819214202e+23
2020-05-25,-2.773384258793123e+22
2020-05-26,-1.2907295608863817e+24
2020-05-27,8.230301911804236e+23
2020-05-28,1.0719307270889042e+23
2020-05-29,1.695837836273934e+24
2020-05-30,3.6075923163493924e+24
2020-05-31,5.989955137271155e+24
2020-06-01,-5.950674235691077e+24
2020-06-02,-1.279706264001317e+24
2020-06-03,1.0097817567151186e+23
2020-06-04,-5.3332600418445684e+23
2020-06-05,-9.232838637275672e+22
2020-06-06,4.582532026276467e+23
2020-06-07,2.9481124105444637e+24
2020-06-08,-2.1335304729089175e+24
2020-06-09,-2.5816305890765854e+24
2020-06-10,1.4165362364245493e+23
2020-06-11,4.4378457718900737e+24
2020-06-12,-2.449815350976972e+24
2020-06-13,1.7407129676454198e+24
2020-06-14,-7.431300710149826e+24
2020-06-15,-2.18452148380795e+24
2020-06-16,-7.460155049940085e+23
2020-06-17,-1.9208114486434937e+24
2020-06-18,-1.468188348718796e+24
2020-06-19,4.543451585846946e+24
2020-06-20,2.1270994085650218e+24
2020-06-21,-1.0761398496595926e+24
2020-06-22,5.893065733148606e+24
2020-06-23,-3.4861113542899067e+24
2020-06-24,2.1873120851696186e+24
2020-06-25,-3.018352957160235e+24
2020-06-26,5.6535497971195004e+23
2020-06-27,1.8455951545803523e+24
