,dates,txs
0,2019-11-13,9
1,2019-11-14,0
2,2019-11-15,2
3,2019-11-16,0
4,2019-11-17,1
5,2019-11-18,2409
6,2019-11-19,6048
7,2019-11-20,3853
8,2019-11-21,6451
9,2019-11-22,11887
10,2019-11-23,6621
11,2019-11-24,6251
12,2019-11-25,9641
13,2019-11-26,5329
14,2019-11-27,5959
15,2019-11-28,5468
16,2019-11-29,5054
17,2019-11-30,4714
18,2019-12-01,5327
19,2019-12-02,7111
20,2019-12-03,5900
21,2019-12-04,6402
22,2019-12-05,4240
23,2019-12-06,3857
24,2019-12-07,3891
25,2019-12-08,4452
26,2019-12-09,4170
27,2019-12-10,5155
28,2019-12-11,5013
29,2019-12-12,5019
30,2019-12-13,5074
31,2019-12-14,4741
32,2019-12-15,5513
33,2019-12-16,8739
34,2019-12-17,11071
35,2019-12-18,10943
36,2019-12-19,7574
37,2019-12-20,6273
38,2019-12-21,5189
39,2019-12-22,6015
40,2019-12-23,6846
41,2019-12-24,5079
42,2019-12-25,4765
43,2019-12-26,4735
44,2019-12-27,5211
45,2019-12-28,5536
46,2019-12-29,6748
47,2019-12-30,5730
48,2019-12-31,5014
49,2020-01-01,4252
50,2020-01-02,5203
51,2020-01-03,7343
52,2020-01-04,4611
53,2020-01-05,6872
54,2020-01-06,8899
55,2020-01-07,9849
56,2020-01-08,12135
57,2020-01-09,10692
58,2020-01-10,10206
59,2020-01-11,9422
60,2020-01-12,7933
61,2020-01-13,8514
62,2020-01-14,16782
63,2020-01-15,15004
64,2020-01-16,14685
65,2020-01-17,19351
66,2020-01-18,16630
67,2020-01-19,15623
68,2020-01-20,10611
69,2020-01-21,11060
70,2020-01-22,7879
71,2020-01-23,8209
72,2020-01-24,10502
73,2020-01-25,7426
74,2020-01-26,8221
75,2020-01-27,11235
76,2020-01-28,11591
77,2020-01-29,11215
78,2020-01-30,13360
79,2020-01-31,13039
80,2020-02-01,11128
81,2020-02-02,13542
82,2020-02-03,12514
83,2020-02-04,13691
84,2020-02-05,16943
85,2020-02-06,17922
86,2020-02-07,17872
87,2020-02-08,17188
88,2020-02-09,15233
89,2020-02-10,16121
90,2020-02-11,17763
91,2020-02-12,27879
92,2020-02-13,22114
93,2020-02-14,22494
94,2020-02-15,21202
95,2020-02-16,22786
96,2020-02-17,24445
97,2020-02-18,20333
98,2020-02-19,17437
99,2020-02-20,18342
100,2020-02-21,13964
101,2020-02-22,12117
102,2020-02-23,12628
103,2020-02-24,14929
104,2020-02-25,17587
105,2020-02-26,26661
106,2020-02-27,22623
107,2020-02-28,19097
108,2020-02-29,11925
109,2020-03-01,16990
110,2020-03-02,14870
111,2020-03-03,13989
112,2020-03-04,12216
113,2020-03-05,14913
114,2020-03-06,14835
115,2020-03-07,12581
116,2020-03-08,19827
117,2020-03-09,28720
118,2020-03-10,16947
119,2020-03-11,20071
120,2020-03-12,49214
121,2020-03-13,42786
122,2020-03-14,19791
123,2020-03-15,23675
124,2020-03-16,31023
125,2020-03-17,15715
126,2020-03-18,12194
127,2020-03-19,17856
128,2020-03-20,19714
129,2020-03-21,10953
130,2020-03-22,11371
131,2020-03-23,12487
132,2020-03-24,12296
133,2020-03-25,11672
134,2020-03-26,9565
135,2020-03-27,10351
136,2020-03-28,11922
137,2020-03-29,9310
138,2020-03-30,11277
139,2020-03-31,11313
140,2020-04-01,10599
141,2020-04-02,15119
142,2020-04-03,11666
143,2020-04-04,9485
144,2020-04-05,8514
145,2020-04-06,20563
146,2020-04-07,20195
147,2020-04-08,13412
148,2020-04-09,10715
149,2020-04-10,14674
150,2020-04-11,8258
151,2020-04-12,8948
152,2020-04-13,10989
153,2020-04-14,8706
154,2020-04-15,9635
155,2020-04-16,14708
156,2020-04-17,8706
157,2020-04-18,11336
158,2020-04-19,11532
159,2020-04-20,13859
160,2020-04-21,10246
161,2020-04-22,11482
162,2020-04-23,15398
163,2020-04-24,10646
164,2020-04-25,9933
165,2020-04-26,9335
166,2020-04-27,10167
167,2020-04-28,8942
168,2020-04-29,16076
169,2020-04-30,15708
170,2020-05-01,11805
171,2020-05-02,8832
172,2020-05-03,10719
173,2020-05-04,14310
174,2020-05-05,10148
175,2020-05-06,9887
176,2020-05-07,11810
177,2020-05-08,10454
178,2020-05-09,9665
179,2020-05-10,19007
180,2020-05-11,12073
181,2020-05-12,7952
182,2020-05-13,8816
183,2020-05-14,8411
184,2020-05-15,8757
185,2020-05-16,6216
186,2020-05-17,7291
187,2020-05-18,9410
188,2020-05-19,8106
189,2020-05-20,8018
190,2020-05-21,9198
191,2020-05-22,8786
192,2020-05-23,6862
193,2020-05-24,6402
194,2020-05-25,6303
195,2020-05-26,8344
196,2020-05-27,7124
197,2020-05-28,7977
198,2020-05-29,9903
199,2020-05-30,9599
200,2020-05-31,7882
201,2020-06-01,9980
202,2020-06-02,13557
203,2020-06-03,9045
204,2020-06-04,8757
205,2020-06-05,8357
206,2020-06-06,6056
207,2020-06-07,7034
208,2020-06-08,7348
209,2020-06-09,9565
210,2020-06-10,8566
211,2020-06-11,12280
212,2020-06-12,9677
213,2020-06-13,7181
214,2020-06-14,9945
215,2020-06-15,15914
216,2020-06-16,11193
217,2020-06-17,11053
218,2020-06-18,11204
219,2020-06-19,17574
220,2020-06-20,15711
221,2020-06-21,14465
222,2020-06-22,16606
223,2020-06-23,13723
224,2020-06-24,15611
225,2020-06-25,15750
226,2020-06-26,14517
227,2020-06-27,13749
228,2020-06-28,11979
229,2020-06-29,12486
230,2020-06-30,10707
