,dates,txs
0,2019-11-28,156
1,2019-11-29,139
2,2019-11-30,78
3,2019-12-01,90
4,2019-12-02,192
5,2019-12-03,292
6,2019-12-04,201
7,2019-12-05,163
8,2019-12-06,128
9,2019-12-07,103
10,2019-12-08,143
11,2019-12-09,144
12,2019-12-10,139
13,2019-12-11,73
14,2019-12-12,66
15,2019-12-13,52
16,2019-12-14,52
17,2019-12-15,54
18,2019-12-16,105
19,2019-12-17,111
20,2019-12-18,121
21,2019-12-19,99
22,2019-12-20,261
23,2019-12-21,233
24,2019-12-22,189
25,2019-12-23,210
26,2019-12-24,147
27,2019-12-25,127
28,2019-12-26,127
29,2019-12-27,162
30,2019-12-28,156
31,2019-12-29,116
32,2019-12-30,121
33,2019-12-31,132
34,2020-01-01,140
35,2020-01-02,173
36,2020-01-03,209
37,2020-01-04,146
38,2020-01-05,186
39,2020-01-06,179
40,2020-01-07,239
41,2020-01-08,381
42,2020-01-09,328
43,2020-01-10,282
44,2020-01-11,481
45,2020-01-12,259
46,2020-01-13,267
47,2020-01-14,339
48,2020-01-15,296
49,2020-01-16,1123
50,2020-01-17,326
51,2020-01-18,268
52,2020-01-19,346
53,2020-01-20,302
54,2020-01-21,313
55,2020-01-22,261
56,2020-01-23,295
57,2020-01-24,420
58,2020-01-25,318
59,2020-01-26,347
60,2020-01-27,417
61,2020-01-28,440
62,2020-01-29,427
63,2020-01-30,485
64,2020-01-31,593
65,2020-02-01,415
66,2020-02-02,403
67,2020-02-03,437
68,2020-02-04,530
69,2020-02-05,589
70,2020-02-06,604
71,2020-02-07,578
72,2020-02-08,594
73,2020-02-09,412
74,2020-02-10,473
75,2020-02-11,533
76,2020-02-12,755
77,2020-02-13,578
78,2020-02-14,853
79,2020-02-15,625
80,2020-02-16,646
81,2020-02-17,576
82,2020-02-18,575
83,2020-02-19,556
84,2020-02-20,483
85,2020-02-21,544
86,2020-02-22,453
87,2020-02-23,450
88,2020-02-24,433
89,2020-02-25,508
90,2020-02-26,545
91,2020-02-27,513
92,2020-02-28,482
93,2020-02-29,420
94,2020-03-01,481
95,2020-03-02,454
96,2020-03-03,543
97,2020-03-04,416
98,2020-03-05,1416
99,2020-03-06,549
100,2020-03-07,465
101,2020-03-08,568
102,2020-03-09,621
103,2020-03-10,447
104,2020-03-11,560
105,2020-03-12,1211
106,2020-03-13,1323
107,2020-03-14,657
108,2020-03-15,478
109,2020-03-16,711
110,2020-03-17,574
111,2020-03-18,532
112,2020-03-19,514
113,2020-03-20,526
114,2020-03-21,348
115,2020-03-22,263
116,2020-03-23,328
117,2020-03-24,305
118,2020-03-25,308
119,2020-03-26,338
120,2020-03-27,412
121,2020-03-28,360
122,2020-03-29,346
123,2020-03-30,341
124,2020-03-31,428
125,2020-04-01,420
126,2020-04-02,445
127,2020-04-03,416
128,2020-04-04,323
129,2020-04-05,323
130,2020-04-06,446
131,2020-04-07,384
132,2020-04-08,340
133,2020-04-09,283
134,2020-04-10,337
135,2020-04-11,206
136,2020-04-12,190
137,2020-04-13,248
138,2020-04-14,242
139,2020-04-15,241
140,2020-04-16,237
141,2020-04-17,226
142,2020-04-18,346
143,2020-04-19,434
144,2020-04-20,602
145,2020-04-21,519
146,2020-04-22,443
147,2020-04-23,456
148,2020-04-24,422
149,2020-04-25,360
150,2020-04-26,287
151,2020-04-27,311
152,2020-04-28,310
153,2020-04-29,355
154,2020-04-30,322
155,2020-05-01,369
156,2020-05-02,372
157,2020-05-03,222
158,2020-05-04,270
159,2020-05-05,191
160,2020-05-06,164
161,2020-05-07,197
162,2020-05-08,201
163,2020-05-09,193
164,2020-05-10,239
165,2020-05-11,218
166,2020-05-12,138
167,2020-05-13,135
168,2020-05-14,122
169,2020-05-15,199
170,2020-05-16,127
171,2020-05-17,130
172,2020-05-18,258
173,2020-05-19,238
174,2020-05-20,199
175,2020-05-21,181
176,2020-05-22,185
177,2020-05-23,158
178,2020-05-24,152
179,2020-05-25,127
180,2020-05-26,123
181,2020-05-27,119
182,2020-05-28,126
183,2020-05-29,171
184,2020-05-30,127
185,2020-05-31,127
186,2020-06-01,119
187,2020-06-02,186
188,2020-06-03,162
189,2020-06-04,136
190,2020-06-05,163
191,2020-06-06,98
192,2020-06-07,87
193,2020-06-08,105
194,2020-06-09,132
195,2020-06-10,133
196,2020-06-11,176
197,2020-06-12,186
198,2020-06-13,155
199,2020-06-14,218
200,2020-06-15,357
201,2020-06-16,520
202,2020-06-17,413
203,2020-06-18,509
204,2020-06-19,754
205,2020-06-20,731
206,2020-06-21,693
207,2020-06-22,464
208,2020-06-23,396
209,2020-06-24,457
210,2020-06-25,365
211,2020-06-26,496
212,2020-06-27,474
213,2020-06-28,406
214,2020-06-29,348
215,2020-06-30,366
