,dates,txs
0,2019-11-13,6
1,2019-11-14,0
2,2019-11-15,1
3,2019-11-16,0
4,2019-11-17,1
5,2019-11-18,1028
6,2019-11-19,1434
7,2019-11-20,746
8,2019-11-21,764
9,2019-11-22,853
10,2019-11-23,510
11,2019-11-24,439
12,2019-11-25,604
13,2019-11-26,460
14,2019-11-27,400
15,2019-11-28,420
16,2019-11-29,392
17,2019-11-30,308
18,2019-12-01,312
19,2019-12-02,652
20,2019-12-03,929
21,2019-12-04,810
22,2019-12-05,775
23,2019-12-06,708
24,2019-12-07,746
25,2019-12-08,756
26,2019-12-09,772
27,2019-12-10,783
28,2019-12-11,718
29,2019-12-12,690
30,2019-12-13,610
31,2019-12-14,460
32,2019-12-15,508
33,2019-12-16,740
34,2019-12-17,916
35,2019-12-18,976
36,2019-12-19,1029
37,2019-12-20,732
38,2019-12-21,512
39,2019-12-22,592
40,2019-12-23,660
41,2019-12-24,566
42,2019-12-25,451
43,2019-12-26,464
44,2019-12-27,692
45,2019-12-28,582
46,2019-12-29,506
47,2019-12-30,541
48,2019-12-31,540
49,2020-01-01,450
50,2020-01-02,610
51,2020-01-03,623
52,2020-01-04,551
53,2020-01-05,520
54,2020-01-06,777
55,2020-01-07,845
56,2020-01-08,956
57,2020-01-09,897
58,2020-01-10,818
59,2020-01-11,708
60,2020-01-12,585
61,2020-01-13,728
62,2020-01-14,989
63,2020-01-15,955
64,2020-01-16,1636
65,2020-01-17,3799
66,2020-01-18,2346
67,2020-01-19,1425
68,2020-01-20,833
69,2020-01-21,879
70,2020-01-22,764
71,2020-01-23,735
72,2020-01-24,809
73,2020-01-25,651
74,2020-01-26,661
75,2020-01-27,988
76,2020-01-28,964
77,2020-01-29,955
78,2020-01-30,992
79,2020-01-31,1021
80,2020-02-01,925
81,2020-02-02,1030
82,2020-02-03,1030
83,2020-02-04,1155
84,2020-02-05,1264
85,2020-02-06,1412
86,2020-02-07,1278
87,2020-02-08,1238
88,2020-02-09,1127
89,2020-02-10,1109
90,2020-02-11,1510
91,2020-02-12,1796
92,2020-02-13,1501
93,2020-02-14,1817
94,2020-02-15,1435
95,2020-02-16,1385
96,2020-02-17,1412
97,2020-02-18,1369
98,2020-02-19,1267
99,2020-02-20,1248
100,2020-02-21,1230
101,2020-02-22,999
102,2020-02-23,1050
103,2020-02-24,1153
104,2020-02-25,1164
105,2020-02-26,1619
106,2020-02-27,1209
107,2020-02-28,1114
108,2020-02-29,817
109,2020-03-01,899
110,2020-03-02,1129
111,2020-03-03,1055
112,2020-03-04,1901
113,2020-03-05,977
114,2020-03-06,1190
115,2020-03-07,934
116,2020-03-08,881
117,2020-03-09,1361
118,2020-03-10,1205
119,2020-03-11,1165
120,2020-03-12,2529
121,2020-03-13,2787
122,2020-03-14,1234
123,2020-03-15,1484
124,2020-03-16,2013
125,2020-03-17,1114
126,2020-03-18,895
127,2020-03-19,1112
128,2020-03-20,936
129,2020-03-21,657
130,2020-03-22,682
131,2020-03-23,999
132,2020-03-24,805
133,2020-03-25,751
134,2020-03-26,869
135,2020-03-27,807
136,2020-03-28,696
137,2020-03-29,618
138,2020-03-30,788
139,2020-03-31,891
140,2020-04-01,909
141,2020-04-02,1049
142,2020-04-03,960
143,2020-04-04,766
144,2020-04-05,718
145,2020-04-06,1241
146,2020-04-07,1059
147,2020-04-08,990
148,2020-04-09,886
149,2020-04-10,979
150,2020-04-11,679
151,2020-04-12,644
152,2020-04-13,816
153,2020-04-14,789
154,2020-04-15,989
155,2020-04-16,1029
156,2020-04-17,828
157,2020-04-18,797
158,2020-04-19,852
159,2020-04-20,1030
160,2020-04-21,948
161,2020-04-22,1021
162,2020-04-23,1240
163,2020-04-24,1287
164,2020-04-25,895
165,2020-04-26,988
166,2020-04-27,1241
167,2020-04-28,1483
168,2020-04-29,1666
169,2020-04-30,1801
170,2020-05-01,1570
171,2020-05-02,1177
172,2020-05-03,942
173,2020-05-04,1196
174,2020-05-05,1492
175,2020-05-06,1355
176,2020-05-07,1475
177,2020-05-08,1333
178,2020-05-09,1147
179,2020-05-10,1561
180,2020-05-11,1706
181,2020-05-12,1387
182,2020-05-13,1272
183,2020-05-14,1327
184,2020-05-15,1775
185,2020-05-16,965
186,2020-05-17,992
187,2020-05-18,1654
188,2020-05-19,1377
189,2020-05-20,1553
190,2020-05-21,1564
191,2020-05-22,1578
192,2020-05-23,1025
193,2020-05-24,839
194,2020-05-25,1101
195,2020-05-26,1735
196,2020-05-27,1528
197,2020-05-28,1342
198,2020-05-29,1486
199,2020-05-30,1014
200,2020-05-31,999
201,2020-06-01,1522
202,2020-06-02,2135
203,2020-06-03,1688
204,2020-06-04,1555
205,2020-06-05,1557
206,2020-06-06,1044
207,2020-06-07,926
208,2020-06-08,1305
209,2020-06-09,1891
210,2020-06-10,1364
211,2020-06-11,1609
212,2020-06-12,1506
213,2020-06-13,924
214,2020-06-14,988
215,2020-06-15,1500
216,2020-06-16,1493
217,2020-06-17,1510
218,2020-06-18,1532
219,2020-06-19,1758
220,2020-06-20,1499
221,2020-06-21,1211
222,2020-06-22,1919
223,2020-06-23,1529
224,2020-06-24,1960
225,2020-06-25,2042
226,2020-06-26,1740
227,2020-06-27,1442
228,2020-06-28,1293
229,2020-06-29,1861
230,2020-06-30,1724
