,txs
2019-11-13,6
2019-11-14,0
2019-11-15,1
2019-11-16,0
2019-11-17,1
2019-11-18,1033
2019-11-19,1654
2019-11-20,1064
2019-11-21,1201
2019-11-22,1371
2019-11-23,931
2019-11-24,835
2019-11-25,1085
2019-11-26,857
2019-11-27,892
2019-11-28,890
2019-11-29,784
2019-11-30,692
2019-12-01,763
2019-12-02,1173
2019-12-03,1555
2019-12-04,1444
2019-12-05,1359
2019-12-06,1269
2019-12-07,1314
2019-12-08,1274
2019-12-09,1496
2019-12-10,1551
2019-12-11,1453
2019-12-12,1364
2019-12-13,1321
2019-12-14,1107
2019-12-15,1175
2019-12-16,1693
2019-12-17,2083
2019-12-18,2105
2019-12-19,1922
2019-12-20,1556
2019-12-21,1217
2019-12-22,1316
2019-12-23,1519
2019-12-24,1312
2019-12-25,1141
2019-12-26,985
2019-12-27,1419
2019-12-28,1258
2019-12-29,1321
2019-12-30,1374
2019-12-31,1282
2020-01-01,975
2020-01-02,1286
2020-01-03,1566
2020-01-04,1332
2020-01-05,1458
2020-01-06,2042
2020-01-07,2116
2020-01-08,2265
2020-01-09,2208
2020-01-10,2130
2020-01-11,1688
2020-01-12,1674
2020-01-13,2020
2020-01-14,2883
2020-01-15,2686
2020-01-16,2915
2020-01-17,5522
2020-01-18,3951
2020-01-19,3082
2020-01-20,2345
2020-01-21,2714
2020-01-22,2163
2020-01-23,2114
2020-01-24,2279
2020-01-25,1802
2020-01-26,1910
2020-01-27,2637
2020-01-28,2723
2020-01-29,2791
2020-01-30,2822
2020-01-31,2892
2020-02-01,2585
2020-02-02,2645
2020-02-03,2874
2020-02-04,3056
2020-02-05,3610
2020-02-06,3900
2020-02-07,3768
2020-02-08,3023
2020-02-09,3219
2020-02-10,3206
2020-02-11,3575
2020-02-12,4928
2020-02-13,3829
2020-02-14,4451
2020-02-15,4004
2020-02-16,3500
2020-02-17,3857
2020-02-18,4000
2020-02-19,3753
2020-02-20,3920
2020-02-21,3408
2020-02-22,2988
2020-02-23,2996
2020-02-24,3256
2020-02-25,3548
2020-02-26,4761
2020-02-27,3979
2020-02-28,3493
2020-02-29,2320
2020-03-01,3146
2020-03-02,3427
2020-03-03,3149
2020-03-04,3637
2020-03-05,3166
2020-03-06,3607
2020-03-07,2697
2020-03-08,3460
2020-03-09,4605
2020-03-10,3459
2020-03-11,3846
2020-03-12,7301
2020-03-13,7581
2020-03-14,3663
2020-03-15,4149
2020-03-16,5508
2020-03-17,3001
2020-03-18,2509
2020-03-19,3198
2020-03-20,2933
2020-03-21,1846
2020-03-22,1934
2020-03-23,2512
2020-03-24,2356
2020-03-25,2224
2020-03-26,2282
2020-03-27,2270
2020-03-28,2047
2020-03-29,1759
2020-03-30,2170
2020-03-31,2304
2020-04-01,2432
2020-04-02,2832
2020-04-03,2484
2020-04-04,2076
2020-04-05,1913
2020-04-06,3558
2020-04-07,3319
2020-04-08,2604
2020-04-09,2377
2020-04-10,2786
2020-04-11,1864
2020-04-12,1825
2020-04-13,2198
2020-04-14,2010
2020-04-15,2291
2020-04-16,2731
2020-04-17,2194
2020-04-18,2405
2020-04-19,2416
2020-04-20,2715
2020-04-21,2403
2020-04-22,2690
2020-04-23,3272
2020-04-24,3047
2020-04-25,2480
2020-04-26,2320
2020-04-27,2797
2020-04-28,3035
2020-04-29,3860
2020-04-30,3829
2020-05-01,3157
2020-05-02,2472
2020-05-03,2396
2020-05-04,2869
2020-05-05,3100
2020-05-06,2918
2020-05-07,3238
2020-05-08,3040
2020-05-09,2572
2020-05-10,3481
2020-05-11,3441
2020-05-12,2800
2020-05-13,2774
2020-05-14,2913
2020-05-15,3196
2020-05-16,2175
2020-05-17,2251
2020-05-18,3391
2020-05-19,2874
2020-05-20,3017
2020-05-21,3099
2020-05-22,3184
2020-05-23,2284
2020-05-24,1935
2020-05-25,2412
2020-05-26,3416
2020-05-27,2934
2020-05-28,2903
2020-05-29,3389
2020-05-30,2712
2020-05-31,2541
2020-06-01,3530
2020-06-02,4798
2020-06-03,3562
2020-06-04,3422
2020-06-05,3343
2020-06-06,2387
2020-06-07,2220
2020-06-08,3002
2020-06-09,4299
2020-06-10,3268
2020-06-11,3968
2020-06-12,3484
2020-06-13,2264
2020-06-14,2382
2020-06-15,3976
2020-06-16,3569
2020-06-17,3501
2020-06-18,3636
2020-06-19,4247
2020-06-20,3681
2020-06-21,3247
2020-06-22,4923
2020-06-23,4013
2020-06-24,4484
2020-06-25,4794
2020-06-26,4321
2020-06-27,3580
2020-06-28,3174
2020-06-29,4567
2020-06-30,3908
