,dates,txs
0,2019-11-13,0
1,2019-11-14,0
2,2019-11-15,0
3,2019-11-16,0
4,2019-11-17,0
5,2019-11-18,420
6,2019-11-19,498
7,2019-11-20,253
8,2019-11-21,348
9,2019-11-22,348
10,2019-11-23,250
11,2019-11-24,190
12,2019-11-25,261
13,2019-11-26,188
14,2019-11-27,178
15,2019-11-28,229
16,2019-11-29,191
17,2019-11-30,149
18,2019-12-01,164
19,2019-12-02,393
20,2019-12-03,606
21,2019-12-04,491
22,2019-12-05,513
23,2019-12-06,446
24,2019-12-07,506
25,2019-12-08,464
26,2019-12-09,465
27,2019-12-10,467
28,2019-12-11,471
29,2019-12-12,462
30,2019-12-13,387
31,2019-12-14,316
32,2019-12-15,340
33,2019-12-16,505
34,2019-12-17,588
35,2019-12-18,695
36,2019-12-19,509
37,2019-12-20,505
38,2019-12-21,379
39,2019-12-22,383
40,2019-12-23,510
41,2019-12-24,545
42,2019-12-25,354
43,2019-12-26,337
44,2019-12-27,391
45,2019-12-28,436
46,2019-12-29,419
47,2019-12-30,408
48,2019-12-31,336
49,2020-01-01,332
50,2020-01-02,414
51,2020-01-03,413
52,2020-01-04,421
53,2020-01-05,346
54,2020-01-06,524
55,2020-01-07,589
56,2020-01-08,722
57,2020-01-09,701
58,2020-01-10,624
59,2020-01-11,565
60,2020-01-12,421
61,2020-01-13,530
62,2020-01-14,961
63,2020-01-15,692
64,2020-01-16,1341
65,2020-01-17,2287
66,2020-01-18,2369
67,2020-01-19,1550
68,2020-01-20,715
69,2020-01-21,668
70,2020-01-22,618
71,2020-01-23,568
72,2020-01-24,548
73,2020-01-25,510
74,2020-01-26,506
75,2020-01-27,657
76,2020-01-28,712
77,2020-01-29,733
78,2020-01-30,764
79,2020-01-31,796
80,2020-02-01,731
81,2020-02-02,813
82,2020-02-03,780
83,2020-02-04,841
84,2020-02-05,949
85,2020-02-06,1061
86,2020-02-07,1131
87,2020-02-08,1020
88,2020-02-09,1030
89,2020-02-10,1287
90,2020-02-11,1140
91,2020-02-12,1503
92,2020-02-13,1165
93,2020-02-14,1368
94,2020-02-15,1133
95,2020-02-16,1093
96,2020-02-17,1049
97,2020-02-18,1095
98,2020-02-19,1009
99,2020-02-20,1060
100,2020-02-21,892
101,2020-02-22,785
102,2020-02-23,848
103,2020-02-24,1184
104,2020-02-25,1102
105,2020-02-26,1261
106,2020-02-27,1103
107,2020-02-28,857
108,2020-02-29,760
109,2020-03-01,827
110,2020-03-02,909
111,2020-03-03,858
112,2020-03-04,730
113,2020-03-05,1705
114,2020-03-06,941
115,2020-03-07,752
116,2020-03-08,678
117,2020-03-09,1324
118,2020-03-10,905
119,2020-03-11,1022
120,2020-03-12,2123
121,2020-03-13,2300
122,2020-03-14,1090
123,2020-03-15,1251
124,2020-03-16,1768
125,2020-03-17,908
126,2020-03-18,856
127,2020-03-19,840
128,2020-03-20,763
129,2020-03-21,521
130,2020-03-22,592
131,2020-03-23,870
132,2020-03-24,596
133,2020-03-25,531
134,2020-03-26,704
135,2020-03-27,689
136,2020-03-28,768
137,2020-03-29,525
138,2020-03-30,611
139,2020-03-31,724
140,2020-04-01,760
141,2020-04-02,858
142,2020-04-03,812
143,2020-04-04,621
144,2020-04-05,588
145,2020-04-06,929
146,2020-04-07,953
147,2020-04-08,759
148,2020-04-09,665
149,2020-04-10,904
150,2020-04-11,545
151,2020-04-12,512
152,2020-04-13,556
153,2020-04-14,573
154,2020-04-15,737
155,2020-04-16,811
156,2020-04-17,571
157,2020-04-18,689
158,2020-04-19,745
159,2020-04-20,766
160,2020-04-21,725
161,2020-04-22,765
162,2020-04-23,905
163,2020-04-24,835
164,2020-04-25,705
165,2020-04-26,637
166,2020-04-27,865
167,2020-04-28,783
168,2020-04-29,1242
169,2020-04-30,1116
170,2020-05-01,975
171,2020-05-02,781
172,2020-05-03,628
173,2020-05-04,846
174,2020-05-05,909
175,2020-05-06,746
176,2020-05-07,961
177,2020-05-08,836
178,2020-05-09,746
179,2020-05-10,873
180,2020-05-11,797
181,2020-05-12,814
182,2020-05-13,711
183,2020-05-14,803
184,2020-05-15,1074
185,2020-05-16,744
186,2020-05-17,832
187,2020-05-18,865
188,2020-05-19,881
189,2020-05-20,891
190,2020-05-21,906
191,2020-05-22,960
192,2020-05-23,774
193,2020-05-24,595
194,2020-05-25,727
195,2020-05-26,872
196,2020-05-27,882
197,2020-05-28,889
198,2020-05-29,951
199,2020-05-30,740
200,2020-05-31,634
201,2020-06-01,858
202,2020-06-02,1241
203,2020-06-03,1013
204,2020-06-04,1065
205,2020-06-05,1015
206,2020-06-06,817
207,2020-06-07,677
208,2020-06-08,1349
209,2020-06-09,1179
210,2020-06-10,912
211,2020-06-11,1123
212,2020-06-12,1161
213,2020-06-13,781
214,2020-06-14,922
215,2020-06-15,2887
216,2020-06-16,1019
217,2020-06-17,844
218,2020-06-18,901
219,2020-06-19,1358
220,2020-06-20,1675
221,2020-06-21,893
222,2020-06-22,1332
223,2020-06-23,1128
224,2020-06-24,1116
225,2020-06-25,1240
226,2020-06-26,1562
227,2020-06-27,1092
228,2020-06-28,1019
229,2020-06-29,1136
230,2020-06-30,1284
