,txs
2019-11-13,1
2019-11-14,0
2019-11-15,1
2019-11-16,0
2019-11-17,1
2019-11-18,611
2019-11-19,958
2019-11-20,590
2019-11-21,829
2019-11-22,1006
2019-11-23,657
2019-11-24,556
2019-11-25,845
2019-11-26,613
2019-11-27,647
2019-11-28,728
2019-11-29,655
2019-11-30,498
2019-12-01,592
2019-12-02,1010
2019-12-03,1315
2019-12-04,1174
2019-12-05,1160
2019-12-06,1057
2019-12-07,1106
2019-12-08,1106
2019-12-09,1196
2019-12-10,1231
2019-12-11,1199
2019-12-12,1169
2019-12-13,1101
2019-12-14,940
2019-12-15,980
2019-12-16,1472
2019-12-17,1813
2019-12-18,1881
2019-12-19,1378
2019-12-20,1333
2019-12-21,1048
2019-12-22,1062
2019-12-23,1354
2019-12-24,1230
2019-12-25,1001
2019-12-26,948
2019-12-27,1060
2019-12-28,1112
2019-12-29,1154
2019-12-30,1121
2019-12-31,986
2020-01-01,933
2020-01-02,1204
2020-01-03,1295
2020-01-04,1094
2020-01-05,1156
2020-01-06,1714
2020-01-07,1772
2020-01-08,2022
2020-01-09,1925
2020-01-10,1874
2020-01-11,1590
2020-01-12,1354
2020-01-13,1675
2020-01-14,2775
2020-01-15,2266
2020-01-16,2860
2020-01-17,3913
2020-01-18,3784
2020-01-19,3037
2020-01-20,2002
2020-01-21,2196
2020-01-22,1828
2020-01-23,1779
2020-01-24,1815
2020-01-25,1499
2020-01-26,1577
2020-01-27,2079
2020-01-28,2249
2020-01-29,2408
2020-01-30,2415
2020-01-31,2538
2020-02-01,2170
2020-02-02,2572
2020-02-03,2372
2020-02-04,2555
2020-02-05,3126
2020-02-06,3403
2020-02-07,3421
2020-02-08,2990
2020-02-09,2886
2020-02-10,3159
2020-02-11,3383
2020-02-12,4405
2020-02-13,3627
2020-02-14,3800
2020-02-15,3406
2020-02-16,3342
2020-02-17,3285
2020-02-18,3503
2020-02-19,3271
2020-02-20,3536
2020-02-21,2755
2020-02-22,2488
2020-02-23,2489
2020-02-24,3055
2020-02-25,3201
2020-02-26,4139
2020-02-27,3642
2020-02-28,2930
2020-02-29,2400
2020-03-01,2742
2020-03-02,2976
2020-03-03,2672
2020-03-04,2508
2020-03-05,3612
2020-03-06,3090
2020-03-07,2637
2020-03-08,2937
2020-03-09,4326
2020-03-10,2959
2020-03-11,3387
2020-03-12,6573
2020-03-13,7196
2020-03-14,3426
2020-03-15,3753
2020-03-16,4960
2020-03-17,3026
2020-03-18,2603
2020-03-19,3165
2020-03-20,2865
2020-03-21,1822
2020-03-22,1913
2020-03-23,2473
2020-03-24,2237
2020-03-25,2044
2020-03-26,2181
2020-03-27,2165
2020-03-28,2207
2020-03-29,1725
2020-03-30,2042
2020-03-31,2178
2020-04-01,2291
2020-04-02,2755
2020-04-03,2329
2020-04-04,1930
2020-04-05,1873
2020-04-06,3245
2020-04-07,3091
2020-04-08,2432
2020-04-09,2213
2020-04-10,2720
2020-04-11,1802
2020-04-12,1738
2020-04-13,1939
2020-04-14,1861
2020-04-15,2096
2020-04-16,2471
2020-04-17,1964
2020-04-18,2379
2020-04-19,2331
2020-04-20,2583
2020-04-21,2343
2020-04-22,2455
2020-04-23,2887
2020-04-24,2525
2020-04-25,2352
2020-04-26,2108
2020-04-27,2517
2020-04-28,2263
2020-04-29,3465
2020-04-30,3170
2020-05-01,2570
2020-05-02,2161
2020-05-03,2104
2020-05-04,2511
2020-05-05,2408
2020-05-06,2281
2020-05-07,2664
2020-05-08,2483
2020-05-09,2193
2020-05-10,2941
2020-05-11,2482
2020-05-12,2248
2020-05-13,2120
2020-05-14,2381
2020-05-15,2553
2020-05-16,2012
2020-05-17,2136
2020-05-18,2498
2020-05-19,2325
2020-05-20,2415
2020-05-21,2505
2020-05-22,2554
2020-05-23,2070
2020-05-24,1756
2020-05-25,2003
2020-05-26,2303
2020-05-27,2247
2020-05-28,2435
2020-05-29,2773
2020-05-30,2405
2020-05-31,2044
2020-06-01,2566
2020-06-02,3428
2020-06-03,2762
2020-06-04,2735
2020-06-05,2610
2020-06-06,2106
2020-06-07,1873
2020-06-08,2897
2020-06-09,2864
2020-06-10,2514
2020-06-11,3192
2020-06-12,2972
2020-06-13,2227
2020-06-14,2470
2020-06-15,5155
2020-06-16,3010
2020-06-17,2709
2020-06-18,2776
2020-06-19,3935
2020-06-20,4078
2020-06-21,2994
2020-06-22,3977
2020-06-23,3471
2020-06-24,3566
2020-06-25,3625
2020-06-26,3942
2020-06-27,3266
2020-06-28,2985
2020-06-29,3219
2020-06-30,3164
