,txvalue
2019-07-20,4313670.36
2019-07-21,0.0
2019-07-22,0.0
2019-07-23,0.0
2019-07-24,0.0
2019-07-25,1500000.0
2019-07-26,0.0
2019-07-27,0.0
2019-07-28,0.0
2019-07-29,1500000.0
2019-07-30,1776666.6666666667
2019-07-31,81.0
2019-08-01,0.0
2019-08-02,2336666.6666666665
2019-08-03,0.0
2019-08-04,0.0
2019-08-05,4137.58946519
2019-08-06,45096.19197610778
2019-08-07,1000000.0
2019-08-08,540204.0666666667
2019-08-09,4000000.0
2019-08-10,1427.141
2019-08-11,98.88
2019-08-12,2056.6043999099998
2019-08-13,1505689.8227015429
2019-08-14,167.44189275000002
2019-08-15,80.73488583444446
2019-08-16,14.03
2019-08-17,201.74619607285712
2019-08-18,31.460030156666665
2019-08-19,666788.0986374767
2019-08-20,40012.019568948
2019-08-21,837.2282469454548
2019-08-22,69351.17443528
2019-08-23,323632.7277108982
2019-08-24,77.14670267428572
2019-08-25,7.752662074999999
2019-08-26,56.70196522799999
2019-08-27,67.15883070636363
2019-08-28,456002.18566321896
2019-08-29,375212.04493999877
2019-08-30,155726.2767929989
2019-08-31,69.82
2019-09-01,192.77986713285713
2019-09-02,1000800.645168917
2019-09-03,818359.1111770886
2019-09-04,818275.9435137864
2019-09-05,835964.277756425
2019-09-06,305729.0142857143
2019-09-07,200111.9443057667
2019-09-08,817.5221160577778
2019-09-09,130064.24419537936
2019-09-10,27911.29507931077
2019-09-11,554708.81995
2019-09-12,858293.2903555555
2019-09-13,42287.81097596462
2019-09-14,553.7237206
2019-09-15,176739.37002373283
2019-09-16,170751.77158104
2019-09-17,246263.4897638286
2019-09-18,306406.49258695
2019-09-19,358476.44651036663
2019-09-20,99594.65627830225
2019-09-21,99.35831044250001
2019-09-22,536151.2327990271
2019-09-23,1615781.9812084213
2019-09-24,219645.88664677777
2019-09-25,323780.18096109666
2019-09-26,750251.4507247887
2019-09-27,75.107442005
2019-09-28,26826.260586800003
2019-09-29,60.52271064
2019-09-30,57693.53902623599
2019-10-01,152093.69666666666
2019-10-02,367460.07755854545
2019-10-03,32744.051773259
2019-10-04,3553.0476513249996
2019-10-05,73.765089875
2019-10-06,142981.7163212743
2019-10-07,386735.199013016
2019-10-08,293104.71792065684
2019-10-09,451898.3265137046
2019-10-10,426158.218698426
2019-10-11,206371.70524510997
2019-10-12,349.0907913833333
2019-10-13,76.93029566999999
2019-10-14,162911.15613062665
2019-10-15,364552.88706323813
2019-10-16,111179.44677136888
2019-10-17,469230.4645812592
2019-10-18,793719.2751458552
