,txvalue
2019-07-20,5392081400000000
2019-07-21,0
2019-07-22,0
2019-07-23,0
2019-07-24,0
2019-07-25,300000000000000
2019-07-26,0
2019-07-27,0
2019-07-28,0
2019-07-29,300000000000000
2019-07-30,1066000000000000
2019-07-31,0
2019-08-01,0
2019-08-02,-698000000000000
2019-08-03,0
2019-08-04,0
2019-08-05,-1022869572503
2019-08-06,-999900000000
2019-08-07,-300000000000000
2019-08-08,-404999900000000
2019-08-09,-800000000000000
2019-08-10,0
2019-08-11,0
2019-08-12,0
2019-08-13,-600000000000000
2019-08-14,0
2019-08-15,0
2019-08-16,0
2019-08-17,0
2019-08-18,0
2019-08-19,-300000000000000
2019-08-20,-10000000000000
2019-08-21,0
2019-08-22,50000000000000
2019-08-23,125000000000000
2019-08-24,0
2019-08-25,0
2019-08-26,0
2019-08-27,0
2019-08-28,-227999800000000
2019-08-29,50000100000000
2019-08-30,-70000000000000
2019-08-31,0
2019-09-01,0
2019-09-02,1049999100000000
2019-09-03,899999700000000
2019-09-04,450000000000000
2019-09-05,1421112400000000
2019-09-06,100000000000000
2019-09-07,60000000000000
2019-09-08,0
2019-09-09,7149488015074
2019-09-10,0
2019-09-11,454699400000000
2019-09-12,-135000000000000
2019-09-13,-24823317819452
2019-09-14,0
2019-09-15,123456700000000
2019-09-16,-72038440232756
2019-09-17,-172381138835785
2019-09-18,-59061298517390
2019-09-19,135000000000000
2019-09-20,-89365607758254
2019-09-21,0
2019-09-22,-82823400000000
2019-09-23,1373999618406764
2019-09-24,-98817900000000
2019-09-25,-145678800000000
2019-09-26,-300000000000000
2019-09-27,0
2019-09-28,6699000000000
2019-09-29,0
2019-09-30,28815200000000
2019-10-01,45622600000000
2019-10-02,200000000000000
2019-10-03,-16270638444307
2019-10-04,998000000000
2019-10-05,0
2019-10-06,50000000000000
2019-10-07,166698060124092
2019-10-08,-130314434942028
2019-10-09,-93727808190072
2019-10-10,-277857538698426
2019-10-11,-134146664196088
2019-10-12,50300000000
2019-10-13,0
2019-10-14,97390000000000
2019-10-15,-346753400000000
2019-10-16,-140138800000000
2019-10-17,-56000200000000
2019-10-18,417528700000000
2019-10-19,0
2019-10-20,0
2019-10-21,-327004700000000
2019-10-22,1050956434057658
2019-10-23,-35062741869130
