,dates,txs
0,2019-07-20,25
1,2019-07-21,0
2,2019-07-22,0
3,2019-07-23,0
4,2019-07-24,0
5,2019-07-25,4
6,2019-07-26,0
7,2019-07-27,0
8,2019-07-28,0
9,2019-07-29,4
10,2019-07-30,12
11,2019-07-31,1
12,2019-08-01,0
13,2019-08-02,6
14,2019-08-03,0
15,2019-08-04,0
16,2019-08-05,5
17,2019-08-06,9
18,2019-08-07,6
19,2019-08-08,15
20,2019-08-09,4
21,2019-08-10,1
22,2019-08-11,1
23,2019-08-12,5
24,2019-08-13,8
25,2019-08-14,4
26,2019-08-15,9
27,2019-08-16,1
28,2019-08-17,7
29,2019-08-18,3
30,2019-08-19,9
31,2019-08-20,5
32,2019-08-21,11
33,2019-08-22,15
34,2019-08-23,17
35,2019-08-24,7
36,2019-08-25,20
37,2019-08-26,10
38,2019-08-27,11
39,2019-08-28,10
40,2019-08-29,8
41,2019-08-30,9
42,2019-08-31,1
43,2019-09-01,14
44,2019-09-02,21
45,2019-09-03,22
46,2019-09-04,11
47,2019-09-05,34
48,2019-09-06,7
49,2019-09-07,6
50,2019-09-08,9
51,2019-09-09,16
52,2019-09-10,13
53,2019-09-11,10
54,2019-09-12,9
55,2019-09-13,13
56,2019-09-14,5
57,2019-09-15,7
58,2019-09-16,18
59,2019-09-17,14
60,2019-09-18,4
61,2019-09-19,12
62,2019-09-20,18
63,2019-09-21,4
64,2019-09-22,14
65,2019-09-23,23
66,2019-09-24,9
67,2019-09-25,9
68,2019-09-26,8
69,2019-09-27,2
70,2019-09-28,5
71,2019-09-29,8
72,2019-09-30,10
73,2019-10-01,6
74,2019-10-02,11
75,2019-10-03,10
76,2019-10-04,6
77,2019-10-05,4
78,2019-10-06,7
79,2019-10-07,10
80,2019-10-08,28
81,2019-10-09,13
82,2019-10-10,20
83,2019-10-11,16
84,2019-10-12,9
85,2019-10-13,4
86,2019-10-14,12
87,2019-10-15,21
88,2019-10-16,27
89,2019-10-17,22
90,2019-10-18,12
91,2019-10-19,4
92,2019-10-20,10
93,2019-10-21,39
94,2019-10-22,89
95,2019-10-23,47
96,2019-10-24,40
97,2019-10-25,28
98,2019-10-26,14
99,2019-10-27,317
100,2019-10-28,665
101,2019-10-29,644
102,2019-10-30,631
103,2019-10-31,424
104,2019-11-01,32
105,2019-11-02,17
106,2019-11-03,10
107,2019-11-04,29
108,2019-11-05,30
109,2019-11-06,42
110,2019-11-07,45
111,2019-11-08,78
112,2019-11-09,14
113,2019-11-10,18
114,2019-11-11,11
115,2019-11-12,59
116,2019-11-13,48
117,2019-11-14,50
