,dates,txs
0,2019-07-20,7
1,2019-07-21,0
2,2019-07-22,0
3,2019-07-23,0
4,2019-07-24,0
5,2019-07-25,2
6,2019-07-26,0
7,2019-07-27,0
8,2019-07-28,0
9,2019-07-29,2
10,2019-07-30,0
11,2019-07-31,0
12,2019-08-01,0
13,2019-08-02,1
14,2019-08-03,0
15,2019-08-04,0
16,2019-08-05,4
17,2019-08-06,6
18,2019-08-07,0
19,2019-08-08,6
20,2019-08-09,0
21,2019-08-10,1
22,2019-08-11,1
23,2019-08-12,4
24,2019-08-13,5
25,2019-08-14,3
26,2019-08-15,4
27,2019-08-16,1
28,2019-08-17,4
29,2019-08-18,3
30,2019-08-19,7
31,2019-08-20,4
32,2019-08-21,9
33,2019-08-22,9
34,2019-08-23,10
35,2019-08-24,6
36,2019-08-25,11
37,2019-08-26,4
38,2019-08-27,5
39,2019-08-28,2
40,2019-08-29,3
41,2019-08-30,5
42,2019-08-31,1
43,2019-09-01,11
44,2019-09-02,4
45,2019-09-03,9
46,2019-09-04,3
47,2019-09-05,12
48,2019-09-06,4
49,2019-09-07,2
50,2019-09-08,8
51,2019-09-09,10
52,2019-09-10,8
53,2019-09-11,2
54,2019-09-12,0
55,2019-09-13,4
56,2019-09-14,3
57,2019-09-15,4
58,2019-09-16,5
59,2019-09-17,4
60,2019-09-18,1
61,2019-09-19,8
62,2019-09-20,13
63,2019-09-21,4
64,2019-09-22,3
65,2019-09-23,7
66,2019-09-24,5
67,2019-09-25,3
68,2019-09-26,2
69,2019-09-27,2
70,2019-09-28,3
71,2019-09-29,7
72,2019-09-30,6
73,2019-10-01,3
74,2019-10-02,6
75,2019-10-03,5
76,2019-10-04,5
77,2019-10-05,3
78,2019-10-06,5
79,2019-10-07,2
80,2019-10-08,8
81,2019-10-09,3
82,2019-10-10,4
83,2019-10-11,3
84,2019-10-12,4
85,2019-10-13,4
86,2019-10-14,8
87,2019-10-15,2
88,2019-10-16,5
89,2019-10-17,9
90,2019-10-18,5
91,2019-10-19,3
92,2019-10-20,10
93,2019-10-21,10
94,2019-10-22,23
95,2019-10-23,7
96,2019-10-24,18
97,2019-10-25,5
98,2019-10-26,6
99,2019-10-27,104
100,2019-10-28,252
101,2019-10-29,79
102,2019-10-30,98
103,2019-10-31,24
104,2019-11-01,9
105,2019-11-02,1
106,2019-11-03,5
107,2019-11-04,5
108,2019-11-05,2
109,2019-11-06,7
110,2019-11-07,5
111,2019-11-08,12
112,2019-11-09,3
113,2019-11-10,10
114,2019-11-11,6
115,2019-11-12,8
116,2019-11-13,13
117,2019-11-14,7
118,2019-11-15,8
119,2019-11-16,2
120,2019-11-17,4
121,2019-11-18,2
122,2019-11-19,8
123,2019-11-20,11
124,2019-11-21,8
125,2019-11-22,6
126,2019-11-23,5
127,2019-11-24,4
128,2019-11-25,6
129,2019-11-26,11
130,2019-11-27,7
131,2019-11-28,2
132,2019-11-29,5
133,2019-11-30,7
134,2019-12-01,5
135,2019-12-02,6
136,2019-12-03,2
137,2019-12-04,2
138,2019-12-05,10
139,2019-12-06,6
140,2019-12-07,3
141,2019-12-08,4
142,2019-12-09,3
143,2019-12-10,5
144,2019-12-11,8
145,2019-12-12,4
146,2019-12-13,14
147,2019-12-14,6
148,2019-12-15,4
149,2019-12-16,4
150,2019-12-17,10
151,2019-12-18,10
152,2019-12-19,5
153,2019-12-20,9
154,2019-12-21,2
155,2019-12-22,2
156,2019-12-23,6
157,2019-12-24,13
158,2019-12-25,2
159,2019-12-26,5
160,2019-12-27,6
161,2019-12-28,8
162,2019-12-29,8
163,2019-12-30,4
164,2019-12-31,8
165,2020-01-01,9
166,2020-01-02,4
167,2020-01-03,7
168,2020-01-04,4
169,2020-01-05,5
170,2020-01-06,6
171,2020-01-07,5
172,2020-01-08,10
173,2020-01-09,2
174,2020-01-10,11
175,2020-01-11,13
176,2020-01-12,1
177,2020-01-13,4
178,2020-01-14,22
179,2020-01-15,23
180,2020-01-16,12
181,2020-01-17,10
182,2020-01-18,12
183,2020-01-19,11
184,2020-01-20,6
185,2020-01-21,8
186,2020-01-22,18
187,2020-01-23,3
188,2020-01-24,3
189,2020-01-25,4
190,2020-01-26,5
191,2020-01-27,9
192,2020-01-28,4
193,2020-01-29,5
194,2020-01-30,4
195,2020-01-31,13
196,2020-02-01,20
197,2020-02-02,3
198,2020-02-03,7
199,2020-02-04,6
200,2020-02-05,15
201,2020-02-06,12
202,2020-02-07,8
203,2020-02-08,7
204,2020-02-09,9
205,2020-02-10,14
206,2020-02-11,20
207,2020-02-12,16
208,2020-02-13,17
209,2020-02-14,22
210,2020-02-15,17
211,2020-02-16,9
212,2020-02-17,11
213,2020-02-18,2
214,2020-02-19,11
215,2020-02-20,15
216,2020-02-21,16
217,2020-02-22,11
218,2020-02-23,18
219,2020-02-24,21
220,2020-02-25,10
221,2020-02-26,21
222,2020-02-27,19
223,2020-02-28,13
224,2020-02-29,12
225,2020-03-01,5
226,2020-03-02,11
227,2020-03-03,10
