,txs
2019-07-20,7
2019-07-21,0
2019-07-22,0
2019-07-23,0
2019-07-24,0
2019-07-25,2
2019-07-26,0
2019-07-27,0
2019-07-28,0
2019-07-29,2
2019-07-30,2
2019-07-31,1
2019-08-01,0
2019-08-02,4
2019-08-03,0
2019-08-04,0
2019-08-05,5
2019-08-06,9
2019-08-07,2
2019-08-08,8
2019-08-09,2
2019-08-10,1
2019-08-11,1
2019-08-12,5
2019-08-13,8
2019-08-14,4
2019-08-15,9
2019-08-16,1
2019-08-17,6
2019-08-18,3
2019-08-19,9
2019-08-20,5
2019-08-21,11
2019-08-22,11
2019-08-23,15
2019-08-24,7
2019-08-25,12
2019-08-26,7
2019-08-27,7
2019-08-28,4
2019-08-29,7
2019-08-30,7
2019-08-31,1
2019-09-01,11
2019-09-02,6
2019-09-03,12
2019-09-04,7
2019-09-05,17
2019-09-06,7
2019-09-07,6
2019-09-08,8
2019-09-09,15
2019-09-10,10
2019-09-11,5
2019-09-12,5
2019-09-13,10
2019-09-14,4
2019-09-15,6
2019-09-16,12
2019-09-17,8
2019-09-18,4
2019-09-19,12
2019-09-20,16
2019-09-21,4
2019-09-22,6
2019-09-23,12
2019-09-24,7
2019-09-25,6
2019-09-26,4
2019-09-27,2
2019-09-28,4
2019-09-29,7
2019-09-30,10
2019-10-01,6
2019-10-02,9
2019-10-03,7
2019-10-04,6
2019-10-05,3
2019-10-06,7
2019-10-07,7
2019-10-08,15
2019-10-09,10
2019-10-10,12
2019-10-11,10
2019-10-12,7
2019-10-13,4
2019-10-14,11
2019-10-15,13
2019-10-16,14
2019-10-17,14
2019-10-18,11
2019-10-19,4
2019-10-20,10
2019-10-21,19
2019-10-22,35
2019-10-23,15
2019-10-24,27
2019-10-25,14
2019-10-26,11
2019-10-27,114
2019-10-28,315
2019-10-29,303
2019-10-30,310
2019-10-31,208
2019-11-01,21
2019-11-02,9
2019-11-03,9
2019-11-04,14
2019-11-05,13
2019-11-06,19
2019-11-07,14
2019-11-08,23
2019-11-09,14
2019-11-10,14
2019-11-11,10
2019-11-12,28
2019-11-13,27
2019-11-14,23
2019-11-15,24
2019-11-16,8
2019-11-17,9
2019-11-18,18
2019-11-19,27
2019-11-20,30
2019-11-21,24
2019-11-22,18
2019-11-23,5
2019-11-24,7
2019-11-25,18
2019-11-26,22
2019-11-27,23
2019-11-28,15
2019-11-29,18
2019-11-30,16
2019-12-01,10
2019-12-02,25
2019-12-03,17
2019-12-04,21
2019-12-05,23
2019-12-06,16
2019-12-07,5
2019-12-08,9
2019-12-09,17
2019-12-10,18
2019-12-11,22
2019-12-12,16
2019-12-13,24
2019-12-14,15
2019-12-15,12
2019-12-16,17
2019-12-17,23
2019-12-18,31
2019-12-19,28
2019-12-20,30
2019-12-21,16
2019-12-22,18
2019-12-23,26
2019-12-24,36
2019-12-25,18
2019-12-26,25
2019-12-27,20
2019-12-28,25
2019-12-29,27
2019-12-30,25
2019-12-31,31
2020-01-01,28
2020-01-02,20
2020-01-03,38
2020-01-04,24
2020-01-05,20
2020-01-06,31
2020-01-07,30
2020-01-08,41
2020-01-09,25
2020-01-10,36
2020-01-11,35
2020-01-12,17
2020-01-13,35
2020-01-14,57
2020-01-15,69
2020-01-16,48
2020-01-17,48
2020-01-18,35
2020-01-19,29
2020-01-20,26
2020-01-21,39
2020-01-22,44
2020-01-23,27
2020-01-24,22
2020-01-25,20
2020-01-26,20
2020-01-27,30
2020-01-28,33
2020-01-29,31
2020-01-30,27
2020-01-31,39
2020-02-01,32
2020-02-02,20
2020-02-03,26
2020-02-04,31
2020-02-05,52
2020-02-06,52
2020-02-07,39
2020-02-08,32
2020-02-09,36
2020-02-10,53
2020-02-11,54
2020-02-12,50
2020-02-13,50
2020-02-14,65
2020-02-15,38
2020-02-16,34
2020-02-17,43
2020-02-18,39
2020-02-19,54
2020-02-20,54
2020-02-21,54
2020-02-22,30
2020-02-23,39
2020-02-24,53
2020-02-25,48
2020-02-26,63
2020-02-27,64
2020-02-28,49
2020-02-29,30
2020-03-01,21
2020-03-02,45
2020-03-03,39
2020-03-04,41
2020-03-05,41
2020-03-06,37
2020-03-07,42
2020-03-08,40
2020-03-09,57
2020-03-10,48
2020-03-11,59
2020-03-12,62
2020-03-13,98
2020-03-14,48
2020-03-15,44
2020-03-16,70
2020-03-17,69
2020-03-18,73
2020-03-19,72
2020-03-20,54
2020-03-21,33
2020-03-22,25
2020-03-23,58
2020-03-24,56
2020-03-25,56
2020-03-26,48
2020-03-27,56
2020-03-28,42
2020-03-29,38
2020-03-30,69
2020-03-31,63
2020-04-01,71
2020-04-02,54
2020-04-03,56
2020-04-04,29
2020-04-05,27
2020-04-06,52
2020-04-07,71
2020-04-08,57
2020-04-09,67
2020-04-10,56
2020-04-11,44
2020-04-12,39
2020-04-13,64
2020-04-14,79
2020-04-15,72
2020-04-16,79
2020-04-17,60
2020-04-18,37
2020-04-19,40
2020-04-20,48
2020-04-21,65
2020-04-22,48
2020-04-23,64
2020-04-24,50
2020-04-25,43
2020-04-26,35
2020-04-27,55
2020-04-28,70
2020-04-29,56
2020-04-30,69
2020-05-01,39
2020-05-02,31
2020-05-03,29
2020-05-04,51
2020-05-05,57
2020-05-06,69
2020-05-07,57
2020-05-08,54
2020-05-09,37
2020-05-10,55
2020-05-11,56
2020-05-12,50
2020-05-13,48
2020-05-14,60
2020-05-15,51
2020-05-16,31
2020-05-17,37
2020-05-18,72
