,dates,txs
0,2019-07-20,1
1,2019-07-21,0
2,2019-07-22,0
3,2019-07-23,0
4,2019-07-24,0
5,2019-07-25,0
6,2019-07-26,0
7,2019-07-27,0
8,2019-07-28,0
9,2019-07-29,0
10,2019-07-30,0
11,2019-07-31,0
12,2019-08-01,0
13,2019-08-02,0
14,2019-08-03,0
15,2019-08-04,0
16,2019-08-05,2
17,2019-08-06,2
18,2019-08-07,0
19,2019-08-08,3
20,2019-08-09,0
21,2019-08-10,0
22,2019-08-11,0
23,2019-08-12,0
24,2019-08-13,3
25,2019-08-14,3
26,2019-08-15,2
27,2019-08-16,0
28,2019-08-17,4
29,2019-08-18,1
30,2019-08-19,0
31,2019-08-20,1
32,2019-08-21,5
33,2019-08-22,2
34,2019-08-23,4
35,2019-08-24,4
36,2019-08-25,6
37,2019-08-26,2
38,2019-08-27,1
39,2019-08-28,1
40,2019-08-29,0
41,2019-08-30,2
42,2019-08-31,0
43,2019-09-01,4
44,2019-09-02,0
45,2019-09-03,2
46,2019-09-04,2
47,2019-09-05,2
48,2019-09-06,1
49,2019-09-07,1
50,2019-09-08,3
51,2019-09-09,5
52,2019-09-10,3
53,2019-09-11,0
54,2019-09-12,1
55,2019-09-13,2
56,2019-09-14,1
57,2019-09-15,2
58,2019-09-16,4
59,2019-09-17,1
60,2019-09-18,1
61,2019-09-19,2
62,2019-09-20,4
63,2019-09-21,0
64,2019-09-22,1
65,2019-09-23,2
66,2019-09-24,2
67,2019-09-25,0
68,2019-09-26,0
69,2019-09-27,0
70,2019-09-28,1
71,2019-09-29,3
72,2019-09-30,1
73,2019-10-01,0
74,2019-10-02,1
75,2019-10-03,3
76,2019-10-04,2
77,2019-10-05,1
78,2019-10-06,0
79,2019-10-07,1
80,2019-10-08,4
81,2019-10-09,1
82,2019-10-10,1
83,2019-10-11,1
84,2019-10-12,0
85,2019-10-13,1
86,2019-10-14,2
87,2019-10-15,2
88,2019-10-16,0
89,2019-10-17,2
90,2019-10-18,2
91,2019-10-19,0
92,2019-10-20,1
93,2019-10-21,6
94,2019-10-22,20
95,2019-10-23,4
96,2019-10-24,8
97,2019-10-25,3
98,2019-10-26,2
99,2019-10-27,90
100,2019-10-28,256
101,2019-10-29,71
102,2019-10-30,64
103,2019-10-31,20
104,2019-11-01,0
105,2019-11-02,2
106,2019-11-03,0
107,2019-11-04,2
108,2019-11-05,0
109,2019-11-06,3
110,2019-11-07,2
111,2019-11-08,5
112,2019-11-09,1
113,2019-11-10,3
114,2019-11-11,3
115,2019-11-12,4
116,2019-11-13,7
117,2019-11-14,2
118,2019-11-15,6
119,2019-11-16,0
120,2019-11-17,3
121,2019-11-18,1
122,2019-11-19,0
123,2019-11-20,1
124,2019-11-21,48
125,2019-11-22,2
126,2019-11-23,1
127,2019-11-24,5
128,2019-11-25,2
129,2019-11-26,6
130,2019-11-27,6
131,2019-11-28,3
132,2019-11-29,2
133,2019-11-30,4
134,2019-12-01,0
135,2019-12-02,4
136,2019-12-03,1
137,2019-12-04,0
138,2019-12-05,3
139,2019-12-06,4
140,2019-12-07,1
141,2019-12-08,3
142,2019-12-09,0
143,2019-12-10,1
144,2019-12-11,7
145,2019-12-12,4
146,2019-12-13,4
147,2019-12-14,1
148,2019-12-15,0
149,2019-12-16,3
150,2019-12-17,4
151,2019-12-18,4
152,2019-12-19,1
153,2019-12-20,8
154,2019-12-21,0
155,2019-12-22,1
156,2019-12-23,2
157,2019-12-24,3
158,2019-12-25,4
159,2019-12-26,1
160,2019-12-27,3
161,2019-12-28,5
162,2019-12-29,3
163,2019-12-30,2
164,2019-12-31,2
165,2020-01-01,4
166,2020-01-02,4
167,2020-01-03,7
168,2020-01-04,5
