,txvalue
2018-09-10,4.7975e+20
2018-09-11,2.507638e+23
2018-09-12,-1.5076e+20
2018-09-13,3.7737e+20
2018-09-14,0.0
2018-09-15,0.0
2018-09-16,0.0
2018-09-17,6.96e+20
2018-09-18,1.29999e+24
2018-09-19,4.75e+20
2018-09-20,6.532985999999999e+24
2018-09-21,3.57027e+24
2018-09-22,5.001e+23
2018-09-23,0.0
2018-09-24,1.0104e+24
2018-09-25,0.0
2018-09-26,-3.4e+18
2018-09-27,9.773904299999999e+23
2018-09-28,9.3660659e+23
2018-09-29,0.0
2018-09-30,0.0
2018-10-01,-5.5e+20
2018-10-02,-4.488e+19
2018-10-03,4.1758413e+23
2018-10-04,-8.3466055e+23
2018-10-05,9.5546396e+23
2018-10-06,0.0
2018-10-07,0.0
2018-10-08,-9.9856124e+23
2018-10-09,9.645225999999999e+23
2018-10-10,-1.9857854e+23
2018-10-11,1.574468e+23
2018-10-12,6.28979571e+24
2018-10-13,2.66681451e+24
2018-10-14,0.0
2018-10-15,1.162420116e+25
2018-10-16,1.44267175e+25
2018-10-17,1.292382518e+25
2018-10-18,-2.6787404e+23
2018-10-19,1.353003203e+25
2018-10-20,5.21610266e+24
2018-10-21,0.0
2018-10-22,8.804567e+22
2018-10-23,1.479813891e+25
2018-10-24,1.2101931000000006e+23
2018-10-25,-5.9177844e+23
2018-10-26,1.233547709e+25
2018-10-27,1.4107521e+23
2018-10-28,0.0
2018-10-29,-2.0365427500000002e+24
2018-10-30,5.4449651e+24
2018-10-31,-2.9460051200000003e+24
2018-11-01,6.79091494e+24
2018-11-02,1.7878985069999999e+25
2018-11-03,1.93106345e+24
2018-11-04,0.0
2018-11-05,2.2434720200000002e+24
2018-11-06,-4.748706100000002e+23
2018-11-07,-2.9942782999999986e+23
2018-11-08,7.071970300000002e+23
2018-11-09,-1.34944007e+24
2018-11-10,0.0
2018-11-11,-7.1062947e+23
2018-11-12,-3.61441925e+24
2018-11-13,-1.0122097000000015e+23
2018-11-14,-1.90673617e+24
2018-11-15,3.881172e+23
2018-11-16,3.49712131e+24
2018-11-17,9.652622600000001e+23
2018-11-18,1.990904e+23
2018-11-19,1.49296203e+24
2018-11-20,-3.1637525000000036e+23
2018-11-21,7.483389199999999e+23
2018-11-22,1.64678663e+24
2018-11-23,2.21413336e+24
2018-11-24,-1.1204444600000001e+24
2018-11-25,0.0
2018-11-26,-3.41042855e+24
2018-11-27,-7.2928512e+23
2018-11-28,1.2939461299999993e+24
2018-11-29,5.869508999999999e+24
2018-11-30,2.1758321800000003e+25
2018-12-01,1.56077095e+24
2018-12-02,0.0
2018-12-03,1.8269668790000002e+25
2018-12-04,-9.45190392e+24
2018-12-05,-1.320595276e+25
2018-12-06,5.5451223e+24
2018-12-07,3.0921375099999995e+24
2018-12-08,3.7821929e+24
2018-12-09,1.8622876e+23
2018-12-10,-3.4154183899999995e+24
2018-12-11,-5.83497059e+24
2018-12-12,-6.16330261e+24
2018-12-13,-3.38320025e+24
2018-12-14,-1.8279406000000002e+24
2018-12-15,0.0
2018-12-16,0.0
2018-12-17,-2.4020849e+24
2018-12-18,-2.28654858e+24
2018-12-19,-6.32587460000001e+23
2018-12-20,2.8855318000000002e+23
2018-12-21,7.10222437e+24
2018-12-22,0.0
2018-12-23,0.0
2018-12-24,-6.3815593e+23
2018-12-25,0.0
2018-12-26,-2.36692964e+24
2018-12-27,-3.57967439e+24
2018-12-28,-4.2620675200000006e+24
2018-12-29,0.0
2018-12-30,0.0
2018-12-31,-2.94874749e+24
2019-01-01,0.0
2019-01-02,-1.142905033e+25
2019-01-03,1.2818712199999998e+24
2019-01-04,-8.6592799e+23
2019-01-05,1.1326325e+24
2019-01-06,0.0
2019-01-07,-1.74385573e+24
2019-01-08,1.1019458599999997e+24
