,dates,txs
0,2018-09-10,35
1,2018-09-11,8
2,2018-09-12,11
3,2018-09-13,10
4,2018-09-14,0
5,2018-09-15,1
6,2018-09-16,2
7,2018-09-17,8
8,2018-09-18,17
9,2018-09-19,33
10,2018-09-20,18
11,2018-09-21,35
12,2018-09-22,8
13,2018-09-23,2
14,2018-09-24,29
15,2018-09-25,8
16,2018-09-26,7
17,2018-09-27,26
18,2018-09-28,96
19,2018-09-29,40
20,2018-09-30,84
21,2018-10-01,44
22,2018-10-02,22
23,2018-10-03,39
24,2018-10-04,42
25,2018-10-05,27
26,2018-10-06,3
27,2018-10-07,6
28,2018-10-08,22
29,2018-10-09,44
30,2018-10-10,34
31,2018-10-11,82
32,2018-10-12,96
33,2018-10-13,52
34,2018-10-14,33
35,2018-10-15,189
36,2018-10-16,171
37,2018-10-17,129
38,2018-10-18,124
39,2018-10-19,217
40,2018-10-20,462
41,2018-10-21,362
42,2018-10-22,251
43,2018-10-23,128
44,2018-10-24,102
45,2018-10-25,167
46,2018-10-26,1580
47,2018-10-27,196
48,2018-10-28,64
49,2018-10-29,207
50,2018-10-30,240
51,2018-10-31,285
52,2018-11-01,427
53,2018-11-02,452
54,2018-11-03,231
55,2018-11-04,152
56,2018-11-05,259
57,2018-11-06,237
58,2018-11-07,601
59,2018-11-08,518
60,2018-11-09,460
61,2018-11-10,235
62,2018-11-11,173
63,2018-11-12,308
64,2018-11-13,702
65,2018-11-14,879
66,2018-11-15,542
67,2018-11-16,311
68,2018-11-17,153
69,2018-11-18,159
70,2018-11-19,519
71,2018-11-20,778
72,2018-11-21,372
73,2018-11-22,306
74,2018-11-23,362
75,2018-11-24,378
76,2018-11-25,413
77,2018-11-26,331
78,2018-11-27,335
79,2018-11-28,598
80,2018-11-29,549
81,2018-11-30,414
82,2018-12-01,215
83,2018-12-02,145
84,2018-12-03,559
85,2018-12-04,585
86,2018-12-05,572
87,2018-12-06,508
88,2018-12-07,530
89,2018-12-08,243
90,2018-12-09,202
91,2018-12-10,321
92,2018-12-11,444
93,2018-12-12,454
94,2018-12-13,468
95,2018-12-14,297
96,2018-12-15,215
97,2018-12-16,173
98,2018-12-17,359
99,2018-12-18,615
100,2018-12-19,596
101,2018-12-20,673
102,2018-12-21,404
103,2018-12-22,225
104,2018-12-23,232
105,2018-12-24,315
106,2018-12-25,207
107,2018-12-26,294
108,2018-12-27,238
109,2018-12-28,275
110,2018-12-29,167
111,2018-12-30,213
112,2018-12-31,230
113,2019-01-01,142
114,2019-01-02,291
115,2019-01-03,192
116,2019-01-04,209
117,2019-01-05,165
118,2019-01-06,187
119,2019-01-07,227
120,2019-01-08,209
121,2019-01-09,220
122,2019-01-10,351
123,2019-01-11,289
124,2019-01-12,200
125,2019-01-13,179
126,2019-01-14,208
127,2019-01-15,279
128,2019-01-16,304
129,2019-01-17,233
130,2019-01-18,165
131,2019-01-19,154
132,2019-01-20,119
133,2019-01-21,113
134,2019-01-22,122
135,2019-01-23,170
136,2019-01-24,169
137,2019-01-25,210
138,2019-01-26,128
139,2019-01-27,129
140,2019-01-28,221
141,2019-01-29,324
142,2019-01-30,4145
143,2019-01-31,3658
144,2019-02-01,3385
145,2019-02-02,983
146,2019-02-03,307
147,2019-02-04,491
148,2019-02-05,241
149,2019-02-06,206
150,2019-02-07,179
151,2019-02-08,223
152,2019-02-09,174
153,2019-02-10,109
154,2019-02-11,407
155,2019-02-12,197
156,2019-02-13,197
157,2019-02-14,143
158,2019-02-15,173
159,2019-02-16,92
160,2019-02-17,83
161,2019-02-18,277
162,2019-02-19,242
163,2019-02-20,211
164,2019-02-21,177
165,2019-02-22,190
166,2019-02-23,118
167,2019-02-24,244
168,2019-02-25,290
169,2019-02-26,219
170,2019-02-27,234
171,2019-02-28,186
172,2019-03-01,158
173,2019-03-02,149
174,2019-03-03,113
175,2019-03-04,218
176,2019-03-05,223
177,2019-03-06,244
178,2019-03-07,205
179,2019-03-08,163
180,2019-03-09,135
181,2019-03-10,96
182,2019-03-11,243
183,2019-03-12,232
184,2019-03-13,187
185,2019-03-14,184
186,2019-03-15,203
187,2019-03-16,188
188,2019-03-17,129
189,2019-03-18,249
190,2019-03-19,275
191,2019-03-20,206
192,2019-03-21,205
193,2019-03-22,219
194,2019-03-23,160
195,2019-03-24,181
196,2019-03-25,265
197,2019-03-26,244
198,2019-03-27,327
199,2019-03-28,206
200,2019-03-29,276
201,2019-03-30,206
202,2019-03-31,187
203,2019-04-01,290
204,2019-04-02,718
205,2019-04-03,589
206,2019-04-04,319
207,2019-04-05,309
208,2019-04-06,220
209,2019-04-07,223
210,2019-04-08,472
211,2019-04-09,338
212,2019-04-10,347
213,2019-04-11,345
214,2019-04-12,195
215,2019-04-13,125
216,2019-04-14,151
217,2019-04-15,214
218,2019-04-16,207
219,2019-04-17,200
