,dates,txs
0,2018-09-10,15
1,2018-09-11,4
2,2018-09-12,5
3,2018-09-13,6
4,2018-09-14,0
5,2018-09-15,1
6,2018-09-16,2
7,2018-09-17,5
8,2018-09-18,12
9,2018-09-19,26
10,2018-09-20,8
11,2018-09-21,24
12,2018-09-22,3
13,2018-09-23,0
14,2018-09-24,14
15,2018-09-25,4
16,2018-09-26,2
17,2018-09-27,8
18,2018-09-28,45
19,2018-09-29,25
20,2018-09-30,12
21,2018-10-01,12
22,2018-10-02,5
23,2018-10-03,7
24,2018-10-04,14
25,2018-10-05,6
26,2018-10-06,1
27,2018-10-07,3
28,2018-10-08,8
29,2018-10-09,16
30,2018-10-10,19
31,2018-10-11,22
32,2018-10-12,15
33,2018-10-13,19
34,2018-10-14,10
35,2018-10-15,55
36,2018-10-16,53
37,2018-10-17,43
38,2018-10-18,28
39,2018-10-19,140
40,2018-10-20,400
41,2018-10-21,60
42,2018-10-22,47
43,2018-10-23,31
44,2018-10-24,23
45,2018-10-25,76
46,2018-10-26,1405
47,2018-10-27,24
48,2018-10-28,15
49,2018-10-29,43
50,2018-10-30,33
51,2018-10-31,69
52,2018-11-01,80
53,2018-11-02,58
54,2018-11-03,19
55,2018-11-04,24
56,2018-11-05,43
57,2018-11-06,32
58,2018-11-07,37
59,2018-11-08,58
60,2018-11-09,52
61,2018-11-10,34
62,2018-11-11,34
63,2018-11-12,34
64,2018-11-13,399
65,2018-11-14,291
66,2018-11-15,190
67,2018-11-16,87
68,2018-11-17,21
69,2018-11-18,11
70,2018-11-19,173
71,2018-11-20,166
72,2018-11-21,71
73,2018-11-22,48
74,2018-11-23,43
75,2018-11-24,54
76,2018-11-25,89
77,2018-11-26,38
78,2018-11-27,46
79,2018-11-28,71
80,2018-11-29,68
81,2018-11-30,79
82,2018-12-01,48
83,2018-12-02,35
84,2018-12-03,171
85,2018-12-04,64
86,2018-12-05,79
87,2018-12-06,58
88,2018-12-07,75
89,2018-12-08,35
90,2018-12-09,39
91,2018-12-10,49
92,2018-12-11,46
93,2018-12-12,74
94,2018-12-13,70
95,2018-12-14,51
96,2018-12-15,26
97,2018-12-16,34
98,2018-12-17,55
99,2018-12-18,117
100,2018-12-19,61
101,2018-12-20,73
102,2018-12-21,58
103,2018-12-22,27
104,2018-12-23,32
105,2018-12-24,40
106,2018-12-25,38
107,2018-12-26,40
108,2018-12-27,34
109,2018-12-28,36
110,2018-12-29,31
111,2018-12-30,31
112,2018-12-31,26
113,2019-01-01,27
114,2019-01-02,39
115,2019-01-03,28
116,2019-01-04,34
117,2019-01-05,26
118,2019-01-06,33
119,2019-01-07,31
120,2019-01-08,29
121,2019-01-09,29
122,2019-01-10,41
123,2019-01-11,28
124,2019-01-12,33
125,2019-01-13,32
126,2019-01-14,45
127,2019-01-15,49
128,2019-01-16,96
129,2019-01-17,46
130,2019-01-18,30
131,2019-01-19,16
132,2019-01-20,25
133,2019-01-21,18
134,2019-01-22,26
135,2019-01-23,34
136,2019-01-24,34
137,2019-01-25,23
138,2019-01-26,22
139,2019-01-27,29
140,2019-01-28,50
141,2019-01-29,87
142,2019-01-30,2211
143,2019-01-31,1417
144,2019-02-01,1358
145,2019-02-02,362
146,2019-02-03,84
147,2019-02-04,91
148,2019-02-05,54
149,2019-02-06,39
150,2019-02-07,40
151,2019-02-08,31
152,2019-02-09,34
153,2019-02-10,30
154,2019-02-11,134
155,2019-02-12,26
156,2019-02-13,38
157,2019-02-14,30
158,2019-02-15,38
159,2019-02-16,25
160,2019-02-17,23
161,2019-02-18,58
162,2019-02-19,49
163,2019-02-20,36
164,2019-02-21,39
165,2019-02-22,33
166,2019-02-23,29
167,2019-02-24,66
168,2019-02-25,49
169,2019-02-26,39
170,2019-02-27,24
171,2019-02-28,24
172,2019-03-01,24
173,2019-03-02,30
174,2019-03-03,29
175,2019-03-04,32
176,2019-03-05,45
177,2019-03-06,54
178,2019-03-07,41
179,2019-03-08,37
180,2019-03-09,25
181,2019-03-10,24
182,2019-03-11,46
183,2019-03-12,63
184,2019-03-13,48
185,2019-03-14,32
186,2019-03-15,30
187,2019-03-16,29
188,2019-03-17,33
189,2019-03-18,52
190,2019-03-19,47
191,2019-03-20,41
192,2019-03-21,29
193,2019-03-22,31
194,2019-03-23,22
195,2019-03-24,39
196,2019-03-25,59
197,2019-03-26,45
198,2019-03-27,38
199,2019-03-28,31
200,2019-03-29,38
201,2019-03-30,37
202,2019-03-31,40
203,2019-04-01,47
204,2019-04-02,96
205,2019-04-03,101
206,2019-04-04,53
207,2019-04-05,41
208,2019-04-06,45
209,2019-04-07,32
210,2019-04-08,69
211,2019-04-09,40
212,2019-04-10,47
213,2019-04-11,42
214,2019-04-12,36
215,2019-04-13,31
216,2019-04-14,25
217,2019-04-15,40
218,2019-04-16,31
219,2019-04-17,30
220,2019-04-18,45
221,2019-04-19,41
222,2019-04-20,42
223,2019-04-21,29
224,2019-04-22,48
225,2019-04-23,30
226,2019-04-24,56
227,2019-04-25,69
228,2019-04-26,90
229,2019-04-27,65
230,2019-04-28,40
231,2019-04-29,71
232,2019-04-30,135
233,2019-05-01,415
234,2019-05-02,230
235,2019-05-03,325
236,2019-05-04,411
237,2019-05-05,394
238,2019-05-06,407
239,2019-05-07,447
240,2019-05-08,340
241,2019-05-09,290
242,2019-05-10,306
243,2019-05-11,417
244,2019-05-12,502
245,2019-05-13,480
246,2019-05-14,525
247,2019-05-15,584
248,2019-05-16,689
249,2019-05-17,668
250,2019-05-18,368
251,2019-05-19,472
252,2019-05-20,481
253,2019-05-21,417
254,2019-05-22,301
255,2019-05-23,420
256,2019-05-24,373
257,2019-05-25,319
258,2019-05-26,391
259,2019-05-27,626
260,2019-05-28,431
261,2019-05-29,466
262,2019-05-30,562
263,2019-05-31,454
264,2019-06-01,319
265,2019-06-02,297
266,2019-06-03,455
267,2019-06-04,592
268,2019-06-05,553
269,2019-06-06,424
270,2019-06-07,465
271,2019-06-08,312
272,2019-06-09,368
273,2019-06-10,364
274,2019-06-11,291
275,2019-06-12,509
276,2019-06-13,572
277,2019-06-14,632
278,2019-06-15,365
279,2019-06-16,536
280,2019-06-17,420
281,2019-06-18,452
282,2019-06-19,378
283,2019-06-20,340
284,2019-06-21,491
285,2019-06-22,729
286,2019-06-23,502
287,2019-06-24,537
288,2019-06-25,481
289,2019-06-26,923
290,2019-06-27,1160
291,2019-06-28,688
292,2019-06-29,490
293,2019-06-30,457
294,2019-07-01,570
295,2019-07-02,659
296,2019-07-03,587
297,2019-07-04,511
298,2019-07-05,426
299,2019-07-06,314
300,2019-07-07,373
301,2019-07-08,498
302,2019-07-09,625
303,2019-07-10,738
304,2019-07-11,595
305,2019-07-12,460
306,2019-07-13,460
307,2019-07-14,604
308,2019-07-15,672
309,2019-07-16,626
310,2019-07-17,746
311,2019-07-18,600
312,2019-07-19,337
313,2019-07-20,356
314,2019-07-21,303
315,2019-07-22,309
316,2019-07-23,421
317,2019-07-24,445
318,2019-07-25,382
319,2019-07-26,357
320,2019-07-27,403
321,2019-07-28,341
322,2019-07-29,378
323,2019-07-30,385
324,2019-07-31,537
325,2019-08-01,473
326,2019-08-02,520
327,2019-08-03,434
328,2019-08-04,402
329,2019-08-05,872
330,2019-08-06,1092
331,2019-08-07,795
332,2019-08-08,608
333,2019-08-09,515
334,2019-08-10,539
335,2019-08-11,402
336,2019-08-12,480
337,2019-08-13,503
338,2019-08-14,540
339,2019-08-15,757
340,2019-08-16,519
341,2019-08-17,407
342,2019-08-18,402
343,2019-08-19,432
344,2019-08-20,438
345,2019-08-21,492
346,2019-08-22,446
347,2019-08-23,447
348,2019-08-24,535
349,2019-08-25,437
350,2019-08-26,416
351,2019-08-27,440
352,2019-08-28,546
353,2019-08-29,513
354,2019-08-30,423
355,2019-08-31,296
356,2019-09-01,333
357,2019-09-02,422
358,2019-09-03,407
359,2019-09-04,403
360,2019-09-05,390
361,2019-09-06,465
362,2019-09-07,406
363,2019-09-08,251
364,2019-09-09,330
365,2019-09-10,276
366,2019-09-11,487
367,2019-09-12,406
368,2019-09-13,265
369,2019-09-14,248
370,2019-09-15,354
371,2019-09-16,444
372,2019-09-17,514
373,2019-09-18,431
374,2019-09-19,421
375,2019-09-20,305
376,2019-09-21,262
377,2019-09-22,240
378,2019-09-23,376
379,2019-09-24,822
380,2019-09-25,567
381,2019-09-26,571
382,2019-09-27,466
383,2019-09-28,425
384,2019-09-29,372
385,2019-09-30,433
