,txs
2018-09-10,15
2018-09-11,7
2018-09-12,7
2018-09-13,8
2018-09-14,0
2018-09-15,1
2018-09-16,2
2018-09-17,7
2018-09-18,15
2018-09-19,27
2018-09-20,15
2018-09-21,29
2018-09-22,6
2018-09-23,2
2018-09-24,19
2018-09-25,7
2018-09-26,5
2018-09-27,13
2018-09-28,58
2018-09-29,31
2018-09-30,15
2018-10-01,24
2018-10-02,14
2018-10-03,23
2018-10-04,26
2018-10-05,16
2018-10-06,2
2018-10-07,6
2018-10-08,15
2018-10-09,30
2018-10-10,27
2018-10-11,41
2018-10-12,39
2018-10-13,30
2018-10-14,19
2018-10-15,82
2018-10-16,88
2018-10-17,69
2018-10-18,65
2018-10-19,169
2018-10-20,421
2018-10-21,73
2018-10-22,93
2018-10-23,68
2018-10-24,56
2018-10-25,110
2018-10-26,1440
2018-10-27,60
2018-10-28,38
2018-10-29,85
2018-10-30,90
2018-10-31,120
2018-11-01,305
2018-11-02,188
2018-11-03,113
2018-11-04,64
2018-11-05,108
2018-11-06,101
2018-11-07,126
2018-11-08,136
2018-11-09,123
2018-11-10,89
2018-11-11,96
2018-11-12,113
2018-11-13,464
2018-11-14,393
2018-11-15,311
2018-11-16,153
2018-11-17,67
2018-11-18,52
2018-11-19,261
2018-11-20,285
2018-11-21,163
2018-11-22,149
2018-11-23,147
2018-11-24,148
2018-11-25,164
2018-11-26,152
2018-11-27,147
2018-11-28,172
2018-11-29,178
2018-11-30,184
2018-12-01,116
2018-12-02,81
2018-12-03,272
2018-12-04,198
2018-12-05,217
2018-12-06,201
2018-12-07,236
2018-12-08,109
2018-12-09,108
2018-12-10,156
2018-12-11,185
2018-12-12,200
2018-12-13,182
2018-12-14,137
2018-12-15,97
2018-12-16,76
2018-12-17,138
2018-12-18,223
2018-12-19,189
2018-12-20,187
2018-12-21,143
2018-12-22,92
2018-12-23,104
2018-12-24,133
2018-12-25,105
2018-12-26,118
2018-12-27,106
2018-12-28,123
2018-12-29,88
2018-12-30,94
2018-12-31,87
2019-01-01,75
2019-01-02,134
2019-01-03,106
2019-01-04,115
2019-01-05,92
2019-01-06,90
2019-01-07,113
2019-01-08,111
2019-01-09,106
2019-01-10,171
2019-01-11,139
2019-01-12,89
2019-01-13,83
2019-01-14,125
2019-01-15,144
2019-01-16,187
2019-01-17,117
2019-01-18,94
2019-01-19,75
2019-01-20,71
