,dates,txs
0,2018-09-10,8
1,2018-09-11,1
2,2018-09-12,6
3,2018-09-13,2
4,2018-09-14,0
5,2018-09-15,0
6,2018-09-16,1
7,2018-09-17,2
8,2018-09-18,3
9,2018-09-19,7
10,2018-09-20,2
11,2018-09-21,3
12,2018-09-22,2
13,2018-09-23,0
14,2018-09-24,5
15,2018-09-25,0
16,2018-09-26,1
17,2018-09-27,2
18,2018-09-28,6
19,2018-09-29,3
20,2018-09-30,53
21,2018-10-01,6
22,2018-10-02,3
23,2018-10-03,9
24,2018-10-04,13
25,2018-10-05,3
26,2018-10-06,3
27,2018-10-07,0
28,2018-10-08,3
29,2018-10-09,3
30,2018-10-10,9
31,2018-10-11,13
32,2018-10-12,18
33,2018-10-13,9
34,2018-10-14,4
35,2018-10-15,31
36,2018-10-16,34
37,2018-10-17,28
38,2018-10-18,19
39,2018-10-19,19
40,2018-10-20,27
41,2018-10-21,270
42,2018-10-22,76
43,2018-10-23,21
44,2018-10-24,20
45,2018-10-25,13
46,2018-10-26,38
47,2018-10-27,51
48,2018-10-28,18
49,2018-10-29,31
50,2018-10-30,28
51,2018-10-31,57
52,2018-11-01,43
53,2018-11-02,22
54,2018-11-03,13
55,2018-11-04,21
56,2018-11-05,31
57,2018-11-06,34
58,2018-11-07,53
59,2018-11-08,59
60,2018-11-09,35
61,2018-11-10,23
62,2018-11-11,34
63,2018-11-12,28
64,2018-11-13,74
65,2018-11-14,275
66,2018-11-15,72
67,2018-11-16,59
68,2018-11-17,16
69,2018-11-18,51
70,2018-11-19,96
71,2018-11-20,182
72,2018-11-21,53
73,2018-11-22,28
74,2018-11-23,21
75,2018-11-24,44
76,2018-11-25,53
77,2018-11-26,26
78,2018-11-27,38
79,2018-11-28,48
80,2018-11-29,45
81,2018-11-30,49
82,2018-12-01,30
83,2018-12-02,17
84,2018-12-03,114
85,2018-12-04,91
86,2018-12-05,54
87,2018-12-06,44
88,2018-12-07,57
89,2018-12-08,12
90,2018-12-09,18
91,2018-12-10,31
92,2018-12-11,53
93,2018-12-12,53
94,2018-12-13,36
95,2018-12-14,35
96,2018-12-15,12
97,2018-12-16,21
98,2018-12-17,36
99,2018-12-18,52
100,2018-12-19,60
101,2018-12-20,48
102,2018-12-21,38
103,2018-12-22,14
104,2018-12-23,24
105,2018-12-24,36
106,2018-12-25,27
107,2018-12-26,33
108,2018-12-27,20
109,2018-12-28,21
110,2018-12-29,17
111,2018-12-30,18
112,2018-12-31,29
113,2019-01-01,20
114,2019-01-02,33
115,2019-01-03,24
116,2019-01-04,27
117,2019-01-05,19
118,2019-01-06,24
119,2019-01-07,28
120,2019-01-08,25
121,2019-01-09,20
122,2019-01-10,39
123,2019-01-11,24
124,2019-01-12,20
125,2019-01-13,20
126,2019-01-14,20
127,2019-01-15,36
128,2019-01-16,34
129,2019-01-17,36
130,2019-01-18,26
131,2019-01-19,11
132,2019-01-20,16
133,2019-01-21,12
134,2019-01-22,14
135,2019-01-23,17
136,2019-01-24,17
137,2019-01-25,12
138,2019-01-26,13
139,2019-01-27,15
140,2019-01-28,33
141,2019-01-29,59
142,2019-01-30,1250
143,2019-01-31,1330
144,2019-02-01,1326
145,2019-02-02,328
146,2019-02-03,88
147,2019-02-04,88
148,2019-02-05,43
149,2019-02-06,24
150,2019-02-07,35
151,2019-02-08,26
152,2019-02-09,36
153,2019-02-10,19
154,2019-02-11,130
155,2019-02-12,13
156,2019-02-13,25
157,2019-02-14,23
158,2019-02-15,26
159,2019-02-16,15
160,2019-02-17,13
161,2019-02-18,39
162,2019-02-19,38
163,2019-02-20,24
164,2019-02-21,29
165,2019-02-22,25
166,2019-02-23,17
167,2019-02-24,34
168,2019-02-25,33
169,2019-02-26,25
170,2019-02-27,38
171,2019-02-28,18
172,2019-03-01,25
173,2019-03-02,22
174,2019-03-03,16
175,2019-03-04,27
176,2019-03-05,33
177,2019-03-06,37
178,2019-03-07,33
179,2019-03-08,17
180,2019-03-09,20
181,2019-03-10,15
182,2019-03-11,26
183,2019-03-12,31
184,2019-03-13,32
185,2019-03-14,25
186,2019-03-15,25
187,2019-03-16,16
188,2019-03-17,24
189,2019-03-18,41
190,2019-03-19,57
191,2019-03-20,33
192,2019-03-21,10
193,2019-03-22,22
194,2019-03-23,12
195,2019-03-24,33
196,2019-03-25,31
197,2019-03-26,29
198,2019-03-27,41
199,2019-03-28,22
200,2019-03-29,35
201,2019-03-30,32
202,2019-03-31,25
203,2019-04-01,27
204,2019-04-02,63
205,2019-04-03,47
206,2019-04-04,39
207,2019-04-05,32
208,2019-04-06,31
209,2019-04-07,21
210,2019-04-08,36
211,2019-04-09,75
212,2019-04-10,28
213,2019-04-11,46
214,2019-04-12,14
215,2019-04-13,26
216,2019-04-14,20
217,2019-04-15,26
218,2019-04-16,25
219,2019-04-17,18
220,2019-04-18,21
221,2019-04-19,37
222,2019-04-20,28
223,2019-04-21,17
224,2019-04-22,26
225,2019-04-23,21
226,2019-04-24,29
227,2019-04-25,45
228,2019-04-26,51
229,2019-04-27,45
230,2019-04-28,19
231,2019-04-29,33
232,2019-04-30,123
233,2019-05-01,205
234,2019-05-02,128
235,2019-05-03,169
236,2019-05-04,282
237,2019-05-05,247
238,2019-05-06,280
239,2019-05-07,298
240,2019-05-08,247
241,2019-05-09,231
242,2019-05-10,204
243,2019-05-11,283
244,2019-05-12,313
245,2019-05-13,381
246,2019-05-14,365
247,2019-05-15,425
248,2019-05-16,488
249,2019-05-17,442
250,2019-05-18,289
251,2019-05-19,321
252,2019-05-20,383
253,2019-05-21,411
254,2019-05-22,199
255,2019-05-23,336
256,2019-05-24,257
257,2019-05-25,244
258,2019-05-26,295
259,2019-05-27,460
260,2019-05-28,343
261,2019-05-29,340
262,2019-05-30,356
263,2019-05-31,323
264,2019-06-01,206
265,2019-06-02,234
266,2019-06-03,390
267,2019-06-04,484
268,2019-06-05,478
269,2019-06-06,351
270,2019-06-07,409
271,2019-06-08,264
272,2019-06-09,311
273,2019-06-10,281
274,2019-06-11,227
275,2019-06-12,370
276,2019-06-13,432
277,2019-06-14,497
278,2019-06-15,284
279,2019-06-16,347
280,2019-06-17,315
281,2019-06-18,343
282,2019-06-19,484
283,2019-06-20,308
284,2019-06-21,348
285,2019-06-22,545
286,2019-06-23,434
287,2019-06-24,431
288,2019-06-25,413
289,2019-06-26,772
290,2019-06-27,796
291,2019-06-28,639
292,2019-06-29,420
293,2019-06-30,374
294,2019-07-01,457
295,2019-07-02,651
296,2019-07-03,523
297,2019-07-04,476
298,2019-07-05,380
299,2019-07-06,255
300,2019-07-07,284
301,2019-07-08,412
302,2019-07-09,506
303,2019-07-10,606
304,2019-07-11,554
305,2019-07-12,401
306,2019-07-13,404
307,2019-07-14,545
308,2019-07-15,692
309,2019-07-16,516
310,2019-07-17,648
311,2019-07-18,599
312,2019-07-19,399
313,2019-07-20,322
314,2019-07-21,286
315,2019-07-22,402
316,2019-07-23,359
317,2019-07-24,391
318,2019-07-25,361
319,2019-07-26,328
320,2019-07-27,391
321,2019-07-28,313
322,2019-07-29,330
323,2019-07-30,328
324,2019-07-31,488
325,2019-08-01,413
326,2019-08-02,454
327,2019-08-03,394
328,2019-08-04,352
329,2019-08-05,628
330,2019-08-06,584
331,2019-08-07,629
332,2019-08-08,444
333,2019-08-09,423
334,2019-08-10,442
335,2019-08-11,337
336,2019-08-12,388
337,2019-08-13,464
338,2019-08-14,527
339,2019-08-15,752
340,2019-08-16,476
341,2019-08-17,369
342,2019-08-18,335
343,2019-08-19,376
344,2019-08-20,367
345,2019-08-21,431
346,2019-08-22,407
347,2019-08-23,418
348,2019-08-24,522
349,2019-08-25,399
350,2019-08-26,377
351,2019-08-27,375
352,2019-08-28,543
353,2019-08-29,439
354,2019-08-30,413
355,2019-08-31,254
356,2019-09-01,356
357,2019-09-02,416
358,2019-09-03,362
359,2019-09-04,365
360,2019-09-05,356
361,2019-09-06,392
362,2019-09-07,358
363,2019-09-08,228
364,2019-09-09,308
365,2019-09-10,221
366,2019-09-11,438
367,2019-09-12,383
368,2019-09-13,218
369,2019-09-14,207
370,2019-09-15,332
371,2019-09-16,527
372,2019-09-17,480
373,2019-09-18,335
374,2019-09-19,408
375,2019-09-20,230
376,2019-09-21,229
377,2019-09-22,204
378,2019-09-23,314
379,2019-09-24,761
380,2019-09-25,546
381,2019-09-26,626
382,2019-09-27,424
383,2019-09-28,389
384,2019-09-29,355
385,2019-09-30,415
386,2019-10-01,391
387,2019-10-02,380
388,2019-10-03,364
389,2019-10-04,357
390,2019-10-05,279
391,2019-10-06,307
392,2019-10-07,400
393,2019-10-08,307
394,2019-10-09,443
395,2019-10-10,389
396,2019-10-11,394
397,2019-10-12,326
398,2019-10-13,279
399,2019-10-14,333
400,2019-10-15,378
401,2019-10-16,464
402,2019-10-17,450
403,2019-10-18,443
404,2019-10-19,626
405,2019-10-20,486
406,2019-10-21,415
407,2019-10-22,536
408,2019-10-23,535
409,2019-10-24,422
410,2019-10-25,582
411,2019-10-26,531
412,2019-10-27,657
413,2019-10-28,544
414,2019-10-29,518
415,2019-10-30,520
416,2019-10-31,561
417,2019-11-01,510
418,2019-11-02,481
419,2019-11-03,537
420,2019-11-04,599
421,2019-11-05,632
422,2019-11-06,621
423,2019-11-07,636
424,2019-11-08,624
425,2019-11-09,510
426,2019-11-10,494
427,2019-11-11,458
428,2019-11-12,586
429,2019-11-13,565
430,2019-11-14,557
431,2019-11-15,647
432,2019-11-16,482
433,2019-11-17,428
434,2019-11-18,625
435,2019-11-19,525
436,2019-11-20,444
437,2019-11-21,713
438,2019-11-22,753
439,2019-11-23,519
440,2019-11-24,302
441,2019-11-25,832
442,2019-11-26,963
443,2019-11-27,838
444,2019-11-28,646
445,2019-11-29,522
446,2019-11-30,446
447,2019-12-01,434
448,2019-12-02,379
449,2019-12-03,335
450,2019-12-04,420
451,2019-12-05,328
452,2019-12-06,395
453,2019-12-07,353
454,2019-12-08,291
455,2019-12-09,394
456,2019-12-10,451
457,2019-12-11,977
458,2019-12-12,1205
459,2019-12-13,1103
460,2019-12-14,868
461,2019-12-15,858
462,2019-12-16,995
463,2019-12-17,1195
464,2019-12-18,1177
465,2019-12-19,949
466,2019-12-20,960
467,2019-12-21,775
468,2019-12-22,741
469,2019-12-23,810
470,2019-12-24,681
471,2019-12-25,657
472,2019-12-26,664
473,2019-12-27,748
474,2019-12-28,831
475,2019-12-29,922
476,2019-12-30,1146
477,2019-12-31,978
478,2020-01-01,969
479,2020-01-02,1307
480,2020-01-03,1197
481,2020-01-04,1032
482,2020-01-05,1213
483,2020-01-06,1283
484,2020-01-07,1279
485,2020-01-08,1470
486,2020-01-09,1286
487,2020-01-10,1343
488,2020-01-11,1269
489,2020-01-12,864
490,2020-01-13,1174
491,2020-01-14,1346
492,2020-01-15,1392
493,2020-01-16,1410
494,2020-01-17,1575
495,2020-01-18,1361
496,2020-01-19,1592
497,2020-01-20,1549
498,2020-01-21,1342
499,2020-01-22,1350
500,2020-01-23,1407
501,2020-01-24,1495
502,2020-01-25,1413
503,2020-01-26,1299
504,2020-01-27,1741
505,2020-01-28,1662
506,2020-01-29,1790
507,2020-01-30,1552
508,2020-01-31,1577
509,2020-02-01,1652
510,2020-02-02,1878
511,2020-02-03,1895
512,2020-02-04,933
513,2020-02-05,1805
514,2020-02-06,1608
515,2020-02-07,2101
516,2020-02-08,2922
517,2020-02-09,2140
518,2020-02-10,1964
519,2020-02-11,2248
520,2020-02-12,2334
521,2020-02-13,2377
522,2020-02-14,2192
523,2020-02-15,2030
524,2020-02-16,2171
525,2020-02-17,2379
526,2020-02-18,2458
527,2020-02-19,2266
528,2020-02-20,2368
529,2020-02-21,2318
530,2020-02-22,2207
531,2020-02-23,2350
532,2020-02-24,2535
533,2020-02-25,2529
534,2020-02-26,3003
535,2020-02-27,3173
536,2020-02-28,3160
537,2020-02-29,2928
538,2020-03-01,2876
539,2020-03-02,3174
540,2020-03-03,3126
541,2020-03-04,3019
542,2020-03-05,3143
543,2020-03-06,3378
544,2020-03-07,2076
545,2020-03-08,3679
546,2020-03-09,3622
547,2020-03-10,3650
548,2020-03-11,3431
549,2020-03-12,1536
550,2020-03-13,2772
551,2020-03-14,4504
552,2020-03-15,2982
553,2020-03-16,4284
554,2020-03-17,5300
555,2020-03-18,4918
556,2020-03-19,5443
557,2020-03-20,4543
558,2020-03-21,4487
559,2020-03-22,4454
560,2020-03-23,4367
561,2020-03-24,4766
562,2020-03-25,4900
563,2020-03-26,4748
564,2020-03-27,5152
565,2020-03-28,4273
566,2020-03-29,4272
567,2020-03-30,4823
568,2020-03-31,4324
569,2020-04-01,4331
570,2020-04-02,5843
571,2020-04-03,5121
572,2020-04-04,5363
573,2020-04-05,5650
574,2020-04-06,5053
575,2020-04-07,4611
576,2020-04-08,5079
577,2020-04-09,4258
578,2020-04-10,4785
579,2020-04-11,5634
580,2020-04-12,7787
581,2020-04-13,8145
582,2020-04-14,8286
583,2020-04-15,7202
584,2020-04-16,5177
585,2020-04-17,7385
586,2020-04-18,7192
587,2020-04-19,7141
588,2020-04-20,7128
589,2020-04-21,6288
590,2020-04-22,6759
591,2020-04-23,7324
592,2020-04-24,6982
593,2020-04-25,7918
594,2020-04-26,8446
595,2020-04-27,7816
596,2020-04-28,7306
597,2020-04-29,4811
598,2020-04-30,6258
599,2020-05-01,9426
600,2020-05-02,9711
601,2020-05-03,9348
602,2020-05-04,5713
603,2020-05-05,13232
604,2020-05-06,12728
605,2020-05-07,9838
606,2020-05-08,9367
607,2020-05-09,7964
608,2020-05-10,7945
609,2020-05-11,4739
610,2020-05-12,9815
611,2020-05-13,11013
612,2020-05-14,9274
613,2020-05-15,7132
614,2020-05-16,7984
615,2020-05-17,10699
616,2020-05-18,10046
617,2020-05-19,7867
618,2020-05-20,8137
619,2020-05-21,4252
620,2020-05-22,7272
621,2020-05-23,7115
622,2020-05-24,12832
623,2020-05-25,16228
624,2020-05-26,12607
625,2020-05-27,5335
626,2020-05-28,9037
627,2020-05-29,1847
628,2020-05-30,11487
629,2020-05-31,12487
630,2020-06-01,5400
631,2020-06-02,6484
632,2020-06-03,9750
633,2020-06-04,7492
634,2020-06-05,7038
635,2020-06-06,9600
636,2020-06-07,10993
