,txs
2018-09-10,9
2018-09-11,3
2018-09-12,9
2018-09-13,8
2018-09-14,0
2018-09-15,1
2018-09-16,2
2018-09-17,6
2018-09-18,9
2018-09-19,11
2018-09-20,8
2018-09-21,11
2018-09-22,5
2018-09-23,1
2018-09-24,10
2018-09-25,6
2018-09-26,4
2018-09-27,10
2018-09-28,18
2018-09-29,10
2018-09-30,71
2018-10-01,21
2018-10-02,14
2018-10-03,31
2018-10-04,28
2018-10-05,20
2018-10-06,3
2018-10-07,6
2018-10-08,14
2018-10-09,22
2018-10-10,22
2018-10-11,36
2018-10-12,44
2018-10-13,26
2018-10-14,16
2018-10-15,68
2018-10-16,62
2018-10-17,60
2018-10-18,56
2018-10-19,50
2018-10-20,53
2018-10-21,288
2018-10-22,120
2018-10-23,58
2018-10-24,52
2018-10-25,53
2018-10-26,75
2018-10-27,79
2018-10-28,37
2018-10-29,86
2018-10-30,82
2018-10-31,113
2018-11-01,120
2018-11-02,106
2018-11-03,66
2018-11-04,57
2018-11-05,104
2018-11-06,108
2018-11-07,361
2018-11-08,130
2018-11-09,102
2018-11-10,76
2018-11-11,86
2018-11-12,111
2018-11-13,146
2018-11-14,385
2018-11-15,147
2018-11-16,132
2018-11-17,57
2018-11-18,96
2018-11-19,177
2018-11-20,306
2018-11-21,154
2018-11-22,135
2018-11-23,125
2018-11-24,147
2018-11-25,131
2018-11-26,141
2018-11-27,154
2018-11-28,144
2018-11-29,154
2018-11-30,162
2018-12-01,87
2018-12-02,61
2018-12-03,217
2018-12-04,232
2018-12-05,205
2018-12-06,176
2018-12-07,221
2018-12-08,82
2018-12-09,85
2018-12-10,128
2018-12-11,201
2018-12-12,183
2018-12-13,141
2018-12-14,124
2018-12-15,74
2018-12-16,62
2018-12-17,138
2018-12-18,172
2018-12-19,191
2018-12-20,182
2018-12-21,135
2018-12-22,84
2018-12-23,97
2018-12-24,133
2018-12-25,86
2018-12-26,122
2018-12-27,99
2018-12-28,116
2018-12-29,60
2018-12-30,66
2018-12-31,100
2019-01-01,60
2019-01-02,127
2019-01-03,92
2019-01-04,102
2019-01-05,75
2019-01-06,66
2019-01-07,111
2019-01-08,98
2019-01-09,82
2019-01-10,169
2019-01-11,129
2019-01-12,79
2019-01-13,63
2019-01-14,101
2019-01-15,137
2019-01-16,129
2019-01-17,118
2019-01-18,83
2019-01-19,60
2019-01-20,59
2019-01-21,67
2019-01-22,72
2019-01-23,99
2019-01-24,83
2019-01-25,85
2019-01-26,75
2019-01-27,74
2019-01-28,112
2019-01-29,143
2019-01-30,1337
2019-01-31,1482
2019-02-01,1481
2019-02-02,444
2019-02-03,162
2019-02-04,191
2019-02-05,112
2019-02-06,98
2019-02-07,100
2019-02-08,115
2019-02-09,95
2019-02-10,61
2019-02-11,205
2019-02-12,92
2019-02-13,91
2019-02-14,81
2019-02-15,99
2019-02-16,64
2019-02-17,54
2019-02-18,130
