,txvalue
2017-11-28,11140.0
2017-11-29,0.0
2017-11-30,0.0
2017-12-01,0.0
2017-12-02,0.0
2017-12-03,0.0
2017-12-04,0.0
2017-12-05,0.0
2017-12-06,0.0
2017-12-07,0.0
2017-12-08,0.0
2017-12-09,0.0
2017-12-10,0.0
2017-12-11,0.0
2017-12-12,0.0
2017-12-13,0.0
2017-12-14,0.0
2017-12-15,0.0
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,0.0
2017-12-19,0.0
2017-12-20,0.0
2017-12-21,20.0
2017-12-22,0.0
2017-12-23,0.0
2017-12-24,0.0
2017-12-25,0.0
2017-12-26,0.0
2017-12-27,0.27416799999999997
2017-12-28,139.26631891666668
2017-12-29,0.0
2017-12-30,0.0
2017-12-31,867.0
2018-01-01,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,13750148.2635915
2018-01-23,153880.36383846152
2018-01-24,134051.57750000004
2018-01-25,387061.5596666667
2018-01-26,1578640.409032
2018-01-27,444241.3182386876
2018-01-28,696455.3032577047
2018-01-29,18802.484770176463
2018-01-30,347426.8025935662
2018-01-31,47894.80862846573
2018-02-01,43782.85078064516
2018-02-02,367446.7526294096
2018-02-03,85811.55647045455
2018-02-04,41669.489271218044
2018-02-05,112634.92444805194
2018-02-06,48520.12744659527
2018-02-07,33357.326301333334
2018-02-08,36087.446320833325
2018-02-09,72972.64366573912
2018-02-10,22924.040252439027
2018-02-11,70499.69476
2018-02-12,16187.39815148148
2018-02-13,64938.282990642874
2018-02-14,103799.121608
2018-02-15,42898.16566875
2018-02-16,16102.294866666669
2018-02-17,35706.8925875
2018-02-18,44179.98305166666
2018-02-19,40019.83318666667
2018-02-20,61352.14823157894
2018-02-21,114399.38622439025
2018-02-22,122957.50553403703
2018-02-23,3070.5086541333335
2018-02-24,130091.504703
2018-02-25,26140.741810249998
2018-02-26,49879.94248956522
2018-02-27,21944.374110399996
2018-02-28,13507.978451923076
2018-03-01,105724.78688648649
2018-03-02,33622.2233665238
2018-03-03,34517.61138
2018-03-04,36477.97958393105
2018-03-05,15622.717545333333
2018-03-06,65690.38656845162
2018-03-07,69649.1903073846
2018-03-08,19929.6349877561
2018-03-09,21036.343089771428
2018-03-10,29843.694341176466
2018-03-11,124152.54998488887
2018-03-12,25375.105730769228
2018-03-13,108959.04105638889
2018-03-14,46401.199843718314
2018-03-15,86362.56051089552
2018-03-16,45370.64410225001
2018-03-17,53638.36784139344
2018-03-18,110411.50649666665
2018-03-19,9537.767
2018-03-20,15417.795402083328
2018-03-21,53715.49232399999
2018-03-22,37533.62412820512
2018-03-23,53007.99081833333
2018-03-24,106317.91693666668
