,dates,txs
0,2017-11-28,9
1,2017-11-29,0
2,2017-11-30,0
3,2017-12-01,0
4,2017-12-02,0
5,2017-12-03,0
6,2017-12-04,0
7,2017-12-05,0
8,2017-12-06,0
9,2017-12-07,0
10,2017-12-08,0
11,2017-12-09,0
12,2017-12-10,0
13,2017-12-11,0
14,2017-12-12,0
15,2017-12-13,0
16,2017-12-14,0
17,2017-12-15,0
18,2017-12-16,0
19,2017-12-17,0
20,2017-12-18,0
21,2017-12-19,0
22,2017-12-20,0
23,2017-12-21,1
24,2017-12-22,0
25,2017-12-23,0
26,2017-12-24,0
27,2017-12-25,0
28,2017-12-26,0
29,2017-12-27,12
30,2017-12-28,12
31,2017-12-29,0
32,2017-12-30,0
33,2017-12-31,1
34,2018-01-01,0
35,2018-01-02,0
36,2018-01-03,0
37,2018-01-04,0
38,2018-01-05,0
39,2018-01-06,0
40,2018-01-07,0
41,2018-01-08,0
42,2018-01-09,0
43,2018-01-10,0
44,2018-01-11,0
45,2018-01-12,0
46,2018-01-13,0
47,2018-01-14,0
48,2018-01-15,0
49,2018-01-16,0
50,2018-01-17,0
51,2018-01-18,0
52,2018-01-19,0
53,2018-01-20,0
54,2018-01-21,0
55,2018-01-22,4
56,2018-01-23,13
57,2018-01-24,10
58,2018-01-25,12
59,2018-01-26,25
60,2018-01-27,64
61,2018-01-28,61
62,2018-01-29,51
63,2018-01-30,83
64,2018-01-31,73
65,2018-02-01,31
66,2018-02-02,83
67,2018-02-03,44
68,2018-02-04,133
69,2018-02-05,77
70,2018-02-06,84
71,2018-02-07,75
72,2018-02-08,36
73,2018-02-09,46
74,2018-02-10,41
75,2018-02-11,30
76,2018-02-12,27
77,2018-02-13,28
78,2018-02-14,25
79,2018-02-15,32
80,2018-02-16,6
81,2018-02-17,32
82,2018-02-18,36
83,2018-02-19,15
84,2018-02-20,19
85,2018-02-21,41
86,2018-02-22,27
87,2018-02-23,15
88,2018-02-24,24
89,2018-02-25,20
90,2018-02-26,23
91,2018-02-27,25
92,2018-02-28,39
93,2018-03-01,37
94,2018-03-02,21
95,2018-03-03,20
96,2018-03-04,29
97,2018-03-05,27
98,2018-03-06,31
99,2018-03-07,39
100,2018-03-08,41
101,2018-03-09,35
102,2018-03-10,17
103,2018-03-11,18
104,2018-03-12,13
105,2018-03-13,18
106,2018-03-14,71
107,2018-03-15,67
108,2018-03-16,40
109,2018-03-17,122
110,2018-03-18,66
111,2018-03-19,23
112,2018-03-20,48
113,2018-03-21,25
114,2018-03-22,39
115,2018-03-23,60
116,2018-03-24,30
117,2018-03-25,28
118,2018-03-26,50
119,2018-03-27,60
120,2018-03-28,46
121,2018-03-29,60
122,2018-03-30,76
123,2018-03-31,29
124,2018-04-01,40
125,2018-04-02,20
126,2018-04-03,24
127,2018-04-04,47
128,2018-04-05,36
129,2018-04-06,44
130,2018-04-07,15
131,2018-04-08,25
132,2018-04-09,56
133,2018-04-10,70
134,2018-04-11,45
135,2018-04-12,64
136,2018-04-13,88
137,2018-04-14,46
138,2018-04-15,53
139,2018-04-16,38
140,2018-04-17,43
141,2018-04-18,73
142,2018-04-19,36
143,2018-04-20,98
144,2018-04-21,84
145,2018-04-22,94
146,2018-04-23,97
147,2018-04-24,174
148,2018-04-25,138
149,2018-04-26,150
150,2018-04-27,98
151,2018-04-28,220
152,2018-04-29,165
153,2018-04-30,98
154,2018-05-01,84
155,2018-05-02,107
156,2018-05-03,118
157,2018-05-04,118
158,2018-05-05,117
159,2018-05-06,91
160,2018-05-07,113
161,2018-05-08,152
162,2018-05-09,94
163,2018-05-10,57
164,2018-05-11,126
165,2018-05-12,90
166,2018-05-13,84
167,2018-05-14,62
168,2018-05-15,96
169,2018-05-16,67
170,2018-05-17,72
171,2018-05-18,97
172,2018-05-19,65
173,2018-05-20,53
174,2018-05-21,48
175,2018-05-22,152
176,2018-05-23,109
177,2018-05-24,144
178,2018-05-25,72
179,2018-05-26,53
180,2018-05-27,57
181,2018-05-28,78
182,2018-05-29,31
183,2018-05-30,58
184,2018-05-31,65
185,2018-06-01,98
186,2018-06-02,75
187,2018-06-03,137
188,2018-06-04,62
189,2018-06-05,51
190,2018-06-06,48
191,2018-06-07,56
192,2018-06-08,107
193,2018-06-09,58
194,2018-06-10,64
195,2018-06-11,45
196,2018-06-12,38
197,2018-06-13,48
198,2018-06-14,81
199,2018-06-15,46
200,2018-06-16,38
201,2018-06-17,24
202,2018-06-18,64
203,2018-06-19,48
204,2018-06-20,47
205,2018-06-21,62
206,2018-06-22,41
207,2018-06-23,35
208,2018-06-24,61
209,2018-06-25,86
210,2018-06-26,66
211,2018-06-27,89
212,2018-06-28,363
213,2018-06-29,493
214,2018-06-30,149
215,2018-07-01,177
216,2018-07-02,341
217,2018-07-03,435
218,2018-07-04,381
219,2018-07-05,180
220,2018-07-06,32
221,2018-07-07,625
222,2018-07-08,624
223,2018-07-09,138
224,2018-07-10,50
225,2018-07-11,97
226,2018-07-12,66
227,2018-07-13,34
228,2018-07-14,15
229,2018-07-15,27
230,2018-07-16,49
231,2018-07-17,56
232,2018-07-18,49
233,2018-07-19,49
234,2018-07-20,36
235,2018-07-21,32
236,2018-07-22,35
237,2018-07-23,36
238,2018-07-24,54
239,2018-07-25,49
240,2018-07-26,47
241,2018-07-27,44
242,2018-07-28,80
243,2018-07-29,94
244,2018-07-30,416
245,2018-07-31,133
246,2018-08-01,112
247,2018-08-02,80
248,2018-08-03,121
249,2018-08-04,57
250,2018-08-05,65
251,2018-08-06,97
252,2018-08-07,131
253,2018-08-08,88
254,2018-08-09,114
255,2018-08-10,120
256,2018-08-11,134
257,2018-08-12,96
258,2018-08-13,139
259,2018-08-14,90
260,2018-08-15,85
261,2018-08-16,59
262,2018-08-17,58
263,2018-08-18,38
264,2018-08-19,43
265,2018-08-20,82
266,2018-08-21,114
267,2018-08-22,59
268,2018-08-23,40
269,2018-08-24,60
270,2018-08-25,49
271,2018-08-26,43
272,2018-08-27,54
273,2018-08-28,78
274,2018-08-29,85
275,2018-08-30,121
276,2018-08-31,78
277,2018-09-01,61
278,2018-09-02,45
279,2018-09-03,93
280,2018-09-04,131
281,2018-09-05,146
282,2018-09-06,225
283,2018-09-07,123
284,2018-09-08,77
285,2018-09-09,80
286,2018-09-10,99
287,2018-09-11,103
288,2018-09-12,108
289,2018-09-13,101
290,2018-09-14,122
291,2018-09-15,107
292,2018-09-16,71
293,2018-09-17,259
294,2018-09-18,193
295,2018-09-19,220
296,2018-09-20,250
297,2018-09-21,246
298,2018-09-22,201
299,2018-09-23,96
300,2018-09-24,98
301,2018-09-25,164
302,2018-09-26,174
303,2018-09-27,153
304,2018-09-28,171
305,2018-09-29,174
306,2018-09-30,100
307,2018-10-01,59
308,2018-10-02,83
309,2018-10-03,65
310,2018-10-04,89
311,2018-10-05,99
312,2018-10-06,42
313,2018-10-07,63
314,2018-10-08,147
315,2018-10-09,124
316,2018-10-10,119
317,2018-10-11,165
318,2018-10-12,115
319,2018-10-13,52
320,2018-10-14,68
321,2018-10-15,283
322,2018-10-16,164
323,2018-10-17,115
324,2018-10-18,129
325,2018-10-19,116
326,2018-10-20,74
327,2018-10-21,104
328,2018-10-22,84
329,2018-10-23,98
330,2018-10-24,72
331,2018-10-25,77
332,2018-10-26,83
333,2018-10-27,65
334,2018-10-28,53
335,2018-10-29,98
336,2018-10-30,80
337,2018-10-31,96
338,2018-11-01,85
339,2018-11-02,82
340,2018-11-03,55
341,2018-11-04,70
342,2018-11-05,92
343,2018-11-06,97
344,2018-11-07,125
345,2018-11-08,114
346,2018-11-09,172
347,2018-11-10,82
348,2018-11-11,93
349,2018-11-12,78
350,2018-11-13,52
351,2018-11-14,191
352,2018-11-15,219
353,2018-11-16,114
354,2018-11-17,88
355,2018-11-18,98
356,2018-11-19,187
357,2018-11-20,146
358,2018-11-21,132
359,2018-11-22,123
360,2018-11-23,139
361,2018-11-24,90
362,2018-11-25,202
363,2018-11-26,111
364,2018-11-27,125
365,2018-11-28,106
366,2018-11-29,277
367,2018-11-30,82
368,2018-12-01,90
369,2018-12-02,91
370,2018-12-03,131
