,dates,txs
0,2020-05-01,18
1,2020-05-02,16
2,2020-05-03,15
3,2020-05-04,27
4,2020-05-05,19
5,2020-05-06,26
6,2020-05-07,30
7,2020-05-08,16
8,2020-05-09,15
9,2020-05-10,17
10,2020-05-11,15
11,2020-05-12,16
12,2020-05-13,16
13,2020-05-14,21
14,2020-05-15,29
15,2020-05-16,18
16,2020-05-17,24
17,2020-05-18,14
18,2020-05-19,10
19,2020-05-20,3
20,2020-05-21,8
21,2020-05-22,13
22,2020-05-23,18
23,2020-05-24,17
24,2020-05-25,23
25,2020-05-26,17
26,2020-05-27,10
27,2020-05-28,24
28,2020-05-29,17
29,2020-05-30,12
30,2020-05-31,16
31,2020-06-01,18
32,2020-06-02,13
33,2020-06-03,16
34,2020-06-04,21
35,2020-06-05,15
36,2020-06-06,16
37,2020-06-07,13
38,2020-06-08,6
39,2020-06-09,9
40,2020-06-10,6
41,2020-06-11,11
42,2020-06-12,17
43,2020-06-13,57
44,2020-06-14,189
45,2020-06-15,606
46,2020-06-16,1548
47,2020-06-17,1338
48,2020-06-18,1473
49,2020-06-19,1734
50,2020-06-20,1600
51,2020-06-21,1342
52,2020-06-22,854
53,2020-06-23,516
54,2020-06-24,475
55,2020-06-25,395
56,2020-06-26,272
57,2020-06-27,296
58,2020-06-28,234
59,2020-06-29,211
60,2020-06-30,166
