,dates,txs
0,2017-11-28,3
1,2017-11-29,0
2,2017-11-30,0
3,2017-12-01,0
4,2017-12-02,0
5,2017-12-03,0
6,2017-12-04,0
7,2017-12-05,0
8,2017-12-06,0
9,2017-12-07,0
10,2017-12-08,0
11,2017-12-09,0
12,2017-12-10,0
13,2017-12-11,0
14,2017-12-12,0
15,2017-12-13,0
16,2017-12-14,0
17,2017-12-15,0
18,2017-12-16,0
19,2017-12-17,0
20,2017-12-18,0
21,2017-12-19,0
22,2017-12-20,0
23,2017-12-21,1
24,2017-12-22,0
25,2017-12-23,0
26,2017-12-24,0
27,2017-12-25,0
28,2017-12-26,0
29,2017-12-27,2
30,2017-12-28,4
31,2017-12-29,0
32,2017-12-30,0
33,2017-12-31,1
34,2018-01-01,0
35,2018-01-02,0
36,2018-01-03,0
37,2018-01-04,0
38,2018-01-05,0
39,2018-01-06,0
40,2018-01-07,0
41,2018-01-08,0
42,2018-01-09,0
43,2018-01-10,0
44,2018-01-11,0
45,2018-01-12,0
46,2018-01-13,0
47,2018-01-14,0
48,2018-01-15,0
49,2018-01-16,0
50,2018-01-17,0
51,2018-01-18,0
52,2018-01-19,0
53,2018-01-20,0
54,2018-01-21,0
55,2018-01-22,2
56,2018-01-23,9
57,2018-01-24,5
58,2018-01-25,4
59,2018-01-26,2
60,2018-01-27,19
61,2018-01-28,23
62,2018-01-29,22
63,2018-01-30,17
64,2018-01-31,19
65,2018-02-01,12
66,2018-02-02,18
67,2018-02-03,15
68,2018-02-04,38
69,2018-02-05,15
70,2018-02-06,18
71,2018-02-07,17
72,2018-02-08,9
73,2018-02-09,18
74,2018-02-10,17
75,2018-02-11,15
76,2018-02-12,10
77,2018-02-13,16
78,2018-02-14,7
79,2018-02-15,13
80,2018-02-16,4
81,2018-02-17,14
82,2018-02-18,16
83,2018-02-19,5
84,2018-02-20,7
85,2018-02-21,8
86,2018-02-22,12
87,2018-02-23,8
88,2018-02-24,8
89,2018-02-25,7
90,2018-02-26,11
91,2018-02-27,6
92,2018-02-28,13
93,2018-03-01,9
94,2018-03-02,6
95,2018-03-03,2
96,2018-03-04,8
97,2018-03-05,6
98,2018-03-06,1
99,2018-03-07,7
100,2018-03-08,13
101,2018-03-09,11
102,2018-03-10,3
103,2018-03-11,6
104,2018-03-12,5
105,2018-03-13,5
106,2018-03-14,14
107,2018-03-15,14
108,2018-03-16,10
109,2018-03-17,17
110,2018-03-18,14
111,2018-03-19,8
112,2018-03-20,14
113,2018-03-21,6
114,2018-03-22,7
115,2018-03-23,3
116,2018-03-24,4
117,2018-03-25,1
118,2018-03-26,12
