,txs
2017-11-28,3
2017-11-29,0
2017-11-30,0
2017-12-01,0
2017-12-02,0
2017-12-03,0
2017-12-04,0
2017-12-05,0
2017-12-06,0
2017-12-07,0
2017-12-08,0
2017-12-09,0
2017-12-10,0
2017-12-11,0
2017-12-12,0
2017-12-13,0
2017-12-14,0
2017-12-15,0
2017-12-16,0
2017-12-17,0
2017-12-18,0
2017-12-19,0
2017-12-20,0
2017-12-21,1
2017-12-22,0
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,0
2017-12-27,2
2017-12-28,6
2017-12-29,0
2017-12-30,0
2017-12-31,1
2018-01-01,0
2018-01-02,0
2018-01-03,0
2018-01-04,0
2018-01-05,0
2018-01-06,0
2018-01-07,0
2018-01-08,0
2018-01-09,0
2018-01-10,0
2018-01-11,0
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,0
2018-01-17,0
2018-01-18,0
2018-01-19,0
2018-01-20,0
2018-01-21,0
2018-01-22,2
2018-01-23,7
2018-01-24,4
2018-01-25,6
2018-01-26,4
2018-01-27,20
2018-01-28,27
2018-01-29,22
2018-01-30,26
2018-01-31,29
2018-02-01,16
2018-02-02,29
2018-02-03,17
2018-02-04,48
2018-02-05,26
2018-02-06,38
2018-02-07,19
2018-02-08,20
2018-02-09,14
2018-02-10,20
2018-02-11,9
2018-02-12,20
2018-02-13,11
2018-02-14,14
2018-02-15,15
2018-02-16,4
2018-02-17,9
2018-02-18,16
2018-02-19,7
2018-02-20,8
2018-02-21,18
2018-02-22,12
2018-02-23,8
2018-02-24,10
2018-02-25,9
2018-02-26,15
2018-02-27,16
2018-02-28,16
2018-03-01,19
2018-03-02,14
2018-03-03,12
2018-03-04,15
2018-03-05,13
2018-03-06,9
2018-03-07,17
2018-03-08,21
2018-03-09,17
2018-03-10,10
2018-03-11,11
2018-03-12,9
2018-03-13,7
2018-03-14,34
2018-03-15,20
2018-03-16,16
2018-03-17,18
2018-03-18,23
2018-03-19,15
2018-03-20,29
2018-03-21,12
2018-03-22,14
2018-03-23,21
2018-03-24,19
2018-03-25,9
2018-03-26,13
2018-03-27,19
2018-03-28,13
2018-03-29,17
2018-03-30,25
2018-03-31,15
2018-04-01,15
2018-04-02,9
2018-04-03,12
2018-04-04,21
2018-04-05,17
2018-04-06,21
2018-04-07,13
2018-04-08,14
2018-04-09,17
2018-04-10,31
2018-04-11,25
2018-04-12,21
2018-04-13,39
2018-04-14,23
2018-04-15,25
2018-04-16,19
2018-04-17,28
2018-04-18,33
2018-04-19,19
2018-04-20,33
2018-04-21,50
2018-04-22,48
2018-04-23,37
2018-04-24,64
2018-04-25,57
2018-04-26,78
2018-04-27,42
2018-04-28,60
2018-04-29,62
2018-04-30,48
2018-05-01,39
2018-05-02,46
2018-05-03,50
2018-05-04,52
2018-05-05,52
2018-05-06,41
2018-05-07,47
2018-05-08,63
2018-05-09,48
2018-05-10,21
2018-05-11,55
2018-05-12,53
2018-05-13,34
2018-05-14,23
2018-05-15,51
2018-05-16,27
2018-05-17,35
2018-05-18,58
2018-05-19,32
2018-05-20,32
2018-05-21,22
2018-05-22,100
2018-05-23,50
2018-05-24,69
2018-05-25,41
2018-05-26,27
2018-05-27,26
2018-05-28,30
2018-05-29,16
2018-05-30,23
2018-05-31,29
2018-06-01,39
2018-06-02,36
2018-06-03,114
2018-06-04,28
2018-06-05,34
2018-06-06,27
2018-06-07,29
2018-06-08,30
2018-06-09,24
2018-06-10,21
2018-06-11,23
2018-06-12,24
2018-06-13,26
2018-06-14,52
2018-06-15,20
2018-06-16,26
2018-06-17,15
2018-06-18,33
2018-06-19,26
2018-06-20,24
2018-06-21,25
2018-06-22,22
2018-06-23,20
2018-06-24,27
