,txvalue
2018-03-05,432902.9998727273
2018-03-06,244536.70695717997
2018-03-07,331849.91012971004
2018-03-08,34030.819402550005
2018-03-09,347616.4996468134
2018-03-10,501051.58599989
2018-03-11,54.75
2018-03-12,6820.0
2018-03-13,3105.14078505
2018-03-14,6408.344563232858
2018-03-15,261781.56018067876
2018-03-16,6565.5913278355565
2018-03-17,1030.227141235
2018-03-18,36220.296312680846
2018-03-19,1470.7023820743755
2018-03-20,9668.383913074838
2018-03-21,1328.804167725
2018-03-22,3203.562443369687
2018-03-23,149859.4900137896
2018-03-24,18810.94564205782
2018-03-25,20073.2337513
2018-03-26,1860.1449461483332
2018-03-27,1681.93540759
2018-03-28,741.5603105463637
2018-03-29,2494.7116393651518
2018-03-30,138134.43202098086
2018-03-31,6291.085652016666
2018-04-01,741.8478518512499
2018-04-02,1057.2160939364708
2018-04-03,3648.934267058203
2018-04-04,13389.874833409165
2018-04-05,1810.36415683
2018-04-06,2187.727649942666
2018-04-07,1412.935169472408
2018-04-08,1798.9400040352468
2018-04-09,5979.943413700571
2018-04-10,4103.1441309564425
2018-04-11,1980.725339031429
2018-04-12,2012.465110028148
2018-04-13,2260.0031125985715
2018-04-14,16606.06662337609
2018-04-15,10700.982144834245
2018-04-16,34322.71888739631
2018-04-17,15718.858682460797
2018-04-18,7459.932097282964
2018-04-19,6812.744118015239
2018-04-20,2013.6816173688885
2018-04-21,11434.933875141818
2018-04-22,37028.407866039284
2018-04-23,1026.1550561188233
2018-04-24,62697.01980639433
2018-04-25,45448.04990476313
2018-04-26,4856.68572118
2018-04-27,1390.9281372291662
2018-04-28,6978.236500353999
2018-04-29,2242.0
2018-04-30,1334.355938
2018-05-01,716.2265649049999
2018-05-02,11741.893886367368
2018-05-03,3515.757977502
2018-05-04,50182.82603651
2018-05-05,7524.347573313076
2018-05-06,1024.4388857142858
2018-05-07,9105.010947456922
2018-05-08,12714.604366666666
2018-05-09,4030.5
2018-05-10,587.2811983288236
2018-05-11,131850.8025596482
2018-05-12,2194.0664240507144
2018-05-13,7741.000337869999
2018-05-14,55923.21383627191
2018-05-15,5133.860390086251
2018-05-16,37944.80131896585
2018-05-17,8404.066592847286
2018-05-18,10421.355734840052
2018-05-19,2634.1579700251336
2018-05-20,8823.582804258896
2018-05-21,31742.896993130213
2018-05-22,26848.65714944171
2018-05-23,19845.651326386793
2018-05-24,22767.55458074122
2018-05-25,20166.243489670407
2018-05-26,92943.11397790346
2018-05-27,19614.752770719042
2018-05-28,8655.150535131937
2018-05-29,30116.886584924036
2018-05-30,27763.3219612307
2018-05-31,55853.59958595884
2018-06-01,40504.907241418914
2018-06-02,17140.876571137625
2018-06-03,5619.900213105334
2018-06-04,8689.454740659443
2018-06-05,11492.014168510017
2018-06-06,12101.912713094544
2018-06-07,25203.135494184986
2018-06-08,21880.94923999356
2018-06-09,8849.47890383403
2018-06-10,18228.783958988697
2018-06-11,39688.76979731169
2018-06-12,32683.03253155985
2018-06-13,36224.77218772916
2018-06-14,14842.025788565647
2018-06-15,16317.18020010196
2018-06-16,18534.184210016458
2018-06-17,13336.494231277637
2018-06-18,139070.9162389767
2018-06-19,35452.294184238584
2018-06-20,36664.54216351201
2018-06-21,28825.171526072772
2018-06-22,52264.69048401809
2018-06-23,69463.57576728413
2018-06-24,28581.603191919075
