,txvalue
2018-03-05,4.761925e+24
2018-03-06,0.0
2018-03-07,0.0
2018-03-08,0.0
2018-03-09,1.8e+24
2018-03-10,0.0
2018-03-11,0.0
2018-03-12,0.0
2018-03-13,0.0
2018-03-14,0.0
2018-03-15,1.7625e+22
2018-03-16,0.0
2018-03-17,0.0
2018-03-18,0.0
2018-03-19,0.0
2018-03-20,0.0
2018-03-21,0.0
2018-03-22,0.0
2018-03-23,1.34456475e+24
2018-03-24,0.0
2018-03-25,0.0
2018-03-26,0.0
2018-03-27,0.0
2018-03-28,0.0
2018-03-29,0.0
2018-03-30,1.55e+24
2018-03-31,0.0
2018-04-01,0.0
2018-04-02,0.0
2018-04-03,0.0
2018-04-04,1e+23
2018-04-05,0.0
2018-04-06,0.0
2018-04-07,0.0
2018-04-08,0.0
2018-04-09,-1.1e+22
2018-04-10,0.0
2018-04-11,0.0
2018-04-12,0.0
2018-04-13,0.0
2018-04-14,1e+22
2018-04-15,0.0
2018-04-16,2.0999999999999998e+23
2018-04-17,0.0
2018-04-18,0.0
2018-04-19,-1e+22
2018-04-20,0.0
2018-04-21,0.0
2018-04-22,0.0
2018-04-23,0.0
2018-04-24,2.24e+24
2018-04-25,0.0
2018-04-26,0.0
2018-04-27,0.0
2018-04-28,-1.4607e+22
2018-04-29,0.0
2018-04-30,0.0
2018-05-01,0.0
2018-05-02,0.0
2018-05-03,0.0
2018-05-04,0.0
2018-05-05,0.0
2018-05-06,0.0
2018-05-07,0.0
2018-05-08,-1.48e+22
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,1.4119999999999998e+24
2018-05-12,0.0
2018-05-13,0.0
2018-05-14,1.0075e+22
2018-05-15,0.0
2018-05-16,2.78723553e+24
2018-05-17,0.0
2018-05-18,4.069485e+23
2018-05-19,0.0
2018-05-20,0.0
2018-05-21,1.6505293100000004e+25
2018-05-22,0.0
2018-05-23,0.0
2018-05-24,1.4999999999999999e+23
2018-05-25,0.0
2018-05-26,5.369196890000001e+24
2018-05-27,0.0
2018-05-28,0.0
2018-05-29,0.0
2018-05-30,0.0
2018-05-31,2.6905299999999996e+24
2018-06-01,2.07896905e+24
2018-06-02,0.0
2018-06-03,0.0
2018-06-04,0.0
2018-06-05,1.29947e+23
2018-06-06,0.0
2018-06-07,3.35e+23
2018-06-08,0.0
2018-06-09,1e+22
2018-06-10,0.0
2018-06-11,0.0
2018-06-12,5.25075e+23
2018-06-13,4.10670195e+24
2018-06-14,1.6e+23
2018-06-15,7e+23
2018-06-16,0.0
2018-06-17,0.0
2018-06-18,1.274215197e+25
2018-06-19,4.88004e+23
2018-06-20,0.0
2018-06-21,0.0
2018-06-22,4.34575899e+24
2018-06-23,5.95544993e+24
2018-06-24,0.0
2018-06-25,0.0
2018-06-26,7.231582800000001e+24
2018-06-27,0.0
2018-06-28,0.0
2018-06-29,3.3370169e+24
2018-06-30,3.3186652e+23
2018-07-01,0.0
2018-07-02,5.13933478e+24
2018-07-03,-8.5805531e+23
2018-07-04,0.0
2018-07-05,0.0
2018-07-06,-2.4126319e+24
2018-07-07,-7.1443e+22
2018-07-08,0.0
2018-07-09,-4.32528325e+24
2018-07-10,-1.28694437e+24
2018-07-11,-3.56149e+23
2018-07-12,-3.44125e+23
2018-07-13,1e+22
2018-07-14,1.249683e+22
2018-07-15,0.0
2018-07-16,-2.58052e+23
2018-07-17,1.827811e+24
2018-07-18,-1.976135e+24
2018-07-19,-9.418369999999999e+23
2018-07-20,-1.094165e+24
2018-07-21,-1e+22
2018-07-22,0.0
2018-07-23,-4.68683011e+24
2018-07-24,-1.432427e+24
2018-07-25,-9.9350911e+23
2018-07-26,-2.14850742456999e+24
2018-07-27,-4.98925099543001e+24
2018-07-28,0.0
2018-07-29,0.0
2018-07-30,-6.25352e+23
2018-07-31,-1.7268590000000001e+24
2018-08-01,-2.521759e+24
2018-08-02,2.804117e+24
2018-08-03,-1.2953209999999997e+24
2018-08-04,2.3e+23
2018-08-05,0.0
2018-08-06,-4.59977e+23
2018-08-07,-1.11993e+23
2018-08-08,-5.0399999999999995e+23
2018-08-09,9.35e+23
2018-08-10,1e+22
2018-08-11,1.472719e+24
2018-08-12,0.0
2018-08-13,0.0
2018-08-14,-2.004e+24
2018-08-15,1.14842e+24
2018-08-16,4.5500000000000003e+24
2018-08-17,0.0
2018-08-18,7.699999999999999e+23
2018-08-19,0.0
2018-08-20,0.0
2018-08-21,0.0
2018-08-22,6.60618e+23
2018-08-23,2.209021e+24
2018-08-24,1e+23
2018-08-25,4.51e+24
2018-08-26,0.0
2018-08-27,-1.04889e+23
2018-08-28,1.4330599999999998e+23
2018-08-29,0.0
2018-08-30,-2.0229e+23
2018-08-31,4.25313e+23
2018-09-01,0.0
2018-09-02,0.0
2018-09-03,0.0
2018-09-04,0.0
2018-09-05,0.0
2018-09-06,4.2500000000000003e+24
2018-09-07,0.0
2018-09-08,5e+22
2018-09-09,1.235e+24
2018-09-10,0.0
2018-09-11,3.67e+24
2018-09-12,0.0
2018-09-13,-1.4957e+22
2018-09-14,3.1e+24
2018-09-15,0.0
2018-09-16,0.0
2018-09-17,-3.9311e+22
2018-09-18,6e+24
2018-09-19,2.097894e+24
2018-09-20,0.0
2018-09-21,1.7909099999999996e+23
2018-09-22,0.0
2018-09-23,0.0
2018-09-24,0.0
2018-09-25,0.0
2018-09-26,0.0
2018-09-27,-1.0065e+22
2018-09-28,1.0140000000000002e+25
2018-09-29,0.0
2018-09-30,-4.99996e+23
2018-10-01,3.57033e+24
2018-10-02,-2.7e+23
2018-10-03,1.1490000000000002e+25
