,dates,txs
0,2018-03-05,11
1,2018-03-06,39
2,2018-03-07,13
3,2018-03-08,2
4,2018-03-09,18
5,2018-03-10,4
6,2018-03-11,4
7,2018-03-12,1
8,2018-03-13,2
9,2018-03-14,7
10,2018-03-15,8
11,2018-03-16,9
12,2018-03-17,8
13,2018-03-18,59
14,2018-03-19,16
15,2018-03-20,31
16,2018-03-21,22
17,2018-03-22,32
18,2018-03-23,27
19,2018-03-24,27
20,2018-03-25,3
21,2018-03-26,6
22,2018-03-27,4
23,2018-03-28,11
24,2018-03-29,33
25,2018-03-30,34
26,2018-03-31,27
27,2018-04-01,24
28,2018-04-02,17
29,2018-04-03,89
30,2018-04-04,24
31,2018-04-05,24
32,2018-04-06,30
33,2018-04-07,54
34,2018-04-08,61
35,2018-04-09,35
36,2018-04-10,59
37,2018-04-11,28
38,2018-04-12,27
39,2018-04-13,28
40,2018-04-14,23
41,2018-04-15,33
42,2018-04-16,19
43,2018-04-17,25
44,2018-04-18,27
45,2018-04-19,21
46,2018-04-20,18
47,2018-04-21,11
48,2018-04-22,14
49,2018-04-23,17
50,2018-04-24,37
51,2018-04-25,16
52,2018-04-26,12
53,2018-04-27,36
54,2018-04-28,10
55,2018-04-29,6
56,2018-04-30,6
57,2018-05-01,14
58,2018-05-02,19
59,2018-05-03,10
60,2018-05-04,5
61,2018-05-05,13
62,2018-05-06,7
63,2018-05-07,13
64,2018-05-08,9
65,2018-05-09,4
66,2018-05-10,17
67,2018-05-11,11
68,2018-05-12,14
69,2018-05-13,7
70,2018-05-14,21
71,2018-05-15,16
72,2018-05-16,512
73,2018-05-17,546
74,2018-05-18,190
75,2018-05-19,113
76,2018-05-20,209
77,2018-05-21,1406
78,2018-05-22,1066
79,2018-05-23,476
80,2018-05-24,210
81,2018-05-25,98
82,2018-05-26,72
83,2018-05-27,73
84,2018-05-28,88
85,2018-05-29,348
86,2018-05-30,116
87,2018-05-31,127
88,2018-06-01,82
89,2018-06-02,84
90,2018-06-03,90
91,2018-06-04,158
92,2018-06-05,126
93,2018-06-06,74
94,2018-06-07,58
95,2018-06-08,75
