,dates,txs
0,2018-03-05,5
1,2018-03-06,11
2,2018-03-07,6
3,2018-03-08,0
4,2018-03-09,5
5,2018-03-10,2
6,2018-03-11,3
7,2018-03-12,1
8,2018-03-13,1
9,2018-03-14,4
10,2018-03-15,3
11,2018-03-16,6
12,2018-03-17,3
13,2018-03-18,11
14,2018-03-19,9
15,2018-03-20,9
16,2018-03-21,8
17,2018-03-22,12
18,2018-03-23,8
19,2018-03-24,5
20,2018-03-25,0
21,2018-03-26,1
22,2018-03-27,1
23,2018-03-28,5
24,2018-03-29,5
25,2018-03-30,6
26,2018-03-31,5
27,2018-04-01,2
28,2018-04-02,5
29,2018-04-03,9
30,2018-04-04,6
31,2018-04-05,4
32,2018-04-06,4
33,2018-04-07,2
34,2018-04-08,7
35,2018-04-09,4
36,2018-04-10,3
37,2018-04-11,6
38,2018-04-12,10
39,2018-04-13,10
40,2018-04-14,11
41,2018-04-15,9
42,2018-04-16,4
43,2018-04-17,7
44,2018-04-18,6
45,2018-04-19,6
46,2018-04-20,1
47,2018-04-21,2
48,2018-04-22,3
49,2018-04-23,5
50,2018-04-24,7
51,2018-04-25,6
52,2018-04-26,3
53,2018-04-27,8
54,2018-04-28,2
55,2018-04-29,1
56,2018-04-30,1
57,2018-05-01,5
58,2018-05-02,5
59,2018-05-03,4
60,2018-05-04,1
61,2018-05-05,4
62,2018-05-06,1
63,2018-05-07,7
64,2018-05-08,3
65,2018-05-09,0
66,2018-05-10,5
67,2018-05-11,2
68,2018-05-12,4
69,2018-05-13,1
70,2018-05-14,8
71,2018-05-15,4
72,2018-05-16,308
73,2018-05-17,277
74,2018-05-18,119
75,2018-05-19,58
76,2018-05-20,117
77,2018-05-21,316
78,2018-05-22,343
79,2018-05-23,126
80,2018-05-24,52
81,2018-05-25,28
82,2018-05-26,22
83,2018-05-27,26
84,2018-05-28,24
85,2018-05-29,31
86,2018-05-30,24
87,2018-05-31,37
88,2018-06-01,25
89,2018-06-02,21
90,2018-06-03,19
91,2018-06-04,35
92,2018-06-05,34
93,2018-06-06,29
94,2018-06-07,17
95,2018-06-08,22
96,2018-06-09,22
97,2018-06-10,28
98,2018-06-11,31
99,2018-06-12,20
100,2018-06-13,72
101,2018-06-14,63
102,2018-06-15,70
103,2018-06-16,25
104,2018-06-17,22
105,2018-06-18,34
106,2018-06-19,27
107,2018-06-20,42
108,2018-06-21,25
109,2018-06-22,45
110,2018-06-23,29
111,2018-06-24,40
112,2018-06-25,26
113,2018-06-26,27
114,2018-06-27,37
115,2018-06-28,30
116,2018-06-29,54
117,2018-06-30,36
118,2018-07-01,30
119,2018-07-02,32
120,2018-07-03,26
121,2018-07-04,34
122,2018-07-05,40
123,2018-07-06,29
124,2018-07-07,84
125,2018-07-08,63
126,2018-07-09,52
127,2018-07-10,68
128,2018-07-11,40
129,2018-07-12,53
130,2018-07-13,19
131,2018-07-14,18
132,2018-07-15,18
133,2018-07-16,34
134,2018-07-17,40
135,2018-07-18,64
136,2018-07-19,46
137,2018-07-20,33
138,2018-07-21,25
139,2018-07-22,19
140,2018-07-23,35
141,2018-07-24,41
142,2018-07-25,42
143,2018-07-26,44
144,2018-07-27,39
145,2018-07-28,35
146,2018-07-29,30
147,2018-07-30,38
148,2018-07-31,40
149,2018-08-01,22
150,2018-08-02,26
151,2018-08-03,150
152,2018-08-04,29
153,2018-08-05,28
154,2018-08-06,41
155,2018-08-07,56
156,2018-08-08,57
157,2018-08-09,178
158,2018-08-10,133
159,2018-08-11,135
160,2018-08-12,70
161,2018-08-13,97
162,2018-08-14,100
163,2018-08-15,104
164,2018-08-16,76
165,2018-08-17,88
166,2018-08-18,75
167,2018-08-19,61
168,2018-08-20,61
169,2018-08-21,62
170,2018-08-22,124
171,2018-08-23,62
172,2018-08-24,59
173,2018-08-25,62
174,2018-08-26,47
175,2018-08-27,77
176,2018-08-28,119
177,2018-08-29,77
178,2018-08-30,66
179,2018-08-31,56
180,2018-09-01,66
181,2018-09-02,58
182,2018-09-03,224
183,2018-09-04,97
184,2018-09-05,167
185,2018-09-06,164
186,2018-09-07,91
187,2018-09-08,87
188,2018-09-09,75
189,2018-09-10,68
190,2018-09-11,79
191,2018-09-12,86
192,2018-09-13,117
193,2018-09-14,87
194,2018-09-15,57
195,2018-09-16,37
196,2018-09-17,101
197,2018-09-18,107
198,2018-09-19,105
199,2018-09-20,90
200,2018-09-21,169
201,2018-09-22,118
202,2018-09-23,86
203,2018-09-24,130
204,2018-09-25,135
205,2018-09-26,103
206,2018-09-27,104
207,2018-09-28,192
208,2018-09-29,117
209,2018-09-30,121
210,2018-10-01,144
211,2018-10-02,115
212,2018-10-03,128
213,2018-10-04,130
214,2018-10-05,71
215,2018-10-06,84
216,2018-10-07,51
217,2018-10-08,96
218,2018-10-09,85
219,2018-10-10,109
220,2018-10-11,160
221,2018-10-12,93
222,2018-10-13,59
223,2018-10-14,70
224,2018-10-15,221
225,2018-10-16,122
226,2018-10-17,121
227,2018-10-18,110
228,2018-10-19,107
229,2018-10-20,81
230,2018-10-21,72
231,2018-10-22,103
232,2018-10-23,100
233,2018-10-24,103
234,2018-10-25,88
235,2018-10-26,92
236,2018-10-27,79
237,2018-10-28,55
238,2018-10-29,94
239,2018-10-30,113
240,2018-10-31,108
241,2018-11-01,100
242,2018-11-02,77
243,2018-11-03,72
244,2018-11-04,120
245,2018-11-05,1016
246,2018-11-06,128
247,2018-11-07,99
248,2018-11-08,111
249,2018-11-09,73
250,2018-11-10,51
251,2018-11-11,55
252,2018-11-12,61
253,2018-11-13,98
254,2018-11-14,241
255,2018-11-15,179
256,2018-11-16,124
257,2018-11-17,78
258,2018-11-18,61
259,2018-11-19,289
260,2018-11-20,379
261,2018-11-21,210
262,2018-11-22,184
263,2018-11-23,178
264,2018-11-24,145
265,2018-11-25,264
266,2018-11-26,193
267,2018-11-27,156
268,2018-11-28,218
269,2018-11-29,151
270,2018-11-30,122
271,2018-12-01,104
272,2018-12-02,72
273,2018-12-03,134
274,2018-12-04,163
275,2018-12-05,133
276,2018-12-06,183
277,2018-12-07,301
278,2018-12-08,202
279,2018-12-09,165
280,2018-12-10,156
281,2018-12-11,194
282,2018-12-12,155
283,2018-12-13,168
284,2018-12-14,202
285,2018-12-15,140
286,2018-12-16,131
287,2018-12-17,218
288,2018-12-18,242
289,2018-12-19,313
290,2018-12-20,296
291,2018-12-21,250
292,2018-12-22,164
293,2018-12-23,196
294,2018-12-24,288
295,2018-12-25,214
296,2018-12-26,165
297,2018-12-27,206
298,2018-12-28,225
299,2018-12-29,187
300,2018-12-30,117
301,2018-12-31,108
302,2019-01-01,127
303,2019-01-02,217
304,2019-01-03,169
305,2019-01-04,175
306,2019-01-05,150
307,2019-01-06,136
308,2019-01-07,174
309,2019-01-08,158
310,2019-01-09,125
311,2019-01-10,241
312,2019-01-11,161
313,2019-01-12,109
314,2019-01-13,168
315,2019-01-14,162
316,2019-01-15,165
317,2019-01-16,150
318,2019-01-17,146
319,2019-01-18,153
320,2019-01-19,111
321,2019-01-20,141
322,2019-01-21,193
323,2019-01-22,191
324,2019-01-23,164
325,2019-01-24,135
326,2019-01-25,157
327,2019-01-26,115
328,2019-01-27,143
329,2019-01-28,190
330,2019-01-29,228
331,2019-01-30,245
332,2019-01-31,190
333,2019-02-01,188
334,2019-02-02,159
335,2019-02-03,179
336,2019-02-04,147
337,2019-02-05,116
338,2019-02-06,162
339,2019-02-07,133
340,2019-02-08,255
341,2019-02-09,232
342,2019-02-10,157
343,2019-02-11,199
344,2019-02-12,170
345,2019-02-13,203
346,2019-02-14,299
347,2019-02-15,233
348,2019-02-16,106
349,2019-02-17,123
350,2019-02-18,223
351,2019-02-19,239
352,2019-02-20,189
353,2019-02-21,214
354,2019-02-22,193
355,2019-02-23,203
356,2019-02-24,283
357,2019-02-25,229
358,2019-02-26,218
359,2019-02-27,213
360,2019-02-28,157
361,2019-03-01,160
362,2019-03-02,135
363,2019-03-03,117
364,2019-03-04,172
365,2019-03-05,208
366,2019-03-06,188
367,2019-03-07,193
368,2019-03-08,170
369,2019-03-09,176
370,2019-03-10,120
371,2019-03-11,186
372,2019-03-12,228
373,2019-03-13,202
374,2019-03-14,161
375,2019-03-15,160
376,2019-03-16,171
377,2019-03-17,119
378,2019-03-18,174
379,2019-03-19,228
380,2019-03-20,159
381,2019-03-21,197
382,2019-03-22,169
383,2019-03-23,115
384,2019-03-24,145
385,2019-03-25,197
386,2019-03-26,233
387,2019-03-27,225
388,2019-03-28,177
389,2019-03-29,181
390,2019-03-30,166
391,2019-03-31,158
392,2019-04-01,174
393,2019-04-02,485
394,2019-04-03,647
395,2019-04-04,414
396,2019-04-05,291
397,2019-04-06,201
398,2019-04-07,184
399,2019-04-08,276
400,2019-04-09,248
401,2019-04-10,209
402,2019-04-11,270
403,2019-04-12,206
404,2019-04-13,172
405,2019-04-14,133
406,2019-04-15,205
407,2019-04-16,160
408,2019-04-17,190
409,2019-04-18,224
410,2019-04-19,180
411,2019-04-20,192
412,2019-04-21,180
413,2019-04-22,212
414,2019-04-23,553
415,2019-04-24,320
416,2019-04-25,273
417,2019-04-26,377
418,2019-04-27,199
419,2019-04-28,194
420,2019-04-29,278
421,2019-04-30,249
422,2019-05-01,487
423,2019-05-02,203
424,2019-05-03,257
425,2019-05-04,210
426,2019-05-05,213
427,2019-05-06,239
428,2019-05-07,191
429,2019-05-08,223
430,2019-05-09,197
431,2019-05-10,264
432,2019-05-11,384
433,2019-05-12,422
434,2019-05-13,376
435,2019-05-14,410
436,2019-05-15,641
437,2019-05-16,599
438,2019-05-17,549
439,2019-05-18,423
440,2019-05-19,847
441,2019-05-20,321
442,2019-05-21,666
443,2019-05-22,991
444,2019-05-23,443
445,2019-05-24,451
446,2019-05-25,222
447,2019-05-26,340
448,2019-05-27,462
449,2019-05-28,338
450,2019-05-29,379
451,2019-05-30,420
452,2019-05-31,484
453,2019-06-01,230
454,2019-06-02,277
455,2019-06-03,291
456,2019-06-04,511
457,2019-06-05,404
458,2019-06-06,294
459,2019-06-07,702
460,2019-06-08,248
461,2019-06-09,413
462,2019-06-10,303
463,2019-06-11,417
464,2019-06-12,298
465,2019-06-13,284
466,2019-06-14,380
467,2019-06-15,340
468,2019-06-16,304
469,2019-06-17,327
470,2019-06-18,323
471,2019-06-19,268
472,2019-06-20,315
473,2019-06-21,477
474,2019-06-22,599
475,2019-06-23,378
476,2019-06-24,342
477,2019-06-25,444
478,2019-06-26,814
479,2019-06-27,854
480,2019-06-28,581
481,2019-06-29,458
482,2019-06-30,419
483,2019-07-01,512
484,2019-07-02,756
485,2019-07-03,594
486,2019-07-04,496
487,2019-07-05,433
488,2019-07-06,350
489,2019-07-07,246
490,2019-07-08,364
491,2019-07-09,397
492,2019-07-10,465
493,2019-07-11,437
494,2019-07-12,397
495,2019-07-13,315
496,2019-07-14,454
497,2019-07-15,576
498,2019-07-16,381
499,2019-07-17,464
500,2019-07-18,408
501,2019-07-19,258
502,2019-07-20,378
503,2019-07-21,226
504,2019-07-22,232
505,2019-07-23,257
506,2019-07-24,338
507,2019-07-25,246
508,2019-07-26,235
509,2019-07-27,186
510,2019-07-28,185
511,2019-07-29,250
512,2019-07-30,240
513,2019-07-31,240
514,2019-08-01,272
515,2019-08-02,255
516,2019-08-03,226
517,2019-08-04,223
518,2019-08-05,315
519,2019-08-06,289
520,2019-08-07,265
521,2019-08-08,188
522,2019-08-09,216
523,2019-08-10,169
524,2019-08-11,167
525,2019-08-12,189
526,2019-08-13,216
527,2019-08-14,258
528,2019-08-15,323
529,2019-08-16,209
530,2019-08-17,192
531,2019-08-18,164
532,2019-08-19,230
533,2019-08-20,195
534,2019-08-21,235
535,2019-08-22,231
536,2019-08-23,352
537,2019-08-24,183
538,2019-08-25,108
539,2019-08-26,157
540,2019-08-27,200
541,2019-08-28,274
542,2019-08-29,248
543,2019-08-30,191
544,2019-08-31,150
545,2019-09-01,141
546,2019-09-02,202
547,2019-09-03,235
548,2019-09-04,165
549,2019-09-05,165
550,2019-09-06,170
551,2019-09-07,118
552,2019-09-08,128
553,2019-09-09,166
554,2019-09-10,147
555,2019-09-11,152
556,2019-09-12,180
557,2019-09-13,157
558,2019-09-14,156
559,2019-09-15,128
560,2019-09-16,190
561,2019-09-17,221
562,2019-09-18,226
563,2019-09-19,224
564,2019-09-20,214
565,2019-09-21,146
566,2019-09-22,180
567,2019-09-23,211
568,2019-09-24,352
569,2019-09-25,269
570,2019-09-26,255
571,2019-09-27,227
572,2019-09-28,206
573,2019-09-29,137
574,2019-09-30,260
575,2019-10-01,194
576,2019-10-02,138
577,2019-10-03,116
578,2019-10-04,132
579,2019-10-05,86
580,2019-10-06,97
581,2019-10-07,126
582,2019-10-08,141
583,2019-10-09,170
584,2019-10-10,126
585,2019-10-11,134
586,2019-10-12,86
587,2019-10-13,85
588,2019-10-14,124
589,2019-10-15,169
590,2019-10-16,179
591,2019-10-17,137
592,2019-10-18,118
593,2019-10-19,91
594,2019-10-20,87
595,2019-10-21,134
596,2019-10-22,133
597,2019-10-23,201
598,2019-10-24,130
599,2019-10-25,243
600,2019-10-26,235
601,2019-10-27,207
602,2019-10-28,212
603,2019-10-29,129
604,2019-10-30,136
605,2019-10-31,143
606,2019-11-01,125
607,2019-11-02,91
608,2019-11-03,89
609,2019-11-04,133
610,2019-11-05,160
611,2019-11-06,122
