,txs
2018-03-05,5
2018-03-06,12
2018-03-07,10
2018-03-08,1
2018-03-09,9
2018-03-10,3
2018-03-11,4
2018-03-12,1
2018-03-13,1
2018-03-14,5
2018-03-15,7
2018-03-16,6
2018-03-17,4
2018-03-18,18
2018-03-19,11
2018-03-20,14
2018-03-21,15
2018-03-22,18
2018-03-23,16
2018-03-24,15
2018-03-25,3
2018-03-26,5
2018-03-27,4
2018-03-28,8
2018-03-29,18
2018-03-30,20
2018-03-31,15
2018-04-01,9
2018-04-02,12
2018-04-03,18
2018-04-04,14
2018-04-05,14
2018-04-06,12
2018-04-07,16
2018-04-08,20
2018-04-09,15
2018-04-10,15
2018-04-11,15
2018-04-12,18
2018-04-13,16
2018-04-14,16
2018-04-15,15
2018-04-16,13
2018-04-17,16
2018-04-18,17
2018-04-19,13
2018-04-20,8
2018-04-21,9
2018-04-22,10
2018-04-23,11
2018-04-24,19
2018-04-25,12
2018-04-26,7
2018-04-27,19
2018-04-28,8
2018-04-29,5
2018-04-30,5
2018-05-01,10
2018-05-02,11
2018-05-03,7
2018-05-04,4
2018-05-05,10
2018-05-06,6
2018-05-07,8
2018-05-08,9
2018-05-09,4
2018-05-10,8
2018-05-11,8
2018-05-12,10
2018-05-13,6
2018-05-14,13
2018-05-15,10
2018-05-16,328
2018-05-17,308
2018-05-18,137
2018-05-19,88
2018-05-20,152
2018-05-21,429
2018-05-22,446
2018-05-23,178
2018-05-24,91
2018-05-25,52
2018-05-26,42
2018-05-27,45
2018-05-28,45
2018-05-29,59
2018-05-30,53
2018-05-31,71
2018-06-01,51
2018-06-02,42
2018-06-03,41
2018-06-04,77
2018-06-05,63
2018-06-06,43
2018-06-07,41
2018-06-08,45
2018-06-09,38
2018-06-10,54
2018-06-11,64
2018-06-12,54
2018-06-13,112
2018-06-14,100
2018-06-15,112
2018-06-16,49
2018-06-17,53
2018-06-18,74
2018-06-19,64
2018-06-20,86
2018-06-21,68
2018-06-22,100
2018-06-23,61
2018-06-24,102
2018-06-25,64
2018-06-26,72
2018-06-27,70
2018-06-28,62
2018-06-29,96
2018-06-30,80
2018-07-01,75
2018-07-02,77
2018-07-03,79
2018-07-04,78
2018-07-05,70
2018-07-06,61
2018-07-07,113
2018-07-08,99
2018-07-09,97
2018-07-10,122
2018-07-11,76
2018-07-12,96
2018-07-13,44
2018-07-14,43
2018-07-15,53
2018-07-16,82
2018-07-17,91
2018-07-18,122
2018-07-19,83
2018-07-20,82
2018-07-21,65
2018-07-22,51
2018-07-23,81
2018-07-24,100
2018-07-25,92
2018-07-26,91
2018-07-27,93
2018-07-28,69
2018-07-29,64
2018-07-30,95
2018-07-31,91
2018-08-01,64
2018-08-02,72
2018-08-03,251
2018-08-04,77
2018-08-05,63
2018-08-06,80
2018-08-07,108
2018-08-08,115
2018-08-09,243
2018-08-10,199
2018-08-11,222
2018-08-12,123
2018-08-13,186
2018-08-14,199
2018-08-15,197
2018-08-16,137
2018-08-17,151
2018-08-18,135
2018-08-19,105
2018-08-20,114
2018-08-21,119
2018-08-22,205
2018-08-23,129
2018-08-24,131
2018-08-25,137
