,dates,txs
0,2018-03-05,3
1,2018-03-06,5
2,2018-03-07,0
3,2018-03-08,0
4,2018-03-09,5
5,2018-03-10,0
6,2018-03-11,2
7,2018-03-12,0
8,2018-03-13,0
9,2018-03-14,2
10,2018-03-15,0
11,2018-03-16,1
12,2018-03-17,5
13,2018-03-18,10
14,2018-03-19,4
15,2018-03-20,9
16,2018-03-21,4
17,2018-03-22,12
18,2018-03-23,7
19,2018-03-24,3
20,2018-03-25,0
21,2018-03-26,0
22,2018-03-27,0
23,2018-03-28,3
24,2018-03-29,3
25,2018-03-30,2
26,2018-03-31,0
27,2018-04-01,2
28,2018-04-02,4
29,2018-04-03,10
30,2018-04-04,4
31,2018-04-05,5
32,2018-04-06,3
33,2018-04-07,3
34,2018-04-08,6
35,2018-04-09,3
36,2018-04-10,2
37,2018-04-11,5
38,2018-04-12,8
39,2018-04-13,6
40,2018-04-14,6
41,2018-04-15,10
42,2018-04-16,4
43,2018-04-17,3
44,2018-04-18,6
45,2018-04-19,7
46,2018-04-20,0
47,2018-04-21,1
48,2018-04-22,5
49,2018-04-23,4
50,2018-04-24,6
51,2018-04-25,2
52,2018-04-26,2
53,2018-04-27,6
54,2018-04-28,2
55,2018-04-29,2
56,2018-04-30,1
57,2018-05-01,2
58,2018-05-02,3
59,2018-05-03,2
60,2018-05-04,2
61,2018-05-05,1
62,2018-05-06,0
63,2018-05-07,7
64,2018-05-08,1
65,2018-05-09,0
66,2018-05-10,6
67,2018-05-11,0
68,2018-05-12,6
69,2018-05-13,2
70,2018-05-14,7
71,2018-05-15,3
72,2018-05-16,32
73,2018-05-17,132
74,2018-05-18,29
75,2018-05-19,10
76,2018-05-20,18
77,2018-05-21,603
78,2018-05-22,300
79,2018-05-23,96
80,2018-05-24,49
81,2018-05-25,21
82,2018-05-26,14
83,2018-05-27,17
84,2018-05-28,17
85,2018-05-29,215
86,2018-05-30,15
87,2018-05-31,22
88,2018-06-01,21
89,2018-06-02,15
90,2018-06-03,12
91,2018-06-04,28
92,2018-06-05,27
93,2018-06-06,26
94,2018-06-07,15
95,2018-06-08,19
96,2018-06-09,11
97,2018-06-10,21
98,2018-06-11,21
99,2018-06-12,12
100,2018-06-13,49
101,2018-06-14,38
102,2018-06-15,36
103,2018-06-16,13
104,2018-06-17,49
105,2018-06-18,23
106,2018-06-19,20
107,2018-06-20,31
108,2018-06-21,19
109,2018-06-22,28
110,2018-06-23,21
111,2018-06-24,28
112,2018-06-25,21
113,2018-06-26,23
114,2018-06-27,24
115,2018-06-28,18
116,2018-06-29,41
117,2018-06-30,21
118,2018-07-01,17
119,2018-07-02,22
120,2018-07-03,18
121,2018-07-04,23
122,2018-07-05,30
123,2018-07-06,13
124,2018-07-07,72
125,2018-07-08,77
126,2018-07-09,42
127,2018-07-10,34
128,2018-07-11,41
129,2018-07-12,44
130,2018-07-13,15
131,2018-07-14,11
132,2018-07-15,30
133,2018-07-16,23
134,2018-07-17,21
135,2018-07-18,66
136,2018-07-19,43
137,2018-07-20,25
138,2018-07-21,20
139,2018-07-22,22
140,2018-07-23,31
141,2018-07-24,31
142,2018-07-25,30
143,2018-07-26,41
144,2018-07-27,38
145,2018-07-28,29
146,2018-07-29,15
147,2018-07-30,45
148,2018-07-31,23
149,2018-08-01,19
150,2018-08-02,18
151,2018-08-03,57
152,2018-08-04,39
153,2018-08-05,23
154,2018-08-06,23
155,2018-08-07,29
156,2018-08-08,48
157,2018-08-09,107
158,2018-08-10,100
159,2018-08-11,123
160,2018-08-12,76
161,2018-08-13,55
162,2018-08-14,95
163,2018-08-15,58
164,2018-08-16,78
165,2018-08-17,58
166,2018-08-18,46
167,2018-08-19,36
168,2018-08-20,44
169,2018-08-21,56
170,2018-08-22,69
171,2018-08-23,39
172,2018-08-24,54
173,2018-08-25,60
174,2018-08-26,34
175,2018-08-27,55
176,2018-08-28,116
177,2018-08-29,57
178,2018-08-30,53
179,2018-08-31,53
180,2018-09-01,45
181,2018-09-02,26
182,2018-09-03,191
183,2018-09-04,73
184,2018-09-05,120
185,2018-09-06,162
186,2018-09-07,90
187,2018-09-08,62
188,2018-09-09,64
189,2018-09-10,61
190,2018-09-11,61
191,2018-09-12,61
192,2018-09-13,107
193,2018-09-14,82
194,2018-09-15,43
195,2018-09-16,19
196,2018-09-17,75
197,2018-09-18,75
198,2018-09-19,83
199,2018-09-20,71
200,2018-09-21,149
201,2018-09-22,89
202,2018-09-23,69
203,2018-09-24,110
204,2018-09-25,116
205,2018-09-26,83
206,2018-09-27,71
207,2018-09-28,135
208,2018-09-29,99
209,2018-09-30,109
210,2018-10-01,96
211,2018-10-02,81
212,2018-10-03,96
213,2018-10-04,98
214,2018-10-05,57
215,2018-10-06,66
216,2018-10-07,44
217,2018-10-08,75
218,2018-10-09,77
219,2018-10-10,98
220,2018-10-11,107
221,2018-10-12,86
222,2018-10-13,47
223,2018-10-14,50
224,2018-10-15,169
225,2018-10-16,90
226,2018-10-17,113
227,2018-10-18,76
228,2018-10-19,55
229,2018-10-20,70
230,2018-10-21,48
231,2018-10-22,72
232,2018-10-23,72
233,2018-10-24,85
234,2018-10-25,61
235,2018-10-26,67
236,2018-10-27,44
237,2018-10-28,41
238,2018-10-29,122
239,2018-10-30,79
240,2018-10-31,79
241,2018-11-01,74
242,2018-11-02,56
243,2018-11-03,40
244,2018-11-04,81
245,2018-11-05,79
246,2018-11-06,110
247,2018-11-07,87
248,2018-11-08,63
249,2018-11-09,46
250,2018-11-10,35
251,2018-11-11,45
252,2018-11-12,49
253,2018-11-13,60
254,2018-11-14,157
255,2018-11-15,185
256,2018-11-16,220
257,2018-11-17,57
258,2018-11-18,54
259,2018-11-19,173
260,2018-11-20,250
261,2018-11-21,341
262,2018-11-22,288
263,2018-11-23,109
264,2018-11-24,92
265,2018-11-25,174
266,2018-11-26,174
267,2018-11-27,135
268,2018-11-28,220
269,2018-11-29,120
270,2018-11-30,104
271,2018-12-01,95
272,2018-12-02,66
273,2018-12-03,118
274,2018-12-04,115
275,2018-12-05,102
276,2018-12-06,117
277,2018-12-07,206
278,2018-12-08,196
279,2018-12-09,136
280,2018-12-10,111
281,2018-12-11,211
282,2018-12-12,124
283,2018-12-13,110
284,2018-12-14,142
285,2018-12-15,90
286,2018-12-16,102
287,2018-12-17,207
288,2018-12-18,219
289,2018-12-19,318
290,2018-12-20,294
291,2018-12-21,184
292,2018-12-22,120
293,2018-12-23,185
294,2018-12-24,234
295,2018-12-25,108
296,2018-12-26,229
297,2018-12-27,117
298,2018-12-28,219
299,2018-12-29,152
300,2018-12-30,72
301,2018-12-31,124
302,2019-01-01,95
303,2019-01-02,123
304,2019-01-03,208
305,2019-01-04,101
306,2019-01-05,135
307,2019-01-06,73
308,2019-01-07,82
309,2019-01-08,82
310,2019-01-09,75
311,2019-01-10,151
312,2019-01-11,99
313,2019-01-12,60
314,2019-01-13,79
315,2019-01-14,121
316,2019-01-15,228
317,2019-01-16,72
318,2019-01-17,78
319,2019-01-18,79
320,2019-01-19,64
321,2019-01-20,87
322,2019-01-21,145
323,2019-01-22,154
324,2019-01-23,93
325,2019-01-24,88
326,2019-01-25,77
327,2019-01-26,56
328,2019-01-27,463
329,2019-01-28,97
330,2019-01-29,112
331,2019-01-30,91
332,2019-01-31,98
333,2019-02-01,76
334,2019-02-02,55
335,2019-02-03,41
336,2019-02-04,101
337,2019-02-05,203
338,2019-02-06,96
339,2019-02-07,73
340,2019-02-08,103
341,2019-02-09,94
342,2019-02-10,90
343,2019-02-11,147
344,2019-02-12,129
345,2019-02-13,76
346,2019-02-14,56
347,2019-02-15,84
348,2019-02-16,95
349,2019-02-17,82
350,2019-02-18,105
351,2019-02-19,558
352,2019-02-20,219
353,2019-02-21,112
354,2019-02-22,151
355,2019-02-23,186
356,2019-02-24,137
357,2019-02-25,118
358,2019-02-26,127
359,2019-02-27,162
360,2019-02-28,131
361,2019-03-01,90
362,2019-03-02,79
363,2019-03-03,220
364,2019-03-04,167
365,2019-03-05,122
366,2019-03-06,139
367,2019-03-07,206
368,2019-03-08,696
369,2019-03-09,104
370,2019-03-10,149
371,2019-03-11,121
372,2019-03-12,152
373,2019-03-13,370
374,2019-03-14,105
375,2019-03-15,115
376,2019-03-16,268
377,2019-03-17,115
378,2019-03-18,128
379,2019-03-19,180
380,2019-03-20,110
381,2019-03-21,91
382,2019-03-22,104
383,2019-03-23,80
384,2019-03-24,101
385,2019-03-25,128
386,2019-03-26,150
387,2019-03-27,150
388,2019-03-28,236
389,2019-03-29,140
390,2019-03-30,116
391,2019-03-31,101
392,2019-04-01,115
393,2019-04-02,423
394,2019-04-03,336
395,2019-04-04,284
396,2019-04-05,234
397,2019-04-06,126
398,2019-04-07,107
399,2019-04-08,199
400,2019-04-09,164
401,2019-04-10,155
402,2019-04-11,177
403,2019-04-12,171
404,2019-04-13,132
405,2019-04-14,95
406,2019-04-15,174
407,2019-04-16,112
408,2019-04-17,117
409,2019-04-18,125
410,2019-04-19,122
411,2019-04-20,125
412,2019-04-21,109
413,2019-04-22,109
414,2019-04-23,153
415,2019-04-24,184
416,2019-04-25,243
417,2019-04-26,255
418,2019-04-27,152
419,2019-04-28,134
420,2019-04-29,206
421,2019-04-30,199
422,2019-05-01,1519
423,2019-05-02,197
424,2019-05-03,591
425,2019-05-04,150
426,2019-05-05,130
427,2019-05-06,174
428,2019-05-07,101
429,2019-05-08,96
430,2019-05-09,121
431,2019-05-10,151
432,2019-05-11,818
433,2019-05-12,416
434,2019-05-13,205
435,2019-05-14,202
436,2019-05-15,363
437,2019-05-16,352
438,2019-05-17,397
439,2019-05-18,192
440,2019-05-19,228
441,2019-05-20,230
442,2019-05-21,230
443,2019-05-22,192
444,2019-05-23,228
445,2019-05-24,164
446,2019-05-25,136
447,2019-05-26,252
448,2019-05-27,290
449,2019-05-28,182
450,2019-05-29,207
451,2019-05-30,308
452,2019-05-31,193
