,txs
2018-03-05,3
2018-03-06,7
2018-03-07,3
2018-03-08,1
2018-03-09,9
2018-03-10,1
2018-03-11,3
2018-03-12,1
2018-03-13,1
2018-03-14,4
2018-03-15,4
2018-03-16,2
2018-03-17,5
2018-03-18,19
2018-03-19,7
2018-03-20,14
2018-03-21,8
2018-03-22,17
2018-03-23,15
2018-03-24,12
2018-03-25,3
2018-03-26,3
2018-03-27,3
2018-03-28,7
2018-03-29,13
2018-03-30,15
2018-03-31,8
2018-04-01,8
2018-04-02,8
2018-04-03,19
2018-04-04,14
2018-04-05,12
2018-04-06,9
2018-04-07,15
2018-04-08,19
2018-04-09,13
2018-04-10,13
2018-04-11,15
2018-04-12,14
2018-04-13,14
2018-04-14,13
2018-04-15,15
2018-04-16,11
2018-04-17,14
2018-04-18,20
2018-04-19,16
2018-04-20,9
2018-04-21,7
2018-04-22,9
2018-04-23,9
2018-04-24,17
2018-04-25,7
2018-04-26,7
2018-04-27,17
2018-04-28,6
2018-04-29,6
2018-04-30,6
2018-05-01,7
2018-05-02,10
2018-05-03,6
2018-05-04,5
2018-05-05,4
2018-05-06,4
2018-05-07,9
2018-05-08,5
2018-05-09,4
2018-05-10,10
2018-05-11,6
2018-05-12,11
2018-05-13,4
2018-05-14,12
2018-05-15,11
2018-05-16,65
2018-05-17,170
2018-05-18,41
2018-05-19,20
2018-05-20,32
2018-05-21,742
2018-05-22,437
2018-05-23,156
2018-05-24,91
2018-05-25,39
2018-05-26,31
2018-05-27,35
2018-05-28,37
2018-05-29,262
2018-05-30,44
2018-05-31,52
2018-06-01,42
2018-06-02,39
2018-06-03,38
2018-06-04,64
2018-06-05,63
2018-06-06,43
2018-06-07,38
2018-06-08,45
2018-06-09,33
2018-06-10,44
2018-06-11,46
2018-06-12,48
2018-06-13,82
2018-06-14,75
2018-06-15,68
2018-06-16,32
2018-06-17,76
2018-06-18,57
2018-06-19,60
2018-06-20,82
2018-06-21,55
2018-06-22,79
2018-06-23,51
2018-06-24,74
2018-06-25,57
2018-06-26,64
2018-06-27,63
2018-06-28,47
2018-06-29,78
2018-06-30,63
2018-07-01,53
2018-07-02,63
2018-07-03,57
2018-07-04,55
2018-07-05,72
2018-07-06,41
2018-07-07,105
2018-07-08,139
2018-07-09,83
2018-07-10,85
2018-07-11,75
2018-07-12,102
2018-07-13,42
2018-07-14,39
2018-07-15,76
2018-07-16,64
2018-07-17,75
2018-07-18,127
2018-07-19,87
2018-07-20,77
2018-07-21,67
2018-07-22,54
2018-07-23,96
2018-07-24,106
2018-07-25,92
2018-07-26,93
2018-07-27,90
2018-07-28,62
2018-07-29,53
2018-07-30,107
2018-07-31,79
2018-08-01,56
2018-08-02,72
2018-08-03,143
2018-08-04,99
2018-08-05,63
2018-08-06,61
2018-08-07,85
2018-08-08,116
2018-08-09,182
2018-08-10,177
2018-08-11,216
2018-08-12,136
2018-08-13,124
2018-08-14,206
2018-08-15,132
2018-08-16,156
2018-08-17,122
2018-08-18,98
2018-08-19,83
2018-08-20,103
2018-08-21,130
2018-08-22,143
2018-08-23,106
2018-08-24,114
2018-08-25,121
2018-08-26,81
2018-08-27,146
2018-08-28,242
2018-08-29,120
2018-08-30,119
2018-08-31,125
2018-09-01,107
2018-09-02,76
2018-09-03,288
2018-09-04,179
2018-09-05,231
2018-09-06,321
2018-09-07,188
2018-09-08,145
2018-09-09,156
2018-09-10,132
2018-09-11,125
2018-09-12,133
2018-09-13,203
2018-09-14,172
2018-09-15,108
2018-09-16,88
2018-09-17,166
2018-09-18,177
2018-09-19,172
2018-09-20,163
2018-09-21,300
2018-09-22,196
2018-09-23,155
2018-09-24,210
2018-09-25,225
2018-09-26,191
2018-09-27,170
2018-09-28,242
2018-09-29,213
2018-09-30,222
2018-10-01,212
2018-10-02,207
2018-10-03,220
2018-10-04,231
2018-10-05,173
2018-10-06,164
2018-10-07,118
2018-10-08,196
2018-10-09,189
2018-10-10,198
2018-10-11,275
2018-10-12,219
2018-10-13,143
2018-10-14,131
2018-10-15,385
2018-10-16,219
2018-10-17,213
2018-10-18,188
2018-10-19,160
2018-10-20,140
2018-10-21,126
2018-10-22,197
2018-10-23,189
2018-10-24,173
2018-10-25,164
2018-10-26,178
2018-10-27,126
2018-10-28,111
2018-10-29,269
2018-10-30,221
2018-10-31,218
2018-11-01,230
2018-11-02,182
2018-11-03,142
2018-11-04,203
