,txvalue
2018-09-10,20000000
2018-09-11,0
2018-09-12,0
2018-09-13,0
2018-09-14,0
2018-09-15,0
2018-09-16,0
2018-09-17,0
2018-09-18,0
2018-09-19,0
2018-09-20,0
2018-09-21,100000000
2018-09-22,0
2018-09-23,0
2018-09-24,0
2018-09-25,7499999300000
2018-09-26,9528800000
2018-09-27,1238900000
2018-09-28,839600000
2018-09-29,-100000
2018-09-30,-200000
2018-10-01,10219300000
2018-10-02,0
2018-10-03,2000999500000
2018-10-04,444400000
2018-10-05,3225559840000
2018-10-06,0
2018-10-07,0
2018-10-08,0
2018-10-09,409059830000
2018-10-10,609400000
2018-10-11,427278400000
2018-10-12,0
2018-10-13,0
2018-10-14,0
2018-10-15,19929633740000
2018-10-16,34319500000
2018-10-17,4319800000
2018-10-18,6254170000
2018-10-19,7469600000
2018-10-20,0
2018-10-21,0
2018-10-22,10374964440000
2018-10-23,46024969200000
2018-10-24,38000099500000
2018-10-25,-387545100000
2018-10-26,-101216100000
2018-10-27,0
2018-10-28,0
2018-10-29,8203250000
2018-10-30,-78416690000
2018-10-31,-125200000
2018-11-01,-78361420000
2018-11-02,5000596560000
2018-11-03,0
2018-11-04,0
2018-11-05,2109218630000
2018-11-06,-194127630000
2018-11-07,40663880000
2018-11-08,-191077720000
2018-11-09,25019800000
2018-11-10,0
2018-11-11,0
2018-11-12,0
2018-11-13,4866017200000
2018-11-14,3702853790000
2018-11-15,667062500000
2018-11-16,-234283870000
2018-11-17,0
2018-11-18,0
2018-11-19,-280815840000
2018-11-20,14008287020000
2018-11-21,6619828970000
2018-11-22,1999600000
2018-11-23,2816811560000
2018-11-24,99999700000
2018-11-25,0
2018-11-26,795433450000
2018-11-27,4952041150000
2018-11-28,5168288400000
2018-11-29,63063300000
2018-11-30,-177067500000
2018-12-01,10000000
2018-12-02,0
2018-12-03,-163072190000
2018-12-04,104437830000
2018-12-05,1568051620000
2018-12-06,3015742530000
2018-12-07,3922152380000
2018-12-08,0
2018-12-09,0
2018-12-10,5503177400000
2018-12-11,-441795850000
2018-12-12,9832845740000
2018-12-13,339258060000
2018-12-14,2040373100000
2018-12-15,49999800000
2018-12-16,0
2018-12-17,9571030440000
2018-12-18,2660976450000
2018-12-19,8464010900000
2018-12-20,3028998780000
2018-12-21,2064393150000
2018-12-22,0
2018-12-23,0
2018-12-24,-400583830000
2018-12-25,0
2018-12-26,2750383080000
2018-12-27,6923855980000
2018-12-28,4395695100000
2018-12-29,4512238260000
2018-12-30,2516847800000
2018-12-31,1761842800000
2019-01-01,11542239160000
2019-01-02,24707951020000
2019-01-03,-235596620000
2019-01-04,4356901640000
2019-01-05,-6433200000
2019-01-06,11135353710000
2019-01-07,12594216620000
2019-01-08,9668684120000
2019-01-09,18045135300000
2019-01-10,12845357550000
2019-01-11,3543501180000
2019-01-12,2054970700000
2019-01-13,7155915400000
2019-01-14,-7243327500000
2019-01-15,-4422188780000
2019-01-16,-3855704450000
2019-01-17,10888606420000
2019-01-18,-15761381330000
2019-01-19,-4164100000
2019-01-20,-5037200000
2019-01-21,-255369100000
2019-01-22,-1752491670000
2019-01-23,3448715240000
2019-01-24,-9514134080000
2019-01-25,2577682990000
2019-01-26,-7850870600000
2019-01-27,6295305410000
2019-01-28,-7564215230000
2019-01-29,-10031995140000
2019-01-30,-31825950000
2019-01-31,-15743225800000
2019-02-01,214468600000
2019-02-02,194261700000
2019-02-03,-5168200000
2019-02-04,-5848644450000
2019-02-05,-6849633950000
2019-02-06,-3171065280000
2019-02-07,-5159740900000
2019-02-08,261434630000
2019-02-09,445339400000
