,dates,txs
0,2018-09-10,4
1,2018-09-11,0
2,2018-09-12,4
3,2018-09-13,0
4,2018-09-14,0
5,2018-09-15,0
6,2018-09-16,0
7,2018-09-17,0
8,2018-09-18,0
9,2018-09-19,0
10,2018-09-20,0
11,2018-09-21,1
12,2018-09-22,2
13,2018-09-23,0
14,2018-09-24,2
15,2018-09-25,5
16,2018-09-26,48
17,2018-09-27,36
18,2018-09-28,46
19,2018-09-29,29
20,2018-09-30,33
21,2018-10-01,51
22,2018-10-02,51
23,2018-10-03,26
24,2018-10-04,19
25,2018-10-05,28
26,2018-10-06,1
27,2018-10-07,4
28,2018-10-08,13
29,2018-10-09,21
30,2018-10-10,25
31,2018-10-11,42
32,2018-10-12,36
33,2018-10-13,13
34,2018-10-14,20
35,2018-10-15,89
36,2018-10-16,90
37,2018-10-17,74
38,2018-10-18,37
39,2018-10-19,29
40,2018-10-20,38
41,2018-10-21,11
42,2018-10-22,52
43,2018-10-23,162
44,2018-10-24,164
45,2018-10-25,143
46,2018-10-26,115
47,2018-10-27,81
48,2018-10-28,57
49,2018-10-29,114
50,2018-10-30,124
51,2018-10-31,144
52,2018-11-01,152
53,2018-11-02,117
54,2018-11-03,85
55,2018-11-04,95
56,2018-11-05,127
57,2018-11-06,225
58,2018-11-07,176
59,2018-11-08,185
60,2018-11-09,140
61,2018-11-10,120
62,2018-11-11,97
63,2018-11-12,164
64,2018-11-13,191
65,2018-11-14,450
66,2018-11-15,649
67,2018-11-16,556
68,2018-11-17,654
69,2018-11-18,530
70,2018-11-19,1204
71,2018-11-20,1515
72,2018-11-21,992
73,2018-11-22,496
74,2018-11-23,907
75,2018-11-24,677
76,2018-11-25,1061
77,2018-11-26,1043
78,2018-11-27,1020
79,2018-11-28,1125
80,2018-11-29,1031
81,2018-11-30,836
82,2018-12-01,739
83,2018-12-02,400
84,2018-12-03,691
85,2018-12-04,708
86,2018-12-05,841
87,2018-12-06,977
88,2018-12-07,1703
89,2018-12-08,858
90,2018-12-09,543
91,2018-12-10,558
92,2018-12-11,819
93,2018-12-12,920
94,2018-12-13,836
95,2018-12-14,1053
96,2018-12-15,844
97,2018-12-16,727
98,2018-12-17,1106
99,2018-12-18,1169
100,2018-12-19,1586
101,2018-12-20,1981
102,2018-12-21,1741
103,2018-12-22,933
104,2018-12-23,1009
105,2018-12-24,1460
106,2018-12-25,1041
107,2018-12-26,1115
108,2018-12-27,1261
109,2018-12-28,1371
110,2018-12-29,890
111,2018-12-30,821
112,2018-12-31,1018
113,2019-01-01,938
114,2019-01-02,1250
115,2019-01-03,1370
116,2019-01-04,1263
117,2019-01-05,919
118,2019-01-06,816
119,2019-01-07,1205
120,2019-01-08,1396
121,2019-01-09,1480
122,2019-01-10,1819
123,2019-01-11,1477
124,2019-01-12,982
125,2019-01-13,989
126,2019-01-14,994
127,2019-01-15,1191
128,2019-01-16,1184
129,2019-01-17,1228
130,2019-01-18,1337
131,2019-01-19,915
132,2019-01-20,806
133,2019-01-21,695
134,2019-01-22,1016
135,2019-01-23,1022
136,2019-01-24,1046
137,2019-01-25,1126
138,2019-01-26,859
139,2019-01-27,892
140,2019-01-28,1791
141,2019-01-29,1366
142,2019-01-30,1429
