,dates,txs
0,2018-09-10,4
1,2018-09-11,0
2,2018-09-12,3
3,2018-09-13,0
4,2018-09-14,0
5,2018-09-15,0
6,2018-09-16,0
7,2018-09-17,0
8,2018-09-18,0
9,2018-09-19,0
10,2018-09-20,0
11,2018-09-21,0
12,2018-09-22,1
13,2018-09-23,0
14,2018-09-24,1
15,2018-09-25,3
16,2018-09-26,9
17,2018-09-27,15
18,2018-09-28,23
19,2018-09-29,11
20,2018-09-30,5
21,2018-10-01,12
22,2018-10-02,39
23,2018-10-03,10
24,2018-10-04,8
25,2018-10-05,8
26,2018-10-06,0
27,2018-10-07,2
28,2018-10-08,6
29,2018-10-09,3
30,2018-10-10,12
31,2018-10-11,17
32,2018-10-12,12
33,2018-10-13,3
34,2018-10-14,3
35,2018-10-15,23
36,2018-10-16,26
37,2018-10-17,19
38,2018-10-18,11
39,2018-10-19,11
40,2018-10-20,21
41,2018-10-21,2
42,2018-10-22,19
43,2018-10-23,110
44,2018-10-24,122
45,2018-10-25,85
46,2018-10-26,54
47,2018-10-27,48
48,2018-10-28,36
49,2018-10-29,50
50,2018-10-30,65
51,2018-10-31,71
52,2018-11-01,89
53,2018-11-02,54
54,2018-11-03,41
55,2018-11-04,57
56,2018-11-05,74
57,2018-11-06,95
58,2018-11-07,79
59,2018-11-08,79
60,2018-11-09,71
61,2018-11-10,67
62,2018-11-11,45
63,2018-11-12,80
64,2018-11-13,78
65,2018-11-14,174
66,2018-11-15,248
67,2018-11-16,244
68,2018-11-17,304
69,2018-11-18,254
70,2018-11-19,539
71,2018-11-20,680
72,2018-11-21,426
73,2018-11-22,238
74,2018-11-23,423
75,2018-11-24,298
76,2018-11-25,484
77,2018-11-26,415
78,2018-11-27,432
79,2018-11-28,467
80,2018-11-29,438
81,2018-11-30,397
82,2018-12-01,276
83,2018-12-02,199
84,2018-12-03,323
85,2018-12-04,285
86,2018-12-05,361
87,2018-12-06,426
88,2018-12-07,666
89,2018-12-08,358
90,2018-12-09,235
91,2018-12-10,239
92,2018-12-11,363
93,2018-12-12,381
94,2018-12-13,368
95,2018-12-14,490
96,2018-12-15,415
97,2018-12-16,338
98,2018-12-17,497
99,2018-12-18,524
100,2018-12-19,729
101,2018-12-20,881
102,2018-12-21,722
103,2018-12-22,410
104,2018-12-23,453
105,2018-12-24,660
106,2018-12-25,448
107,2018-12-26,461
108,2018-12-27,514
109,2018-12-28,606
110,2018-12-29,369
111,2018-12-30,349
112,2018-12-31,411
113,2019-01-01,405
114,2019-01-02,542
115,2019-01-03,589
116,2019-01-04,521
117,2019-01-05,369
118,2019-01-06,379
119,2019-01-07,500
120,2019-01-08,565
121,2019-01-09,630
122,2019-01-10,763
123,2019-01-11,609
124,2019-01-12,386
125,2019-01-13,389
126,2019-01-14,454
127,2019-01-15,436
128,2019-01-16,472
129,2019-01-17,529
130,2019-01-18,538
131,2019-01-19,379
132,2019-01-20,325
133,2019-01-21,291
134,2019-01-22,404
135,2019-01-23,402
136,2019-01-24,411
137,2019-01-25,445
138,2019-01-26,368
139,2019-01-27,370
140,2019-01-28,716
141,2019-01-29,510
142,2019-01-30,528
143,2019-01-31,557
144,2019-02-01,516
145,2019-02-02,366
146,2019-02-03,297
