,txs
2018-09-10,4
2018-09-11,0
2018-09-12,4
2018-09-13,0
2018-09-14,0
2018-09-15,0
2018-09-16,0
2018-09-17,0
2018-09-18,0
2018-09-19,0
2018-09-20,0
2018-09-21,1
2018-09-22,2
2018-09-23,0
2018-09-24,1
2018-09-25,5
2018-09-26,14
2018-09-27,20
2018-09-28,29
2018-09-29,18
2018-09-30,17
2018-10-01,28
2018-10-02,43
2018-10-03,16
2018-10-04,14
2018-10-05,16
2018-10-06,1
2018-10-07,2
2018-10-08,10
2018-10-09,12
2018-10-10,17
2018-10-11,24
2018-10-12,21
2018-10-13,8
2018-10-14,7
2018-10-15,39
2018-10-16,42
2018-10-17,32
2018-10-18,23
2018-10-19,19
2018-10-20,30
2018-10-21,6
2018-10-22,34
2018-10-23,126
2018-10-24,136
2018-10-25,103
2018-10-26,76
2018-10-27,62
2018-10-28,48
2018-10-29,69
2018-10-30,82
2018-10-31,96
2018-11-01,109
2018-11-02,81
2018-11-03,56
2018-11-04,72
2018-11-05,96
2018-11-06,129
2018-11-07,116
2018-11-08,124
2018-11-09,91
2018-11-10,79
2018-11-11,67
2018-11-12,108
2018-11-13,112
2018-11-14,222
2018-11-15,293
2018-11-16,289
2018-11-17,352
2018-11-18,298
2018-11-19,617
2018-11-20,779
2018-11-21,531
2018-11-22,302
2018-11-23,529
2018-11-24,395
2018-11-25,589
2018-11-26,552
2018-11-27,563
2018-11-28,625
2018-11-29,579
2018-11-30,540
2018-12-01,371
2018-12-02,272
2018-12-03,440
2018-12-04,408
2018-12-05,483
2018-12-06,591
2018-12-07,885
2018-12-08,498
2018-12-09,345
2018-12-10,352
2018-12-11,496
2018-12-12,549
2018-12-13,534
2018-12-14,674
2018-12-15,559
2018-12-16,464
2018-12-17,677
2018-12-18,716
2018-12-19,966
2018-12-20,1151
2018-12-21,988
2018-12-22,588
2018-12-23,629
2018-12-24,891
2018-12-25,626
2018-12-26,640
2018-12-27,743
2018-12-28,823
2018-12-29,547
2018-12-30,491
2018-12-31,598
2019-01-01,559
2019-01-02,747
2019-01-03,801
2019-01-04,774
2019-01-05,556
2019-01-06,521
2019-01-07,737
2019-01-08,840
2019-01-09,897
2019-01-10,1097
2019-01-11,910
2019-01-12,586
2019-01-13,582
2019-01-14,699
2019-01-15,678
2019-01-16,728
2019-01-17,771
2019-01-18,799
2019-01-19,569
2019-01-20,506
2019-01-21,455
2019-01-22,618
2019-01-23,633
2019-01-24,623
2019-01-25,686
2019-01-26,553
2019-01-27,566
2019-01-28,1074
2019-01-29,794
2019-01-30,814
2019-01-31,889
2019-02-01,809
2019-02-02,598
2019-02-03,517
2019-02-04,734
2019-02-05,724
2019-02-06,819
2019-02-07,783
2019-02-08,1011
2019-02-09,580
2019-02-10,555
2019-02-11,669
2019-02-12,801
2019-02-13,775
2019-02-14,792
2019-02-15,903
2019-02-16,649
2019-02-17,605
2019-02-18,1038
2019-02-19,1090
2019-02-20,990
2019-02-21,982
2019-02-22,967
2019-02-23,893
2019-02-24,1080
2019-02-25,1055
2019-02-26,981
2019-02-27,983
2019-02-28,987
2019-03-01,1005
2019-03-02,796
2019-03-03,602
2019-03-04,950
2019-03-05,936
2019-03-06,921
2019-03-07,1029
2019-03-08,979
2019-03-09,880
2019-03-10,677
2019-03-11,886
2019-03-12,925
2019-03-13,848
2019-03-14,987
2019-03-15,976
2019-03-16,965
2019-03-17,626
2019-03-18,863
2019-03-19,848
2019-03-20,813
2019-03-21,1140
2019-03-22,896
2019-03-23,751
2019-03-24,681
2019-03-25,866
2019-03-26,984
2019-03-27,1080
2019-03-28,957
2019-03-29,1118
2019-03-30,870
2019-03-31,702
2019-04-01,953
2019-04-02,1853
2019-04-03,2266
2019-04-04,1482
2019-04-05,1350
2019-04-06,991
2019-04-07,1057
2019-04-08,1618
2019-04-09,1089
2019-04-10,1342
2019-04-11,1485
2019-04-12,1217
2019-04-13,826
2019-04-14,688
2019-04-15,972
2019-04-16,1038
2019-04-17,982
2019-04-18,1221
2019-04-19,1245
2019-04-20,920
2019-04-21,938
2019-04-22,1026
2019-04-23,1237
2019-04-24,1433
2019-04-25,1385
2019-04-26,1760
2019-04-27,1048
2019-04-28,926
2019-04-29,1157
2019-04-30,1441
2019-05-01,1808
2019-05-02,2348
2019-05-03,2630
2019-05-04,1408
2019-05-05,1075
2019-05-06,1280
2019-05-07,1123
2019-05-08,966
2019-05-09,1062
2019-05-10,1297
2019-05-11,1432
2019-05-12,1261
2019-05-13,1419
2019-05-14,1474
2019-05-15,3237
2019-05-16,3367
2019-05-17,2806
2019-05-18,1988
2019-05-19,2093
2019-05-20,2044
2019-05-21,2341
2019-05-22,2272
2019-05-23,2363
2019-05-24,2359
2019-05-25,1658
2019-05-26,2022
2019-05-27,2708
2019-05-28,2251
2019-05-29,2488
2019-05-30,2983
2019-05-31,2536
2019-06-01,1946
2019-06-02,1554
2019-06-03,2144
2019-06-04,2544
2019-06-05,2153
2019-06-06,1925
2019-06-07,1988
2019-06-08,1321
2019-06-09,1465
2019-06-10,2093
2019-06-11,2141
2019-06-12,2099
2019-06-13,2110
2019-06-14,2388
2019-06-15,1730
2019-06-16,2050
2019-06-17,2283
2019-06-18,2217
2019-06-19,1987
2019-06-20,2105
2019-06-21,2676
2019-06-22,2785
2019-06-23,1787
2019-06-24,1949
2019-06-25,2403
2019-06-26,4127
2019-06-27,3815
2019-06-28,3056
2019-06-29,2346
2019-06-30,1877
2019-07-01,2550
2019-07-02,2485
2019-07-03,2437
2019-07-04,1983
2019-07-05,1792
2019-07-06,1468
2019-07-07,1409
2019-07-08,2141
2019-07-09,2447
2019-07-10,2706
2019-07-11,2567
2019-07-12,2115
2019-07-13,1609
2019-07-14,1750
2019-07-15,2523
2019-07-16,2420
2019-07-17,2538
2019-07-18,2180
2019-07-19,1826
2019-07-20,1498
2019-07-21,1341
2019-07-22,1584
2019-07-23,1773
2019-07-24,1755
2019-07-25,1624
2019-07-26,1680
2019-07-27,1739
2019-07-28,1324
2019-07-29,1635
2019-07-30,1633
2019-07-31,1849
2019-08-01,1767
2019-08-02,1977
2019-08-03,1457
2019-08-04,1245
2019-08-05,2061
2019-08-06,2074
2019-08-07,1947
