,dates,txs
0,2018-09-10,2
1,2018-09-11,0
2,2018-09-12,2
3,2018-09-13,0
4,2018-09-14,0
5,2018-09-15,0
6,2018-09-16,0
7,2018-09-17,0
8,2018-09-18,0
9,2018-09-19,0
10,2018-09-20,0
11,2018-09-21,0
12,2018-09-22,0
13,2018-09-23,0
14,2018-09-24,0
15,2018-09-25,2
16,2018-09-26,8
17,2018-09-27,4
18,2018-09-28,11
19,2018-09-29,10
20,2018-09-30,5
21,2018-10-01,6
22,2018-10-02,5
23,2018-10-03,4
24,2018-10-04,2
25,2018-10-05,10
26,2018-10-06,0
27,2018-10-07,0
28,2018-10-08,10
29,2018-10-09,2
30,2018-10-10,9
31,2018-10-11,11
32,2018-10-12,12
33,2018-10-13,4
34,2018-10-14,2
35,2018-10-15,25
36,2018-10-16,14
37,2018-10-17,20
38,2018-10-18,11
39,2018-10-19,6
40,2018-10-20,15
41,2018-10-21,1
42,2018-10-22,18
43,2018-10-23,86
44,2018-10-24,87
45,2018-10-25,62
46,2018-10-26,40
47,2018-10-27,37
48,2018-10-28,37
49,2018-10-29,50
50,2018-10-30,60
51,2018-10-31,68
52,2018-11-01,66
53,2018-11-02,42
54,2018-11-03,41
55,2018-11-04,50
56,2018-11-05,62
57,2018-11-06,89
58,2018-11-07,63
59,2018-11-08,71
60,2018-11-09,50
61,2018-11-10,66
62,2018-11-11,40
63,2018-11-12,75
64,2018-11-13,69
65,2018-11-14,175
66,2018-11-15,249
67,2018-11-16,238
68,2018-11-17,279
69,2018-11-18,237
70,2018-11-19,504
71,2018-11-20,646
72,2018-11-21,414
73,2018-11-22,203
74,2018-11-23,401
75,2018-11-24,274
76,2018-11-25,460
77,2018-11-26,390
78,2018-11-27,424
79,2018-11-28,453
80,2018-11-29,433
81,2018-11-30,363
82,2018-12-01,266
83,2018-12-02,186
84,2018-12-03,300
85,2018-12-04,267
86,2018-12-05,354
87,2018-12-06,405
88,2018-12-07,637
89,2018-12-08,345
90,2018-12-09,235
91,2018-12-10,223
92,2018-12-11,347
93,2018-12-12,384
94,2018-12-13,359
95,2018-12-14,462
96,2018-12-15,389
97,2018-12-16,318
98,2018-12-17,473
99,2018-12-18,511
100,2018-12-19,699
101,2018-12-20,857
102,2018-12-21,686
103,2018-12-22,387
104,2018-12-23,463
105,2018-12-24,630
106,2018-12-25,416
107,2018-12-26,454
108,2018-12-27,493
109,2018-12-28,571
110,2018-12-29,359
111,2018-12-30,323
112,2018-12-31,382
113,2019-01-01,383
114,2019-01-02,514
115,2019-01-03,555
116,2019-01-04,517
117,2019-01-05,361
118,2019-01-06,344
119,2019-01-07,472
120,2019-01-08,561
121,2019-01-09,610
122,2019-01-10,748
123,2019-01-11,571
124,2019-01-12,362
125,2019-01-13,367
126,2019-01-14,410
127,2019-01-15,449
128,2019-01-16,435
129,2019-01-17,488
