,txs
2018-09-10,2
2018-09-11,0
2018-09-12,3
2018-09-13,0
2018-09-14,0
2018-09-15,0
2018-09-16,0
2018-09-17,0
2018-09-18,0
2018-09-19,0
2018-09-20,0
2018-09-21,1
2018-09-22,1
2018-09-23,0
2018-09-24,1
2018-09-25,4
2018-09-26,12
2018-09-27,9
2018-09-28,16
2018-09-29,14
2018-09-30,11
2018-10-01,13
2018-10-02,11
2018-10-03,12
2018-10-04,6
2018-10-05,16
2018-10-06,1
2018-10-07,1
2018-10-08,13
2018-10-09,12
2018-10-10,15
2018-10-11,18
2018-10-12,19
2018-10-13,9
2018-10-14,5
2018-10-15,38
2018-10-16,28
2018-10-17,36
2018-10-18,18
2018-10-19,15
2018-10-20,22
2018-10-21,5
2018-10-22,30
2018-10-23,101
2018-10-24,107
2018-10-25,82
2018-10-26,69
2018-10-27,55
2018-10-28,49
2018-10-29,72
2018-10-30,86
2018-10-31,100
2018-11-01,100
2018-11-02,69
2018-11-03,60
2018-11-04,76
2018-11-05,98
2018-11-06,126
2018-11-07,106
2018-11-08,113
2018-11-09,83
2018-11-10,85
2018-11-11,67
2018-11-12,125
2018-11-13,115
2018-11-14,236
2018-11-15,336
2018-11-16,314
2018-11-17,363
2018-11-18,308
2018-11-19,608
2018-11-20,784
2018-11-21,541
2018-11-22,287
2018-11-23,525
2018-11-24,388
2018-11-25,588
2018-11-26,543
2018-11-27,586
2018-11-28,628
2018-11-29,577
2018-11-30,531
2018-12-01,380
2018-12-02,277
2018-12-03,426
2018-12-04,418
2018-12-05,506
2018-12-06,592
2018-12-07,877
2018-12-08,497
2018-12-09,359
2018-12-10,355
2018-12-11,532
2018-12-12,568
2018-12-13,541
2018-12-14,684
2018-12-15,541
2018-12-16,465
2018-12-17,673
2018-12-18,720
2018-12-19,966
2018-12-20,1144
2018-12-21,958
2018-12-22,588
2018-12-23,675
2018-12-24,885
2018-12-25,593
2018-12-26,678
2018-12-27,732
2018-12-28,802
2018-12-29,540
2018-12-30,490
2018-12-31,595
2019-01-01,552
2019-01-02,726
2019-01-03,794
2019-01-04,792
2019-01-05,569
2019-01-06,515
2019-01-07,737
2019-01-08,860
2019-01-09,916
2019-01-10,1098
2019-01-11,905
2019-01-12,583
2019-01-13,582
2019-01-14,625
2019-01-15,738
2019-01-16,717
2019-01-17,754
2019-01-18,778
2019-01-19,589
2019-01-20,514
2019-01-21,430
2019-01-22,614
2019-01-23,626
2019-01-24,616
2019-01-25,686
2019-01-26,552
2019-01-27,569
2019-01-28,1058
2019-01-29,751
2019-01-30,773
2019-01-31,860
2019-02-01,794
2019-02-02,585
2019-02-03,504
2019-02-04,670
2019-02-05,737
2019-02-06,811
2019-02-07,798
2019-02-08,986
2019-02-09,576
2019-02-10,549
2019-02-11,661
2019-02-12,805
2019-02-13,802
2019-02-14,796
2019-02-15,858
2019-02-16,682
2019-02-17,608
2019-02-18,1034
2019-02-19,987
2019-02-20,969
2019-02-21,969
2019-02-22,961
2019-02-23,853
2019-02-24,983
2019-02-25,973
2019-02-26,963
2019-02-27,1160
2019-02-28,967
2019-03-01,976
2019-03-02,803
2019-03-03,636
2019-03-04,894
2019-03-05,874
2019-03-06,903
2019-03-07,1061
2019-03-08,933
2019-03-09,882
2019-03-10,663
2019-03-11,849
2019-03-12,909
2019-03-13,833
2019-03-14,960
2019-03-15,981
2019-03-16,943
2019-03-17,619
2019-03-18,853
2019-03-19,921
2019-03-20,773
2019-03-21,1070
2019-03-22,922
2019-03-23,740
2019-03-24,627
2019-03-25,816
2019-03-26,959
2019-03-27,1046
2019-03-28,944
2019-03-29,1108
2019-03-30,876
2019-03-31,706
2019-04-01,930
2019-04-02,1789
2019-04-03,2088
2019-04-04,1366
2019-04-05,1348
2019-04-06,1179
2019-04-07,1057
2019-04-08,1571
2019-04-09,1097
2019-04-10,1328
2019-04-11,1471
2019-04-12,1231
2019-04-13,901
2019-04-14,668
2019-04-15,941
2019-04-16,1008
2019-04-17,996
2019-04-18,1189
2019-04-19,1306
2019-04-20,920
2019-04-21,924
2019-04-22,964
2019-04-23,1195
2019-04-24,1436
2019-04-25,1379
2019-04-26,1879
2019-04-27,1040
2019-04-28,927
2019-04-29,1056
2019-04-30,1643
2019-05-01,2140
2019-05-02,2846
2019-05-03,2863
2019-05-04,1460
2019-05-05,1073
2019-05-06,1260
2019-05-07,1111
2019-05-08,942
2019-05-09,1129
2019-05-10,1335
2019-05-11,1462
2019-05-12,1442
2019-05-13,1384
2019-05-14,1376
2019-05-15,2920
2019-05-16,3211
2019-05-17,2735
2019-05-18,1970
2019-05-19,2017
2019-05-20,2297
2019-05-21,2361
2019-05-22,2216
2019-05-23,2303
2019-05-24,2222
2019-05-25,1659
2019-05-26,1971
2019-05-27,2626
2019-05-28,2153
2019-05-29,2223
2019-05-30,2942
2019-05-31,2444
2019-06-01,1783
2019-06-02,1542
2019-06-03,2162
2019-06-04,2473
2019-06-05,2360
2019-06-06,1908
2019-06-07,1996
2019-06-08,1252
2019-06-09,1466
2019-06-10,2044
2019-06-11,1995
2019-06-12,1984
2019-06-13,2127
2019-06-14,2196
2019-06-15,1557
2019-06-16,1864
2019-06-17,2236
2019-06-18,2095
2019-06-19,1830
2019-06-20,2035
2019-06-21,3431
2019-06-22,2861
2019-06-23,1642
2019-06-24,2529
2019-06-25,2311
2019-06-26,3898
2019-06-27,3810
2019-06-28,3120
2019-06-29,2342
2019-06-30,1826
2019-07-01,2524
2019-07-02,2629
2019-07-03,2450
2019-07-04,1905
2019-07-05,1829
2019-07-06,1423
2019-07-07,1339
2019-07-08,2119
2019-07-09,2382
2019-07-10,2459
2019-07-11,2406
2019-07-12,2302
2019-07-13,1500
2019-07-14,1881
2019-07-15,2980
2019-07-16,2383
2019-07-17,2575
2019-07-18,2225
2019-07-19,1717
2019-07-20,1514
2019-07-21,1252
2019-07-22,1611
2019-07-23,1714
2019-07-24,1672
2019-07-25,1553
2019-07-26,1695
2019-07-27,1966
2019-07-28,1311
2019-07-29,1581
2019-07-30,1629
2019-07-31,1801
2019-08-01,2079
2019-08-02,2036
2019-08-03,1445
2019-08-04,1143
2019-08-05,2000
2019-08-06,1899
2019-08-07,1920
2019-08-08,1954
2019-08-09,1928
2019-08-10,1404
2019-08-11,979
2019-08-12,1610
2019-08-13,1676
2019-08-14,2123
2019-08-15,2402
2019-08-16,1989
2019-08-17,1233
2019-08-18,1118
2019-08-19,1412
2019-08-20,1595
2019-08-21,1760
2019-08-22,1665
2019-08-23,1530
2019-08-24,1307
2019-08-25,1166
2019-08-26,1527
2019-08-27,1580
2019-08-28,1904
2019-08-29,2193
2019-08-30,1707
2019-08-31,1107
2019-09-01,1036
2019-09-02,1492
2019-09-03,1745
2019-09-04,1705
2019-09-05,1562
2019-09-06,1977
2019-09-07,1345
2019-09-08,1109
2019-09-09,1495
2019-09-10,1374
2019-09-11,1609
2019-09-12,1719
2019-09-13,1579
2019-09-14,1165
2019-09-15,1045
2019-09-16,2122
2019-09-17,2284
2019-09-18,1915
2019-09-19,1917
2019-09-20,1649
2019-09-21,1173
2019-09-22,965
2019-09-23,1332
2019-09-24,3026
2019-09-25,2440
2019-09-26,1881
2019-09-27,1761
2019-09-28,1133
2019-09-29,1105
2019-09-30,1603
2019-10-01,1764
2019-10-02,1635
2019-10-03,1765
2019-10-04,1909
2019-10-05,1233
2019-10-06,1199
2019-10-07,1806
2019-10-08,1831
2019-10-09,2309
2019-10-10,2110
2019-10-11,2047
2019-10-12,1151
2019-10-13,1154
2019-10-14,1469
2019-10-15,1666
2019-10-16,1902
2019-10-17,1738
2019-10-18,1855
2019-10-19,1238
2019-10-20,1214
2019-10-21,1645
2019-10-22,1593
2019-10-23,2359
2019-10-24,1922
2019-10-25,2105
2019-10-26,2202
2019-10-27,2035
2019-10-28,2852
2019-10-29,2415
2019-10-30,1856
2019-10-31,1876
2019-11-01,2068
2019-11-02,1349
2019-11-03,1155
2019-11-04,1796
2019-11-05,2160
2019-11-06,1949
2019-11-07,2068
2019-11-08,2272
2019-11-09,1457
2019-11-10,1327
2019-11-11,1520
2019-11-12,1930
2019-11-13,1711
2019-11-14,1889
2019-11-15,2142
2019-11-16,1430
2019-11-17,1231
2019-11-18,1949
2019-11-19,1914
2019-11-20,1721
2019-11-21,2529
2019-11-22,3332
2019-11-23,1770
2019-11-24,1460
2019-11-25,2661
2019-11-26,2057
2019-11-27,2474
2019-11-28,1555
2019-11-29,2759
2019-11-30,1433
2019-12-01,1431
2019-12-02,1914
2019-12-03,1911
2019-12-04,2088
2019-12-05,2066
2019-12-06,1896
2019-12-07,1488
2019-12-08,1322
2019-12-09,1717
2019-12-10,2096
2019-12-11,1992
2019-12-12,1975
2019-12-13,1954
2019-12-14,1469
2019-12-15,1360
2019-12-16,2014
2019-12-17,2465
2019-12-18,2683
2019-12-19,2231
2019-12-20,2021
2019-12-21,1372
2019-12-22,1355
2019-12-23,1908
2019-12-24,1650
2019-12-25,1258
2019-12-26,1687
2019-12-27,1898
2019-12-28,1416
2019-12-29,1311
2019-12-30,1638
2019-12-31,1777
2020-01-01,1187
2020-01-02,1868
2020-01-03,2098
2020-01-04,1459
2020-01-05,1530
2020-01-06,2219
2020-01-07,2359
2020-01-08,2797
2020-01-09,2411
2020-01-10,2343
2020-01-11,1910
2020-01-12,1455
2020-01-13,1883
2020-01-14,3238
2020-01-15,3151
2020-01-16,2782
2020-01-17,3108
2020-01-18,2041
2020-01-19,2013
2020-01-20,1903
2020-01-21,2381
2020-01-22,2371
2020-01-23,2404
2020-01-24,2299
2020-01-25,1620
2020-01-26,1657
2020-01-27,2603
2020-01-28,2658
2020-01-29,2828
2020-01-30,3362
2020-01-31,2681
2020-02-01,3399
2020-02-02,2070
2020-02-03,2621
2020-02-04,3158
2020-02-05,3240
2020-02-06,3492
2020-02-07,3220
2020-02-08,2747
2020-02-09,2627
2020-02-10,2992
2020-02-11,3535
2020-02-12,5624
2020-02-13,3703
2020-02-14,3656
2020-02-15,3026
2020-02-16,2876
2020-02-17,3004
2020-02-18,3540
2020-02-19,3386
2020-02-20,3442
2020-02-21,3149
2020-02-22,2257
2020-02-23,2154
2020-02-24,2941
2020-02-25,3327
2020-02-26,4598
2020-02-27,4609
2020-02-28,3973
2020-02-29,2341
2020-03-01,2562
2020-03-02,3843
2020-03-03,3302
2020-03-04,3249
2020-03-05,3622
2020-03-06,3848
2020-03-07,2770
2020-03-08,3170
2020-03-09,4657
2020-03-10,3504
2020-03-11,3241
2020-03-12,6825
2020-03-13,8688
2020-03-14,3954
2020-03-15,3423
2020-03-16,5635
2020-03-17,5728
2020-03-18,4427
2020-03-19,5656
2020-03-20,5069
2020-03-21,3728
2020-03-22,2619
2020-03-23,3813
2020-03-24,4071
2020-03-25,3621
2020-03-26,3770
2020-03-27,3903
2020-03-28,3240
2020-03-29,2355
2020-03-30,3398
2020-03-31,3307
2020-04-01,3794
2020-04-02,4553
2020-04-03,3971
2020-04-04,2813
2020-04-05,2526
2020-04-06,4500
2020-04-07,5322
2020-04-08,3937
2020-04-09,3967
2020-04-10,4989
2020-04-11,2899
2020-04-12,2814
2020-04-13,3613
2020-04-14,3539
2020-04-15,3917
2020-04-16,4572
2020-04-17,4428
2020-04-18,3565
2020-04-19,3149
2020-04-20,3966
2020-04-21,3970
2020-04-22,4098
2020-04-23,5260
2020-04-24,4437
2020-04-25,3845
2020-04-26,3200
2020-04-27,4024
2020-04-28,3933
2020-04-29,5523
2020-04-30,5581
2020-05-01,5058
2020-05-02,3660
2020-05-03,3446
2020-05-04,4569
2020-05-05,4228
2020-05-06,4768
2020-05-07,5022
2020-05-08,5331
2020-05-09,3795
2020-05-10,6114
2020-05-11,5078
2020-05-12,4908
2020-05-13,4855
2020-05-14,6267
2020-05-15,5029
2020-05-16,3418
2020-05-17,3225
2020-05-18,4569
2020-05-19,4206
2020-05-20,4483
2020-05-21,4813
2020-05-22,4920
2020-05-23,3450
2020-05-24,3218
2020-05-25,3989
2020-05-26,4052
2020-05-27,4243
2020-05-28,4383
2020-05-29,5798
2020-05-30,4208
2020-05-31,3576
2020-06-01,5290
2020-06-02,6699
2020-06-03,5864
2020-06-04,5072
2020-06-05,4943
2020-06-06,3476
2020-06-07,3321
2020-06-08,4221
2020-06-09,4607
2020-06-10,4772
2020-06-11,5938
2020-06-12,4978
2020-06-13,3502
2020-06-14,3554
2020-06-15,5209
2020-06-16,5218
2020-06-17,5116
2020-06-18,5410
2020-06-19,5776
2020-06-20,5604
2020-06-21,4612
2020-06-22,6476
2020-06-23,6768
2020-06-24,6129
2020-06-25,5690
2020-06-26,6099
2020-06-27,8626
2020-06-28,4608
2020-06-29,4963
2020-06-30,6732
